label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_jy,mag_ab
9144,6630.225296442688,1198.7509881422925,253,7822.818059759689,7822.818059759689,7822.818059759689,0.00017929148831244974,18.266166441414686
217,6843.52,311.9810526315789,475,5250.031213290709,5250.031213290709,5250.031213290709,0.0001203256809409451,18.699169802048505
9140,6648.603305785124,1156.2148760330579,121,5216.851986628186,5216.851986628186,5216.851986628186,0.00011956524488274503,18.706053228108985
7696,6119.73293768546,2641.041543026706,337,4701.461537556334,4701.461537556334,4701.461537556334,0.00010775299001880504,18.81899229687894
9145,6649.615384615385,1195.4307692307693,65,3532.5297113310316,3532.5297113310316,3532.5297113310316,8.0962193497818e-05,19.129359957439483
6,7399.377777777778,138.94444444444446,180,3211.9073864574066,3211.9073864574066,3211.9073864574066,7.361383726945444e-05,19.232666980292695
8696,7251.062761506276,170.36820083682008,478,2741.787493404176,2741.787493404176,2741.787493404176,6.283914013769057e-05,19.40449003798282
6599,6756.218137254902,2029.0392156862745,408,2724.3279078941678,2724.3279078941678,2724.3279078941678,6.243898318050523e-05,19.411426067387772
9142,6636.454545454546,1183.7272727272727,55,2669.708106672403,2669.708106672403,2669.708106672403,6.118714971364314e-05,19.433415065057396
9146,6666.135294117647,1300.0823529411764,170,2538.936011352218,2538.936011352218,2538.936011352218,5.8189978691565996e-05,19.487945126881492
8703,5847.988913525499,371.58758314855874,451,1901.1731774867587,1901.1731774867587,1901.1731774867587,4.357306611599519e-05,19.802020319504695
10546,6339.507281553398,1623.8106796116506,412,1830.2173477419137,1830.2173477419137,1830.2173477419137,4.1946826540663835e-05,19.84331784691578
7410,6376.84023668639,2564.8816568047337,169,1723.718006940224,1723.718006940224,1723.718006940224,3.950596377602269e-05,19.908408969322807
1642,6675.678082191781,753.5205479452055,146,1086.239110302052,1086.239110302052,1086.239110302052,2.489555876942239e-05,20.40976092662786
6104,6482.312,1780.288,125,1068.935788709153,1068.935788709153,1068.935788709153,2.4498983231369405e-05,20.42719547118404
2272,7034.495867768595,844.7355371900826,121,1026.8104166893334,1026.8104166893334,1026.8104166893334,2.3533510100401416e-05,20.470848851139493
3278,7356.657534246575,1083.7123287671234,73,908.1660743337048,908.1660743337048,908.1660743337048,2.0814295546478134e-05,20.60416133001607
10680,6720.0392156862745,2685.719887955182,357,848.4691581826231,848.4691581826231,848.4691581826231,1.944609947408734e-05,20.677984364780762
10710,6448.0887096774195,2752.1048387096776,124,808.7650633137075,808.7650633137075,808.7650633137075,1.8536119693557298e-05,20.730018559364495
10124,6943.277777777777,1400.263888888889,144,784.3093669038918,784.3093669038918,784.3093669038918,1.797561858340263e-05,20.763356011260242
5209,6053.803571428572,1573.8392857142858,56,678.0703441562559,678.0703441562559,678.0703441562559,1.5540722058930862e-05,20.921387639060114
319,6790.781818181818,352.1272727272727,55,662.2686577873861,662.2686577873861,662.2686577873861,1.517856256023376e-05,20.94698900987197
10332,6860.655737704918,1520.1065573770493,122,651.9728613283594,651.9728613283594,651.9728613283594,1.494259277844931e-05,20.96400071966885
1284,6439.7594936708865,679.4810126582279,79,638.9158708303228,638.9158708303228,638.9158708303228,1.4643339077111609e-05,20.985965325043274
8766,6877.1741573033705,678.376404494382,178,624.2931769963413,624.2931769963413,624.2931769963413,1.4308200956730427e-05,21.01110304446594
4773,7353.3125,1483.75,64,614.2546277424383,614.2546277424383,614.2546277424383,1.4078127034202642e-05,21.028703422912084
9829,7029.252336448598,1191.9532710280373,107,609.0593736448661,609.0593736448661,609.0593736448661,1.3959056792225971e-05,21.037925436838464
6733,6451.123287671233,2118.8630136986303,73,597.9476531469645,597.9476531469645,597.9476531469645,1.3704386813893133e-05,21.05791660145156
7085,6088.892307692307,2442.5692307692307,130,528.1398397628658,528.1398397628658,528.1398397628658,1.2104458672670672e-05,21.192702192304775
3509,5616.236559139785,1166.6129032258063,93,514.6511891777657,514.6511891777657,514.6511891777657,1.1795311736073825e-05,21.220792064131203
7187,6405.609756097561,2479.5243902439024,82,513.8294883953082,513.8294883953082,513.8294883953082,1.1776479142102078e-05,21.222526954242937
3253,7269.958333333333,1072.9375,48,512.352651206263,512.352651206263,512.352651206263,1.1742631449928189e-05,21.225652046075687
9029,6404.076923076923,818.2087912087912,91,507.2698572029173,507.2698572029173,507.2698572029173,1.1626138685468646e-05,21.23647687416273
172,6328.884615384615,275.1730769230769,52,425.74485121159535,425.74485121159535,425.74485121159535,9.757663725779437e-06,21.426701004462558
6908,6994.615384615385,2358.923076923077,52,412.1861203746411,412.1861203746411,412.1861203746411,9.446910617012888e-06,21.46184110665601
692,5706.832,531.896,125,410.30822882368506,410.30822882368506,410.30822882368506,9.403871143451281e-06,21.4667989483489
3052,5705.203125,1010.21875,64,407.21381113988866,407.21381113988866,407.21381113988866,9.33295005750118e-06,21.47501826768927
10333,6848.357894736842,1524.3052631578948,95,390.80753119968364,390.80753119968364,390.80753119968364,8.95693385391835e-06,21.519667204772293
10181,6382.265625,1426.4375,64,384.7840772959249,384.7840772959249,384.7840772959249,8.818882066578237e-06,21.536531785044552
979,7402.818181818182,607.9545454545455,44,380.02299966549793,380.02299966549793,380.02299966549793,8.709762732879124e-06,21.55004981145792
5061,6423.35294117647,1545.3921568627452,51,368.80276093417365,368.80276093417365,368.80276093417365,8.452605620698769e-06,21.58258910663653
4767,6880.028571428571,1482.8142857142857,70,358.03845558194246,358.03845558194246,358.03845558194246,8.205898064354236e-06,21.61475032789834
37,6741.101449275362,164.81159420289856,69,341.3529800181414,341.3529800181414,341.3529800181414,7.823482964810581e-06,21.66656526915922
4431,6126.506666666666,1417.1466666666668,75,330.13363386478835,330.13363386478835,330.13363386478835,7.566346309661398e-06,21.702850084895363
509,7177.64705882353,448.6666666666667,51,328.66028644287866,328.66028644287866,328.66028644287866,7.532578599603776e-06,21.707706442113697
7540,6775.85,2593.0,100,327.882761745237,327.882761745237,327.882761745237,7.51475847913377e-06,21.71027805447426
6075,5759.828571428571,1764.2,35,326.74103700901355,326.74103700901355,326.74103700901355,7.488591243025643e-06,21.714065307981556
4977,6321.810810810811,1534.9054054054054,74,317.60147739877857,317.60147739877857,317.60147739877857,7.279121301053131e-06,21.744868230708505
320,6495.930232558139,353.37209302325584,43,310.3803434583043,310.3803434583043,310.3803434583043,7.11361983577542e-06,21.76983899223984
342,6683.830188679245,370.49056603773585,53,310.146386919198,310.146386919198,310.146386919198,7.108257776249508e-06,21.77065770023242
6384,6681.144927536232,1897.0289855072465,69,307.0047109539873,307.0047109539873,307.0047109539873,7.036253575807273e-06,21.781711916342896
6085,6988.186046511628,1768.3255813953488,43,302.2868275679874,302.2868275679874,302.2868275679874,6.928124212769717e-06,21.798526458666018
993,5847.315789473684,612.9736842105262,38,301.8893254434854,301.8893254434854,301.8893254434854,6.9190138452570265e-06,21.79995512316448
4752,7042.685185185185,1478.1666666666667,54,288.9815030328754,288.9815030328754,288.9815030328754,6.62317893343982e-06,21.84739940175099
6905,6356.12,2360.896,125,287.7632882431756,287.7632882431756,287.7632882431756,6.595258618655429e-06,21.851986046968683
6895,6420.942307692308,2353.903846153846,52,283.19287154141284,283.19287154141284,283.19287154141284,6.490509050608809e-06,21.869368722653952
7396,6895.138461538461,2555.276923076923,65,281.3095760980733,281.3095760980733,281.3095760980733,6.447345725015784e-06,21.876613224930015
1348,6208.923076923077,691.5641025641025,39,275.3335300905276,275.3335300905276,275.3335300905276,6.31038048119552e-06,21.899926758283613
