galaxy,status,signal_product,color_product,recommended_kmin,recommended_kmax,recommended_mbar_inner,recommended_mbar_outer,recommended_mbar_weighted,recommended_sigma_adopted,color_F090W_F150W,quality_flag_effective,is_clean_effective,recommended_is_main_window,recommended_uses_two_annuli
NGC 1380,ok,jw03055-o001_t001_nircam_clear-f150w_i2d.fits,jw03055-o001_t001_nircam_clear-f090w_i2d.fits,0.04,0.25,27.958796496815964,27.814714545209398,27.887066663992847,0.07204097580328295,0.41287645258555256,clean,True,True,True
NGC 1399,ok,jw03055-o002_t002_nircam_clear-f150w_i2d.fits,jw03055-o002_t002_nircam_clear-f090w_i2d.fits,0.04,0.25,28.209566675530887,27.942923532518638,28.12486539458426,0.13332157150612467,0.43799517646849195,clean,True,True,True
NGC 1404,ok,jw03055-o003_t003_nircam_clear-f150w_i2d.fits,jw03055-o003_t003_nircam_clear-f090w_i2d.fits,0.04,0.25,28.063214076824185,27.854669976964534,28.004211864812287,0.10427204992982553,0.47670619201993203,clean,True,True,True
NGC 1549,ok,jw03055-o012_t012_nircam_clear-f150w_i2d.fits,jw03055-o012_t012_nircam_clear-f090w_i2d.fits,0.04,0.25,27.866263648009053,27.48945687417954,27.67048994459887,0.18840338691475544,0.3437686523814806,clean,True,True,True
NGC 3379,ok,jw03055-o013_t013_nircam_clear-f150w_i2d.fits,jw03055-o013_t013_nircam_clear-f090w_i2d.fits,0.04,0.25,26.781523199711902,26.57617228957312,26.653557577800136,0.10267545506939157,0.35292140643769426,clean,True,True,True
NGC 4374,ok,jw03055-o004_t004_nircam_clear-f150w_i2d.fits,jw03055-o004_t004_nircam_clear-f090w_i2d.fits,0.04,0.25,27.751968918274958,27.538217432121286,27.698255826347992,0.10687574307683612,0.42097661174841633,clean,True,True,True
NGC 4406,ok,jw03055-o005_t005_nircam_clear-f150w_i2d.fits,jw03055-o005_t005_nircam_clear-f090w_i2d.fits,0.04,0.25,27.605387602800302,27.370726844616367,27.487488983535293,0.11733037909196753,0.3059175731995949,clean,True,True,True
NGC 4472,ok,jw03055-o006_t006_nircam_clear-f150w_i2d.fits,jw03055-o006_t006_nircam_clear-f090w_i2d.fits,0.04,0.25,27.606464063161386,27.458258750718638,27.512608378685666,0.07410265622137402,0.4051868436195047,clean,True,True,True
NGC 4486,ok,jw03055-o007_t007_nircam_clear-f150w_i2d.fits,jw03055-o007_t007_nircam_clear-f090w_i2d.fits,0.04,0.25,27.668089673005277,27.44635657154899,27.599748087837057,0.11086655072814366,0.46331014764847017,clean,True,True,True
NGC 4552,ok,jw03055-o008_t008_nircam_clear-f150w_i2d.fits,jw03055-o008_t008_nircam_clear-f090w_i2d.fits,0.04,0.25,27.65655098186962,27.474669278691948,27.618028064201024,0.09094085158883658,0.4579852664671481,clean,True,True,True
NGC 4621,ok,jw03055-o009_t009_nircam_clear-f150w_i2d.fits,jw03055-o009_t009_nircam_clear-f090w_i2d.fits,0.04,0.25,27.531494024935178,27.334158542358278,27.349976863588438,0.09866774128845002,0.3126099258028712,sersic_fit_warning,False,True,True
NGC 4636,ok,jw03055-o014_t014_nircam_clear-f150w_i2d.fits,jw03055-o014_t014_nircam_clear-f090w_i2d.fits,0.04,0.25,27.67991992232716,27.4214520458689,27.54826834900649,0.1292339382291292,0.31061520437175283,clean,True,True,True
NGC 4649,ok,jw03055-o010_t010_nircam_clear-f150w_i2d.fits,jw03055-o010_t010_nircam_clear-f090w_i2d.fits,0.04,0.25,27.790805546633194,27.517369570299408,27.569379992743038,0.13671798816689318,0.32624959675149456,clean,True,True,True
NGC 4697,ok,jw03055-o011_t011_nircam_clear-f150w_i2d.fits,jw03055-o011_t011_nircam_clear-f090w_i2d.fits,0.04,0.25,26.783299583468395,26.634903582710546,26.740944905747984,0.07419800037892443,0.35757924557071386,isophote_real_only_failed;sersic_fit_warning,False,True,True

