galaxy,mu_sbf_clean_linear,sigma_mu_sbf_clean_linear,D_sbf150_mpc,sigma_D_sbf150_mpc,mu_lit,sigma_mu_lit,D_trgb_mpc_calc,sigma_D_trgb_mpc_calc,mu_f160w_jensen2015_reconstructed,sigma_mu_f160w_jensen2015_reconstructed,D_f160w_jensen2015_mpc,sigma_D_f160w_jensen2015_mpc,mu_prior_lit,sigma_mu_prior_lit,D_prior_lit_mpc,sigma_D_prior_lit_mpc,prior_lit_source,delta_mu_sbf150_minus_trgb,sigma_delta_mu_sbf150_minus_trgb,delta_mu_sbf150_minus_jensen160,sigma_delta_mu_sbf150_minus_jensen160,quality_flag_effective,is_clean_effective
NGC 1380,31.32624316915244,0.0619777015872485,18.41826146175765,0.52569008366403,31.408,0.025,19.124936418442093,0.22018396750781852,31.51817,0.1284842908685727,20.120279064095165,1.1905008676596314,31.397,0.066,19.028300443199665,0.5783485084809108,Project I,-0.08175683084756002,0.06682989970094243,-0.19192683084756013,0.1426514931363777,clean,True
NGC 1399,31.534768192409903,0.109082360323595,20.274662732264822,1.0184831526793179,31.498,0.026,19.934254564980947,0.2386816504866229,31.5373,0.1268223659296734,20.298315568544858,1.1854999370512183,31.511,0.068,20.053953334298278,0.6279927024428871,Project I,0.0367681924099017,0.11213813505568306,-0.002531807590095525,0.16728082326963423,clean,True
NGC 1404,31.369000311083532,0.062628489731207,18.784518277797314,0.5417734090983809,31.366,0.025,18.75858173799283,0.21596615337806316,31.48777,0.1338313016450187,19.840563382616548,1.2228055080182154,31.364,0.067,18.74131239976755,0.5782564518349798,Project I,0.003000311083532381,0.0674338766942247,-0.11876968891646911,0.14776043119188534,clean,True
NGC 1549,31.190205633480335,0.0527628091329772,17.299801766320925,0.42035355118238643,31.231,0.026,17.627876532324,0.2110663657672378,,,,,,,,,none,-0.04079436651966617,0.05882103388757275,,,clean,True
NGC 3379,30.162606520839343,0.0565741557118296,10.777581214551192,0.28079221967399504,30.078,0.028,10.365732567670046,0.1336606952143677,,,,,30.085,0.076,10.399201658290595,0.36396471010476705,Project II,0.08460652083934406,0.0631239660866326,,,clean,True
NGC 4374,31.12799229427492,0.0541354014419734,16.811190088179746,0.41910756966222484,31.112,0.027,16.687835113653897,0.20749586598202713,,,,,31.195,0.075,17.338039977541385,0.5988346859103242,Project II,0.015992294274923324,0.06049497242981119,,,clean,True
NGC 4406,31.051316842262985,0.0524423060044074,16.22793907130147,0.3919140500558584,31.096,0.025,16.565326493180184,0.19071536921888013,,,,,31.139,0.072,16.896626340487042,0.5602452470423424,Project II,-0.04468315773701548,0.05809643241249762,,,clean,True
NGC 4472,30.960746460214885,0.0605748678478699,15.565005986113254,0.43419763314890725,31.016,0.027,15.966142459934131,0.19852236875266352,31.04618,0.1318739428393646,16.189595575972795,0.983197296093612,31.091,0.071,16.527227299487308,0.5403859303581967,Project II,-0.05525353978511305,0.06631979052128333,-0.08543353978511448,0.14512081661425041,clean,True
NGC 4486,30.98014846902149,0.0668773267710046,15.704701776525212,0.4836757160473555,31.046,0.025,16.18825362642106,0.18637415740901966,,,,,31.062,0.071,16.307973610235944,0.5332170564325479,Project II,-0.06585153097850949,0.0713973167285419,,,clean,True
NGC 4552,31.0046341353726,0.0591803340921043,15.882791218470183,0.43286246074551743,30.923,0.028,15.296779272301395,0.1972439611700404,,,,,30.933,0.075,15.367385997357248,0.5307707087370036,Project II,0.08163413537260311,0.06546993159652056,,,clean,True
NGC 4621,30.906005362269145,0.0552994666084143,15.17752903820229,0.38651619821100075,30.821,0.026,14.59486223782621,0.1747507435602258,,,,,30.841,0.074,14.72990683541771,0.5019695857262739,Project II,0.08500536226914335,0.06110671818364269,,,sersic_fit_warning,False
NGC 4636,31.106621523560836,0.0661071228457893,16.646552496860956,0.5067785738590238,31.07,0.026,16.368165214278086,0.19598328475471413,,,,,31.12,0.072,16.749428760264383,0.5553645837055273,Project II,0.03662152356083581,0.0710362702494175,,,clean,True
NGC 4649,31.109512630736628,0.0625279360515507,16.66873054508665,0.4799790745745157,31.009,0.025,15.914756566438562,0.1832254061425527,31.00098,0.1348043945871202,15.856086267711438,0.9843413623275817,31.061,0.072,16.30046523984843,0.5404781990900536,Project II,0.10051263073662753,0.06734049886113716,0.10853263073662944,0.14860002552781348,clean,True
NGC 4697,30.244565538805197,0.0651535785603846,11.192139323510467,0.3358126612511532,30.324,0.028,11.609138701261834,0.14969376640974424,,,,,30.33,0.073,11.641260294104903,0.3913528892862937,Project II,-0.07943446119480413,0.07091536363316632,,,isophote_real_only_failed;sersic_fit_warning,False
