galaxy,aliases,source_class,source_articles,mention_count,mast_query_status,mast_error,jwst_obs_count,jwst_nircam_obs_count,jwst_filters,jwst_programs,has_public_nircam_f150w,has_public_nircam_f090w,recommended_for_sbf_extension,f150w_obsids,f090w_obsids,f150w_dataurls,f090w_dataurls
IC 1919,,article_mentioned,Jensen2015;Jensen2015 Table1;previous_curated_table,13,ok,,0,0,,,False,False,False,,,,
IC 2006,,article_mentioned,Jensen2015;Jensen2015 Table1;Jensen2025;Jensen2025 Table1;previous_curated_table,7,ok,,4,4,F090W;F150W;F277W;F356W,7034,False,False,False,,,,
IC 3025,,article_mentioned,Jensen2015;Jensen2015 Table1;previous_curated_table,7,ok,,0,0,,,False,False,False,,,,
IC 3032,,article_mentioned,Jensen2015;Jensen2015 Table1;previous_curated_table,7,ok,,0,0,,,False,False,False,,,,
IC 3487,,article_mentioned,Jensen2015;Jensen2015 Table1;previous_curated_table,7,ok,,0,0,,,False,False,False,,,,
IC 3586,,article_mentioned,Jensen2015;Jensen2015 Table1;previous_curated_table,6,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
NGC 1023,,fallback_early_type_seed,,0,ok,,0,0,,,False,False,False,,,,
NGC 1272,,article_mentioned,Blakeslee2021,1,ok,,1,0,,,False,False,False,,,,
NGC 1316,Fornax A,article_mentioned,Blakeslee2021;Blakeslee2021 Table4;Jensen2015;Jensen2015 text;TRGB-SBF-I;previous_curated_table,30,ok,,0,0,,,False,False,False,,,,
NGC 1340,,article_mentioned,Jensen2015,1,ok,,5,4,F090W;F150W;F277W;F356W,7034,False,False,False,,,,
NGC 1344,,article_mentioned,Jensen2015;Jensen2015 Table1;Jensen2025;Jensen2025 Table1;previous_curated_table,7,ok,,5,4,F090W;F150W;F277W;F356W,7034,False,False,False,,,,
NGC 1365,,article_mentioned,Blakeslee2021;TRGB-SBF-I,8,ok,,51,20,F115W;F150W;F150W2;F164N;F187N;F200W;F300M;F335M;F356W;F360M;F430M;F444W;F444W;F405N;F444W;GRISMC;F444W;GRISMR,1995;2107;5398;9246,True,False,False,jw05398-c1024_t000_nircam_clear-f150w,,mast:JWST/product/jw05398-c1024_t000_nircam_clear-f150w_i2d.fits,
NGC 1374,,article_mentioned,Jensen2015;Jensen2015 Table1;Jensen2025;Jensen2025 Table1;previous_curated_table,7,ok,,4,4,F090W;F150W;F277W;F356W,7034,False,False,False,,,,
NGC 1375,,article_mentioned,Jensen2015;Jensen2015 Table1;Jensen2025;Jensen2025 Table1;previous_curated_table,8,ok,,4,4,F090W;F150W;F277W;F356W,7034,False,False,False,,,,
NGC 1380,,article_mentioned,Jensen2015;Jensen2015 Table1;Jensen2025;Jensen2025 Table1;TRGB-SBF Project I;TRGB-SBF-I;TRGB-SBF-IV;previous_curated_table,30,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o001_t001_nircam_clear-f150w,jw03055-o001_t001_nircam_clear-f090w,mast:JWST/product/jw03055-o001_t001_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o001_t001_nircam_clear-f090w_i2d.fits
NGC 1399,,article_mentioned,Blakeslee2021;Jensen2015;Jensen2015 Table1;Jensen2025;Jensen2025 Table1;TRGB-SBF Project I;TRGB-SBF-I;TRGB-SBF-IV;previous_curated_table,43,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o002_t002_nircam_clear-f150w,jw03055-o002_t002_nircam_clear-f090w,mast:JWST/product/jw03055-o002_t002_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o002_t002_nircam_clear-f090w_i2d.fits
NGC 1400,,fallback_early_type_seed,,0,ok,,0,0,,,False,False,False,,,,
NGC 1404,,article_mentioned,Blakeslee2021;Jensen2015;Jensen2015 Table1;Jensen2025;Jensen2025 Table1;TRGB-SBF Project I;TRGB-SBF-I;TRGB-SBF-IV;previous_curated_table,29,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o003_t003_nircam_clear-f150w,jw03055-o003_t003_nircam_clear-f090w,mast:JWST/product/jw03055-o003_t003_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o003_t003_nircam_clear-f090w_i2d.fits
NGC 1407,,fallback_early_type_seed,,0,ok,,18,0,,,False,False,False,,,,
