galaxy,source_articles,source_urls,already_processed,mast_query_status,mast_error,jwst_obs_count,jwst_nircam_obs_count,jwst_filters,jwst_programs,has_public_nircam_f150w,has_public_nircam_f090w,recommended_for_sbf_extension,f150w_obsids,f090w_obsids,f150w_dataurls,f090w_dataurls
NGC 1380,ACS-Fornax-SBF;Tonry-SBF-survey,https://arxiv.org/abs/0901.1138;https://arxiv.org/abs/astro-ph/9609113,True,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o001_t001_nircam_clear-f150w,jw03055-o001_t001_nircam_clear-f090w,mast:JWST/product/jw03055-o001_t001_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o001_t001_nircam_clear-f090w_i2d.fits
NGC 1399,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,True,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o002_t002_nircam_clear-f150w,jw03055-o002_t002_nircam_clear-f090w,mast:JWST/product/jw03055-o002_t002_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o002_t002_nircam_clear-f090w_i2d.fits
NGC 1404,ACS-Fornax-SBF,https://arxiv.org/abs/0901.1138,True,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o003_t003_nircam_clear-f150w,jw03055-o003_t003_nircam_clear-f090w,mast:JWST/product/jw03055-o003_t003_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o003_t003_nircam_clear-f090w_i2d.fits
NGC 1559,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,12,10,F090W;F150W;F187N;F277W;F300M;F335M,1685;3707,True,True,True,jw01685-o001_t001_nircam_clear-f150w;jw01685-o002_t001_nircam_clear-f150w;jw03707-o014_t008_nircam_clear-f150w,jw01685-o001_t001_nircam_clear-f090w;jw01685-o002_t001_nircam_clear-f090w,mast:JWST/product/jw01685-o001_t001_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o002_t001_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw03707-o014_t008_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw01685-o001_t001_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o002_t001_nircam_clear-f090w_i2d.fits
NGC 205,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,6,6,F090W;F115W;F150W;F277W;F356W;F444W,4783,True,True,True,jw04783-o003_t003_nircam_clear-f150w,jw04783-o003_t003_nircam_clear-f090w,mast:JWST/product/jw04783-o003_t003_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw04783-o003_t003_nircam_clear-f090w_i2d.fits
NGC 3379,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,True,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o013_t013_nircam_clear-f150w,jw03055-o013_t013_nircam_clear-f090w,mast:JWST/product/jw03055-o013_t013_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o013_t013_nircam_clear-f090w_i2d.fits
NGC 4374,ACS-Virgo-SBF;Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/0702510;https://arxiv.org/abs/astro-ph/9609113,True,ok,,6,6,F090W;F115W;F150W;F277W;F356W,3055;7763,True,True,True,jw03055-o004_t004_nircam_clear-f150w,jw03055-o004_t004_nircam_clear-f090w,mast:JWST/product/jw03055-o004_t004_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o004_t004_nircam_clear-f090w_i2d.fits
NGC 4406,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,True,ok,,8,8,F090W;F115W;F277W;F150W;F277W;F356W,3055;7763,True,True,True,jw03055-o005_t005_nircam_clear-f150w,jw03055-o005_t005_nircam_clear-f090w,mast:JWST/product/jw03055-o005_t005_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o005_t005_nircam_clear-f090w_i2d.fits
NGC 4472,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,True,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o006_t006_nircam_clear-f150w,jw03055-o006_t006_nircam_clear-f090w,mast:JWST/product/jw03055-o006_t006_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o006_t006_nircam_clear-f090w_i2d.fits
NGC 4486,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,True,ok,,52,10,F070W;F090W;F115W;F277W;F150W;F277W;F356W;F444W,3055;7763;9226,True,True,True,jw03055-o007_t007_nircam_clear-f150w,jw03055-o007_t007_nircam_clear-f090w,mast:JWST/product/jw03055-o007_t007_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o007_t007_nircam_clear-f090w_i2d.fits
