galaxy,mbar_150,sigma_mbar_150,color_F090W_F150W,color_sigma_proxy,recommended_mbar_inner,recommended_mbar_outer,inner_outer_delta,sigma_Pk_jensen_weighted_annuli,sigma_PSF_mag,sigma_Pr_proxy_weighted,sigma_bkg_mag,sigma_ext_mag,Pr_over_P0_weighted,quality_flag,source_articles,mu_lit,sigma_mu_lit,distance_lit_mpc,sigma_distance_lit_mpc,distance_method,distance_source,distance_reference,mu_project_iv_thin,sigma_project_iv_thin,mu_project_iv_thick,sigma_project_iv_thick,mu_prior_lit,sigma_mu_prior_lit,prior_lit_source,notes,Mbar_150,sigma_Mbar_150,sigma_Mbar_150_with_trgb_zp_sys,fit_sample
NGC 1380,27.887066663992847,0.0382492748589389,0.4128764525855525,0.0645095072380529,27.958796496815964,27.8147145452094,0.14408195160656234,0.0369569861295342,0.0072220329709224,0.0066877365899511,0.0003897707107765,0.0003907701618978,0.023928320710428014,clean,Jensen2015 Table1; Jensen2025 Table1; TRGB-SBF Project I,31.408,0.025,19.125,0.22,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,31.408,0.025,31.405,0.027,31.397,0.066,Project I,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.520933336007154,0.045694715528545045,0.06483831450026023,clean
NGC 1399,28.12486539458426,0.0975742428459645,0.4379951764684919,0.1145032096842804,28.209566675530887,27.94292353251864,0.2666431430122458,0.0972312473454057,0.0071363234297017,0.0026745945389616,0.0029443116896048,0.0002605134412652,0.009744160828621127,clean,Jensen2015 Table1; Jensen2025 Table1; TRGB-SBF Project I,31.498,0.026,19.934,0.239,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,31.498,0.026,31.468,0.026,31.511,0.068,Project I,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.3731346054157427,0.10097887336944918,0.11096275441319602,clean
NGC 1404,28.004211864812287,0.0392950284286515,0.476706192019932,0.0786927313378496,28.063214076824185,27.854669976964537,0.2085440998596475,0.0385511790718172,0.0072014905433199,0.002450684459617,1.885961891888642e-05,0.0001953850809489,0.008941689686996124,clean,Jensen2015 Table1; Jensen2025 Table1; TRGB-SBF Project I,31.366,0.025,18.759,0.216,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,31.366,0.025,31.355,0.027,31.364,0.067,Project I,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.3617881351877124,0.04657358971787046,0.0654606695597328,clean
NGC 1549,27.67048994459887,0.0201416374905221,0.3437686523814806,0.0927028436334777,27.866263648009053,27.48945687417954,0.3768067738295109,0.0173080642207763,0.0072623272425147,0.0065120709317156,0.0033015362604308,0.0002605134412652,0.023423618814181656,truncated_file_warning,TRGB-SBF Project target set,31.231,0.026,17.628,0.211,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,31.231,0.026,31.262,0.026,,,none,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note; no prior Project I/II literature modulus listed in Project IV table,-3.5605100554011315,0.03288898844293642,0.05654808184898587,flagged
NGC 3379,26.653557577800136,0.0286776328817944,0.3529214064376942,0.1088822330194692,26.781523199711906,26.57617228957312,0.2053509101387867,0.0228198723951583,0.0076246546855429,0.0155962150958642,0.000360646450147,0.0003907701618978,0.054235558740332604,truncated_file_warning,TRGB-SBF Project II target set,30.078,0.028,10.366,0.134,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,30.078,0.028,30.077,0.03,30.085,0.076,Project II,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.4244424221998635,0.04008000284060588,0.061011528645846726,flagged
NGC 4374,27.698255826347992,0.0235034725621607,0.4209766117484163,0.1036816264881458,27.75196891827496,27.53821743212129,0.21375148615367223,0.0222134874481586,0.0070493475107227,0.0027191605646079,0.000716066681824,0.0011723104856935,0.00991335002393744,clean,TRGB-SBF Project II target set,31.112,0.027,16.688,0.207,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,31.112,0.027,31.111,0.028,31.195,0.075,Project II,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.413744173652006,0.03579683257608473,0.058287333293608835,clean
NGC 4406,27.487488983535293,0.0192864458171155,0.3059175731995949,0.1205595582098316,27.605387602800302,27.370726844616367,0.23466075818393506,0.0174913417932684,0.0071767260628234,0.0037747277411962,0.0004451075977207,0.0002605134412652,0.013690080612287037,clean,TRGB-SBF Project II target set,31.096,0.025,16.565,0.191,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,31.096,0.025,31.072,0.027,31.139,0.072,Project II,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.608511016464707,0.03157478412050559,0.05579396913875667,clean
NGC 4472,27.512608378685663,0.035931687240979,0.4051868436195047,0.0855235342848516,27.606464063161383,27.45825875071864,0.14820531244274093,0.0337868971369453,0.0074212688805914,0.0096748279103734,0.000915006084331,0.0001302567206326,0.03425043008759319,clean,Jensen2015 Table1; Jensen2025 Table1; TRGB-SBF Project II,31.016,0.027,15.966,0.199,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,31.016,0.027,31.014,0.026,31.091,0.071,Project II,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.5033916213143357,0.04494536848200861,0.06431241052847836,clean
NGC 4486,27.599748087837057,0.0457640510579249,0.4633101476484701,0.111122377292577,27.668089673005277,27.44635657154899,0.22173310145628733,0.0451321802509088,0.0068260101451436,0.0032635581105641,0.0001916968173385,0.0003907701618978,0.011875575491453535,clean,Blakeslee2021 Table4; TRGB-SBF Project II,31.046,0.025,16.188,0.186,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,31.046,0.025,31.046,0.027,31.062,0.071,Project II,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.4462519121629427,0.05214737164260877,0.06953666924171992,clean
NGC 4552,27.618028064201024,0.0335273541522398,0.4579852664671481,0.1081114869324383,27.65655098186962,27.474669278691948,0.18188170317767316,0.0321634357529776,0.007287486386847,0.0059596382719086,0.0001332201068805,0.0009769254047446,0.02137848793761201,clean,Jensen2025 Table1; TRGB-SBF Project II,30.923,0.028,15.297,0.197,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,30.923,0.028,30.921,0.029,30.933,0.075,Project II,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.3049719357989744,0.04368161485624943,0.06343566407352973,clean
