galaxy,status,f150w_path,f090w_path,out_dir,stem,recommended_kmin,recommended_kmax,recommended_mbar_inner_raw,recommended_mbar_inner,recommended_sigma_inner,recommended_Pr_inner,recommended_Pr_over_P0_inner,recommended_mbar_outer_raw,recommended_mbar_outer,recommended_sigma_outer,recommended_Pr_outer,recommended_Pr_over_P0_outer,recommended_mbar_weighted_raw,recommended_mbar_weighted,recommended_sigma_weighted_formal,recommended_annulus_scatter,recommended_sigma_adopted,recommended_notes,recommended_is_main_window,recommended_uses_two_annuli,model_full_fits,model_full_fits_exists,science_residual_fits,science_residual_fits_exists,science_residual_raw_fits,science_residual_raw_fits_exists,inner_usable_residual_fits,inner_usable_residual_fits_exists,outer_usable_residual_fits,outer_usable_residual_fits_exists,df_sbf_csv,df_sbf_csv_exists,annulus_summary_csv,annulus_summary_csv_exists,color_F090W_F150W,color_sigma_proxy
NGC 1380,ok,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1380/jw03055-o001_t001_nircam_clear-f150w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1380/jw03055-o001_t001_nircam_clear-f090w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1380,jw03055-o001_t001_nircam_clear-f150w_i2d,0.04,0.25,27.944309595118078,27.958796496815964,0.036877521606786354,0.20409455042034952,0.013254307270894591,27.7763760068984,27.814714545209398,0.0370371400398758,0.23014217748591184,0.034694935630298136,27.860705451267524,27.887066663992847,0.026132596437885916,0.07204097580328295,0.07204097580328295,"inner+outer weighted; no pipeline systematic yet; sigma_inner=max(k-window MAD, fit covariance); sigma_outer=max(k-window MAD, fit covariance)",True,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1380/jw03055-o001_t001_nircam_clear-f150w_i2d_sbf_model_full.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1380/jw03055-o001_t001_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1380/jw03055-o001_t001_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1380/jw03055-o001_t001_nircam_clear-f150w_i2d_sbf_resid_science_circular_inner_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1380/jw03055-o001_t001_nircam_clear-f150w_i2d_sbf_resid_science_circular_outer_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1380/jw03055-o001_t001_nircam_clear-f150w_i2d_sbf2_df_sbf.csv,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1380/jw03055-o001_t001_nircam_clear-f150w_i2d_sbf2_annulus_summary.csv,True,0.41287645258555256,0.06450950723805299
NGC 1399,ok,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1399/jw03055-o002_t002_nircam_clear-f150w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1399/jw03055-o002_t002_nircam_clear-f090w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1399,jw03055-o002_t002_nircam_clear-f150w_i2d,0.04,0.25,28.196216672147703,28.209566675530887,0.08470301288855166,0.2126760211055668,0.012220522948833645,27.93810867147858,27.942923532518638,0.12414241421324966,0.027893005546126108,0.0044248323572589595,28.11422664595662,28.12486539458426,0.06996808153855354,0.13332157150612467,0.13332157150612467,"inner+outer weighted; no pipeline systematic yet; sigma_inner=max(k-window MAD, fit covariance); sigma_outer=max(k-window MAD, fit covariance)",True,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1399/jw03055-o002_t002_nircam_clear-f150w_i2d_sbf_model_full.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1399/jw03055-o002_t002_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1399/jw03055-o002_t002_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1399/jw03055-o002_t002_nircam_clear-f150w_i2d_sbf_resid_science_circular_inner_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1399/jw03055-o002_t002_nircam_clear-f150w_i2d_sbf_resid_science_circular_outer_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1399/jw03055-o002_t002_nircam_clear-f150w_i2d_sbf2_df_sbf.csv,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1399/jw03055-o002_t002_nircam_clear-f150w_i2d_sbf2_annulus_summary.csv,True,0.43799517646849195,0.11450320968428043
NGC 1404,ok,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1404/jw03055-o003_t003_nircam_clear-f150w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1404/jw03055-o003_t003_nircam_clear-f090w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1404,jw03055-o003_t003_nircam_clear-f150w_i2d,0.04,0.25,28.05175591163757,28.063214076824185,0.03302040590784015,0.19345796987573008,0.010497868813780854,27.849230370711407,27.854669976964534,0.0525689969128171,0.029807053210357905,0.004997533078058798,27.994456496734003,28.004211864812287,0.027961784443771096,0.10427204992982553,0.10427204992982553,"inner+outer weighted; no pipeline systematic yet; sigma_inner=max(k-window MAD, fit covariance); sigma_outer=max(k-window MAD, fit covariance)",True,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1404/jw03055-o003_t003_nircam_clear-f150w_i2d_sbf_model_full.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1404/jw03055-o003_t003_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1404/jw03055-o003_t003_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1404/jw03055-o003_t003_nircam_clear-f150w_i2d_sbf_resid_science_circular_inner_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1404/jw03055-o003_t003_nircam_clear-f150w_i2d_sbf_resid_science_circular_outer_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1404/jw03055-o003_t003_nircam_clear-f150w_i2d_sbf2_df_sbf.csv,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1404/jw03055-o003_t003_nircam_clear-f150w_i2d_sbf2_annulus_summary.csv,True,0.47670619201993203,0.0786927313378496
NGC 4472,ok,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4472/jw03055-o006_t006_nircam_clear-f150w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4472/jw03055-o006_t006_nircam_clear-f090w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4472,jw03055-o006_t006_nircam_clear-f150w_i2d,0.04,0.25,27.587251397519797,27.606464063161386,0.03981359054249324,0.8429320595588511,0.017539872737537522,27.40948624594326,27.458258750718638,0.03029698018313963,0.9311465447424284,0.04392712234305421,27.474676013397907,27.512608378685666,0.024110029838574853,0.07410265622137402,0.07410265622137402,"inner+outer weighted; no pipeline systematic yet; sigma_inner=max(k-window MAD, fit covariance); sigma_outer=max(k-window MAD, fit covariance)",True,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4472/jw03055-o006_t006_nircam_clear-f150w_i2d_sbf_model_full.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4472/jw03055-o006_t006_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4472/jw03055-o006_t006_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4472/jw03055-o006_t006_nircam_clear-f150w_i2d_sbf_resid_science_circular_inner_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4472/jw03055-o006_t006_nircam_clear-f150w_i2d_sbf_resid_science_circular_outer_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4472/jw03055-o006_t006_nircam_clear-f150w_i2d_sbf2_df_sbf.csv,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4472/jw03055-o006_t006_nircam_clear-f150w_i2d_sbf2_annulus_summary.csv,True,0.4051868436195047,0.08552353428485165
NGC 4552,ok,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4552/jw03055-o008_t008_nircam_clear-f150w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4552/jw03055-o008_t008_nircam_clear-f090w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4552,jw03055-o008_t008_nircam_clear-f150w_i2d,0.04,0.25,27.638884831264836,27.65655098186962,0.026874904829943095,0.37008153714600167,0.016139466293553766,27.42935738748985,27.474669278691948,0.051844119775292956,0.332335121154458,0.04087492864361054,27.594506489052094,27.618028064201024,0.02385967838712843,0.09094085158883658,0.09094085158883658,"inner+outer weighted; no pipeline systematic yet; sigma_inner=max(k-window MAD, fit covariance); sigma_outer=max(k-window MAD, fit covariance)",True,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4552/jw03055-o008_t008_nircam_clear-f150w_i2d_sbf_model_full.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4552/jw03055-o008_t008_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4552/jw03055-o008_t008_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4552/jw03055-o008_t008_nircam_clear-f150w_i2d_sbf_resid_science_circular_inner_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4552/jw03055-o008_t008_nircam_clear-f150w_i2d_sbf_resid_science_circular_outer_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4552/jw03055-o008_t008_nircam_clear-f150w_i2d_sbf2_df_sbf.csv,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4552/jw03055-o008_t008_nircam_clear-f150w_i2d_sbf2_annulus_summary.csv,True,0.4579852664671481,0.10811148693243838
NGC 4636,ok,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4636/jw03055-o014_t014_nircam_clear-f150w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4636/jw03055-o014_t014_nircam_clear-f090w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4636,jw03055-o014_t014_nircam_clear-f150w_i2d,0.04,0.25,27.665450369666328,27.67991992232716,0.043589611418117666,0.2430408770709146,0.013238539882565431,27.369065099936275,27.4214520458689,0.04278164849254756,0.3871383519594139,0.0471046193438228,27.514485431184568,27.54826834900649,0.0305328436989763,0.1292339382291292,0.1292339382291292,"inner+outer weighted; no pipeline systematic yet; sigma_inner=max(k-window MAD, fit covariance); sigma_outer=max(k-window MAD, fit covariance)",True,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4636/jw03055-o014_t014_nircam_clear-f150w_i2d_sbf_model_full.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4636/jw03055-o014_t014_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4636/jw03055-o014_t014_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4636/jw03055-o014_t014_nircam_clear-f150w_i2d_sbf_resid_science_circular_inner_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4636/jw03055-o014_t014_nircam_clear-f150w_i2d_sbf_resid_science_circular_outer_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4636/jw03055-o014_t014_nircam_clear-f150w_i2d_sbf2_df_sbf.csv,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4636/jw03055-o014_t014_nircam_clear-f150w_i2d_sbf2_annulus_summary.csv,True,0.31061520437175283,0.12904169413880318
NGC 4649,ok,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4649/jw03055-o010_t010_nircam_clear-f150w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4649/jw03055-o010_t010_nircam_clear-f090w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4649,jw03055-o010_t010_nircam_clear-f150w_i2d,0.04,0.25,27.775543994548386,27.790805546633194,0.06520192703826301,0.5350938712242709,0.013958078876213155,27.492018554235436,27.517369570299408,0.031600339770441195,0.36424175878209125,0.023078666566017075,27.545948099725056,27.569379992743038,0.02843660822830097,0.13671798816689318,0.13671798816689318,"inner+outer weighted; no pipeline systematic yet; sigma_inner=max(k-window MAD, fit covariance); sigma_outer=max(k-window MAD, fit covariance)",True,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4649/jw03055-o010_t010_nircam_clear-f150w_i2d_sbf_model_full.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4649/jw03055-o010_t010_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4649/jw03055-o010_t010_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4649/jw03055-o010_t010_nircam_clear-f150w_i2d_sbf_resid_science_circular_inner_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4649/jw03055-o010_t010_nircam_clear-f150w_i2d_sbf_resid_science_circular_outer_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4649/jw03055-o010_t010_nircam_clear-f150w_i2d_sbf2_df_sbf.csv,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4649/jw03055-o010_t010_nircam_clear-f150w_i2d_sbf2_annulus_summary.csv,True,0.32624959675149456,0.11721543135069748
NGC 4697,ok,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4697/jw03055-o011_t011_nircam_clear-f150w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4697/jw03055-o011_t011_nircam_clear-f090w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4697,jw03055-o011_t011_nircam_clear-f150w_i2d,0.04,0.25,26.76555994973436,26.783299583468395,0.03617193388172104,0.8962788026917158,0.01620605217689085,26.59855417811492,26.634903582710546,0.05723459399111107,0.8188659593103568,0.03292481798706015,26.717893735023278,26.740944905747984,0.030577234130467694,0.07419800037892443,0.07419800037892443,"inner+outer weighted; no pipeline systematic yet; sigma_inner=max(k-window MAD, fit covariance); sigma_outer=max(k-window MAD, fit covariance)",True,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4697/jw03055-o011_t011_nircam_clear-f150w_i2d_sbf_model_full.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4697/jw03055-o011_t011_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4697/jw03055-o011_t011_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4697/jw03055-o011_t011_nircam_clear-f150w_i2d_sbf_resid_science_circular_inner_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4697/jw03055-o011_t011_nircam_clear-f150w_i2d_sbf_resid_science_circular_outer_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4697/jw03055-o011_t011_nircam_clear-f150w_i2d_sbf2_df_sbf.csv,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4697/jw03055-o011_t011_nircam_clear-f150w_i2d_sbf2_annulus_summary.csv,True,0.35757924557071386,0.10033260642640804
NGC 4486,ok,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4486/jw03055-o007_t007_nircam_clear-f150w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4486/jw03055-o007_t007_nircam_clear-f090w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4486,jw03055-o007_t007_nircam_clear-f150w_i2d,0.04,0.25,27.653490307164546,27.668089673005277,0.03912491723752525,0.5383967685001317,0.013356512356021661,27.43703182044772,27.44635657154899,0.05861537909822802,0.14581613908332544,0.008551638087545999,27.586774440168664,27.599748087837057,0.03254159504340654,0.11086655072814366,0.11086655072814366,"inner+outer weighted; no pipeline systematic yet; sigma_inner=max(k-window MAD, fit covariance); sigma_outer=max(k-window MAD, fit covariance)",True,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4486/jw03055-o007_t007_nircam_clear-f150w_i2d_sbf_model_full.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4486/jw03055-o007_t007_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4486/jw03055-o007_t007_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4486/jw03055-o007_t007_nircam_clear-f150w_i2d_sbf_resid_science_circular_inner_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4486/jw03055-o007_t007_nircam_clear-f150w_i2d_sbf_resid_science_circular_outer_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4486/jw03055-o007_t007_nircam_clear-f150w_i2d_sbf2_df_sbf.csv,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4486/jw03055-o007_t007_nircam_clear-f150w_i2d_sbf2_annulus_summary.csv,True,0.46331014764847017,0.11112237729257707
NGC 4374,ok,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4374/jw03055-o004_t004_nircam_clear-f150w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4374/jw03055-o004_t004_nircam_clear-f090w_i2d.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4374,jw03055-o004_t004_nircam_clear-f150w_i2d,0.04,0.25,27.739728929289655,27.751968918274958,0.018785730974644737,0.3086722628257516,0.011210139292745138,27.531629257132817,27.538217432121286,0.03242650297456559,0.06422120875772608,0.0060495606797565,27.687436067978293,27.698255826347992,0.016254949318503638,0.10687574307683612,0.10687574307683612,"inner+outer weighted; no pipeline systematic yet; sigma_inner=max(k-window MAD, fit covariance); sigma_outer=max(k-window MAD, fit covariance)",True,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4374/jw03055-o004_t004_nircam_clear-f150w_i2d_sbf_model_full.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4374/jw03055-o004_t004_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4374/jw03055-o004_t004_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4374/jw03055-o004_t004_nircam_clear-f150w_i2d_sbf_resid_science_circular_inner_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4374/jw03055-o004_t004_nircam_clear-f150w_i2d_sbf_resid_science_circular_outer_lit_usable.fits,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4374/jw03055-o004_t004_nircam_clear-f150w_i2d_sbf2_df_sbf.csv,True,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4374/jw03055-o004_t004_nircam_clear-f150w_i2d_sbf2_annulus_summary.csv,True,0.42097661174841633,0.1036816264881458
