program,target,obsid,signal_filter,color_filter,signal_product,color_product,signal_product_uri,color_product_uri,signal_exposure_time_s,color_exposure_time_s,signal_content_length_bytes,color_content_length_bytes,morphology,redshift,external_distance_modulus,distance_method,hst_overlap,dust_flag,spiral_flag,resolved_flag,field_contamination_flag,calibration_family,notes
3055,NGC 1380,o001_t001,F150W,F090W,jw03055-o001_t001_nircam_clear-f150w_i2d.fits,jw03055-o001_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o001_t001_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o001_t001_nircam_clear-f090w_i2d.fits,,,1210685760,1210423680,,,,TRGB,,,,,,F090W-F150W,GO-3055 regression sample
3055,NGC 1399,o002_t002,F150W,F090W,jw03055-o002_t002_nircam_clear-f150w_i2d.fits,jw03055-o002_t002_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o002_t002_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o002_t002_nircam_clear-f090w_i2d.fits,,,1216696320,,,,,TRGB,,,,,,F090W-F150W,GO-3055 regression sample
3055,NGC 1404,o003_t003,F150W,F090W,jw03055-o003_t003_nircam_clear-f150w_i2d.fits,jw03055-o003_t003_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o003_t003_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o003_t003_nircam_clear-f090w_i2d.fits,,,1216696320,1216696320,,,,TRGB,,,,,,F090W-F150W,GO-3055 regression sample
3055,NGC 4472,o006_t006,F150W,F090W,jw03055-o006_t006_nircam_clear-f150w_i2d.fits,jw03055-o006_t006_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o006_t006_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o006_t006_nircam_clear-f090w_i2d.fits,,,1216252800,,,,,TRGB,,,,,,F090W-F150W,GO-3055 regression sample
3055,NGC 4552,o008_t008,F150W,F090W,jw03055-o008_t008_nircam_clear-f150w_i2d.fits,jw03055-o008_t008_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o008_t008_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o008_t008_nircam_clear-f090w_i2d.fits,,,1216252800,,,,,TRGB,,,,,,F090W-F150W,GO-3055 regression sample
3055,NGC 4636,o014_t014,F150W,F090W,jw03055-o014_t014_nircam_clear-f150w_i2d.fits,jw03055-o014_t014_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o014_t014_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o014_t014_nircam_clear-f090w_i2d.fits,,,1209859200,,,,,TRGB,,,,,,F090W-F150W,GO-3055 regression sample
3055,NGC 4649,o010_t010,F150W,F090W,jw03055-o010_t010_nircam_clear-f150w_i2d.fits,jw03055-o010_t010_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o010_t010_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o010_t010_nircam_clear-f090w_i2d.fits,,,1216131840,,,,,TRGB,,,,,,F090W-F150W,GO-3055 regression sample
3055,NGC 4697,o011_t011,F150W,F090W,jw03055-o011_t011_nircam_clear-f150w_i2d.fits,jw03055-o011_t011_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o011_t011_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o011_t011_nircam_clear-f090w_i2d.fits,,,1209576960,,,,,TRGB,,,,,,F090W-F150W,GO-3055 regression sample
3055,NGC 4486,o007_t007,F150W,F090W,jw03055-o007_t007_nircam_clear-f150w_i2d.fits,jw03055-o007_t007_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o007_t007_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o007_t007_nircam_clear-f090w_i2d.fits,,,1216252800,,,,,TRGB,,,,,,F090W-F150W,GO-3055 regression sample
3055,NGC 4374,o004_t004,F150W,F090W,jw03055-o004_t004_nircam_clear-f150w_i2d.fits,jw03055-o004_t004_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o004_t004_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o004_t004_nircam_clear-f090w_i2d.fits,,,1216131840,,,,,TRGB,,,,,,F090W-F150W,GO-3055 regression sample
