stage,path,shape_y,shape_x,dtype,is_mask,finite_pixels,nonzero_pixels,size_bytes,description
01_исходный_сигнал,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_01_исходный_сигнал.fits,4390,9892,float32,False,33559169,,173718720,Исходная двумерная SCI-плоскость сигнального JWST i2d
01b_допустимые_пиксели,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_01b_допустимые_пиксели.fits,4390,9892,uint8,True,43425880,33559169.0,43441920,1: конечный SCI и WHT>0; 0: исходно недопустимый пиксель
02a_модель_фона,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_02a_модель_фона.fits,4390,9892,float32,False,43425880,,173718720,Двумерная плавная составляющая фона без предварительно вычтенного скалярного уровня
02b_после_вычитания_фона,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_02b_после_вычитания_фона.fits,4390,9892,float32,False,33559169,,173718720,Сигнальный кадр после вычитания скалярного и двумерного фона
03a_после_первичной_маски,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_03a_после_первичной_маски.fits,4390,9892,float32,False,32660956,,173718720,Кадр после вычитания фона; исходно недопустимые и первично найденные компактные области заменены на NaN
03b_код_первичной_маски,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_03b_код_первичной_маски.fits,4390,9892,uint8,True,43425880,10764924.0,43441920,"Битовая первичная маска: bit0=исходно недопустимо, bit1=компактный источник"
04_после_заполнения_серсиком,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_04_после_заполнения_серсиком.fits,4390,9892,float32,False,43425880,,173718720,Кадр после вычитания фона; только исходно недопустимые пиксели заполнены вспомогательной моделью Серсика
04b_вход_изофот_реальные_пиксели,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_04b_вход_изофот_реальные_пиксели.fits,4331,4078,float32,False,15310626,,70663680,Фактическая вырезка real_only для поиска изофот после первичной маски
04c_вход_изофот_с_серсиком,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_04c_вход_изофот_с_серсиком.fits,4331,4078,float32,False,17075410,,70663680,"Запасная вырезка filled_fallback для поиска изофот: щели заполнены Серсиком, компактные источники замаскированы"
05a_модель_только_найденные_изофоты,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_05a_модель_только_найденные_изофоты.fits,4390,9892,float32,False,3723283,,173718720,"Модель, построенная только по реально найденным изофотам без внешнего продолжения"
05b_полная_гладкая_модель,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_05b_полная_гладкая_модель.fits,4390,9892,float32,False,3723283,,173718720,Полная гладкая модель: найденные изофоты и продолжение до внешнего рабочего кольца
06_остатки_до_масок_компактных_источников,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_06_остатки_до_масок_компактных_источников.fits,4390,9892,float32,False,3723283,,173718720,Остатки img-model_full до первичной и дополнительной масок компактных источников
07a_рабочие_остатки_после_компактных_источников,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_07a_рабочие_остатки_после_компактных_источников.fits,4390,9892,float32,False,3416757,,173718720,Рабочие sigma-capped остатки после первичной и дополнительной масок компактных источников
07b_код_рабочей_маски,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_07b_код_рабочей_маски.fits,4390,9892,uint8,True,43425880,10764924.0,43441920,"Битовая рабочая маска: bit0=исходно недопустимо, bit1=первичный компактный источник, bit2=источник в остатках"
08_psf,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_08_psf.fits,129,129,float32,False,16641,,72000,"Нормированная PSF, фактически переданная спектральному измерению SBF"
09a_рабочие_остатки_в_двух_кольцах,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_09a_рабочие_остатки_в_двух_кольцах.fits,4390,9892,float32,False,2787433,,173718720,Рабочие остатки только на реально используемых пикселях двух измерительных колец
09b_код_двух_колец,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d_debug_09b_код_двух_колец.fits,4390,9892,uint8,True,43425880,3250060.0,43441920,"Битовая карта колец: bit0=внутреннее, bit1=внешнее, bit2=исключено рабочей маской или отсутствием модели"
