label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_jy,mag_ab
9935,6083.406130268199,3559.735632183908,261,16647.86922057888,16647.86922057888,16647.86922057888,0.0003815759316530121,17.44611318911992
9937,6087.688581314879,3571.6228373702425,289,14299.9886789698,14299.9886789698,14299.9886789698,0.00032776155497788644,17.611170593919443
9938,6122.17223198594,3573.158172231986,569,11856.573338987504,11856.573338987504,11856.573338987504,0.0002717574818790598,17.81461184807674
763,6906.583482944345,2745.4147217235186,557,8044.585818925875,8044.585818925875,8044.585818925875,0.000184385177943662,18.23575060537975
9050,7146.105376344086,3194.4666666666667,465,6341.466685872537,6341.466685872537,6341.466685872537,0.00014534899491625228,18.494035539822008
9933,6095.507352941177,3546.6470588235297,136,6248.625254233377,6248.625254233377,6248.625254233377,0.00014322103155323397,18.510048628734598
9049,7166.644699140401,3193.510028653295,349,5599.481715866883,5599.481715866883,5599.481715866883,0.0001283423977084569,18.62914025084753
9932,6082.709302325581,3547.678294573643,258,4087.4468707087076,4087.4468707087076,4087.4468707087076,9.368594425555147e-05,18.970879526336745
8351,6345.9604316546765,2885.521582733813,278,3463.1352075054447,3463.1352075054447,3463.1352075054447,7.937646708629588e-05,19.15083620908035
8207,7005.080321285141,4201.690763052209,249,2180.450334487402,2180.450334487402,2180.450334487402,4.997680824983209e-05,19.653144330728715
9940,6103.597222222223,3574.6805555555557,72,2107.78828347846,2107.78828347846,2107.78828347846,4.831136449590815e-05,19.689942362830323
7981,7049.806282722513,3931.460732984293,191,1967.8108666658047,1967.8108666658047,1967.8108666658047,4.5103025186956414e-05,19.764551441759167
7823,6426.131313131313,3838.39898989899,198,1765.5251758685113,1765.5251758685113,1765.5251758685113,4.0466554903381805e-05,19.882325040889278
9929,6136.075242718447,3539.007281553398,412,1746.5537193326968,1746.5537193326968,1746.5537193326968,4.003172140567991e-05,19.89405495822894
9048,7155.2870370370365,3185.472222222222,108,1624.2391675279055,1624.2391675279055,1624.2391675279055,3.722822214452876e-05,19.972884880464214
9942,6095.287769784172,3579.654676258993,139,1623.9730499502623,1623.9730499502623,1623.9730499502623,3.722212262144427e-05,19.97306278355063
9753,5919.07392996109,3393.7743190661477,257,1506.125124558327,1506.125124558327,1506.125124558327,3.452100025383123e-05,20.054857194765127
5391,5612.414634146341,3388.1951219512193,164,1494.8330805798482,1494.8330805798482,1494.8330805798482,3.426218201443584e-05,20.063028077528937
7968,6052.630769230769,3922.207692307692,130,1390.0329566295895,1390.0329566295895,1390.0329566295895,3.186012056117554e-05,20.141947085101386
