galaxy,ra_deg_icrs,dec_deg_icrs,ra_hms_icrs,dec_dms_icrs,coordinate_source,observation_programs,observation_ids,available_i2d_filters,cluster_or_group,membership_basis,membership_reference,distance_mpc,distance_stat_uncertainty_mpc,distance_systematic_uncertainty_mpc,distance_modulus_mag,distance_modulus_stat_uncertainty_mag,distance_method,distance_scope,distance_reference,distance_notes
IC 0794,187.0358720833,12.0932861111,12:28:08.609,+12:05:35.83,TARG_RA/TARG_DEC in data/IC 0794/jw07763-o048_t048_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o048_t048,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
IC 3328,186.4913000000,10.0538000000,12:25:57.912,+10:03:13.68,TARG_RA/TARG_DEC in data/IC 3328/jw07763-o051_t051_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o051_t051,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.827,0.542,1.100,31.130,0.070,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510","Published ACSVCS SBF modulus; morphology=dE1,N; 1.1 Mpc common systematic listed separately."
IC 3349,186.6961000000,12.4539694444,12:26:47.064,+12:27:14.29,TARG_RA/TARG_DEC in data/IC 3349/jw07763-o056_t056_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o056_t056,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
IC 3358,186.7265029167,11.6639361111,12:26:54.361,+11:39:50.17,TARG_RA/TARG_DEC in data/IC 3358/jw07763-o049_t049_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o049_t049,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
IC 3363,186.7628441667,12.5607777778,12:27:03.083,+12:33:38.80,TARG_RA/TARG_DEC in data/IC 3363/jw07763-o061_t061_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o061_t061,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
IC 3381,187.0619641667,11.7898833333,12:28:14.871,+11:47:23.58,TARG_RA/TARG_DEC in data/IC 3381/jw07763-o043_t043_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o043_t043,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.672,0.461,1.100,31.110,0.060,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510","Published ACSVCS SBF modulus; morphology=dE3,N; 1.1 Mpc common systematic listed separately."
IC 3383,187.0513000000,10.2976000000,12:28:12.312,+10:17:51.36,TARG_RA/TARG_DEC in data/IC 3383/jw07763-o072_t072_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o072_t072,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.144,0.669,1.100,31.040,0.090,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510","Published ACSVCS SBF modulus; morphology=dE4,N; 1.1 Mpc common systematic listed separately."
IC 3388,187.1169050000,12.8236944444,12:28:28.057,+12:49:25.30,TARG_RA/TARG_DEC in data/IC 3388/jw07763-o070_t070_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o070_t070,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
IC 3393,187.1737958333,12.9158888889,12:28:41.711,+12:54:57.20,TARG_RA/TARG_DEC in data/IC 3393/jw07763-o058_t058_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o058_t058,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
IC 3437,187.6913000000,11.3432000000,12:30:45.912,+11:20:35.52,TARG_RA/TARG_DEC in data/IC 3437/jw07763-o075_t075_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o075_t075,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
