galaxy,paper_iv_name,A_F090W,E_BV,A_F150W,sigma_E_BV,sigma_A_F090W,sigma_A_F150W,sigma_color_extinction,paper_iv_high_quality,paper_iv_quality_mark,source
NGC 1380,NGC 1380,0.021000,0.01483470,0.00893197,0.00425550,0.00602408,0.00256224,0.00346185,True,*,Paper IV Table 2
NGC 1399,NGC 1399,0.015000,0.01059621,0.00637998,0.00391789,0.00554617,0.00235896,0.00318721,False,,Paper IV Table 2
NGC 1404,NGC 1404,0.014000,0.00988980,0.00595465,0.00387032,0.00547883,0.00233032,0.00314851,True,*,Paper IV Table 2
NGC 1549,NGC 1549,0.015000,0.01059621,0.00637998,0.00391789,0.00554617,0.00235896,0.00318721,False,,Paper IV Table 2
NGC 3379,M105,0.030000,0.02119243,0.01275996,0.00489622,0.00693109,0.00294801,0.00398308,True,*,Paper IV Table 2
NGC 4374,M84,0.049000,0.03461430,0.02084127,0.00656873,0.00929869,0.00395503,0.00534366,True,*,Paper IV Table 2
NGC 4406,M86,0.036000,0.02543091,0.01531195,0.00538812,0.00762742,0.00324419,0.00438324,True,*,Paper IV Table 2
NGC 4472,M49,0.027000,0.01907318,0.01148396,0.00466781,0.00660775,0.00281049,0.00379726,False,,Paper IV Table 2
NGC 4486,M87,0.028000,0.01977960,0.01190930,0.00474248,0.00671345,0.00285544,0.00385800,False,,Paper IV Table 2
NGC 4552,M89,0.050000,0.03532071,0.02126660,0.00666430,0.00943398,0.00401257,0.00542141,True,*,Paper IV Table 2
NGC 4621,M59,0.039000,0.02755016,0.01658795,0.00564856,0.00799610,0.00340100,0.00459510,True,*,Paper IV Table 2
NGC 4636,NGC 4636,0.035000,0.02472450,0.01488662,0.00530328,0.00750733,0.00319311,0.00431422,True,*,Paper IV Table 2
NGC 4649,M60,0.032000,0.02260526,0.01361062,0.00505540,0.00715642,0.00304386,0.00411257,False,,Paper IV Table 2
NGC 4697,NGC 4697,0.036000,0.02543091,0.01531195,0.00538812,0.00762742,0.00324419,0.00438324,True,*,Paper IV Table 2
