galaxy,ring,P0,Pr,Pr_gc,Pr_background,Pr_over_P0,Pr_special_gclf,gclf_1p35_to_1p20_ratio,mbar_adopted,zeropoint
NGC 1380,inner,0.9624739843770096,1.9643037739237436e-05,7.437128204896311e-06,1.2205909534341129e-05,2.0408902534598884e-05,1.9643037739237436e-05,1.0,28.041124176125063,27.999574515667973
NGC 1380,outer,0.8796329333515573,0.0011913501973191,0.0011897099013726,1.6402959464801018e-06,0.0013543719796618398,0.0011913501973191,1.0,28.140292300740544,27.999574515667977
NGC 1399,inner,0.8833031409616772,1.353447518706626e-05,2.2134402009999607e-09,1.353226174686526e-05,1.5322571107729667e-05,1.354975013749838e-05,7.900999821554422,28.134252027525257,27.999509828025644
NGC 1399,outer,0.8489079017778404,0.0030503352542893,0.0029912899541426,5.904530014670797e-05,0.003593246390923069,0.0036306664901429963,1.1940070152844913,28.18126673154124,27.999509828025644
NGC 1404,inner,0.8992169427522685,1.28119889294242e-07,1.281198892941017e-07,1.4029790697256178e-19,1.424793986889309e-07,1.28119889294242e-07,1.0,28.114922865187086,27.999583913334575
NGC 1404,outer,0.8173942708473947,0.0047287870036769,0.0047084989369837,2.0288066693251527e-05,0.005785197146995604,0.0047287870036769,1.0,28.224804377200137,27.999583913334575
NGC 1549,inner,1.165837977907276,4.455723517921007e-05,3.558796849027153e-05,8.969266688938541e-06,3.821906304612929e-05,4.455723517921007e-05,1.0,27.83294924126316,27.999503241225874
NGC 1549,outer,1.0317622346704152,0.000727478149095,0.0007274781490949,6.973414142309263e-17,0.0007050831331574999,0.000727478149095,1.0,27.966319976874995,27.99950324122587
NGC 3379,inner,2.922536140983793,8.367643804884014e-05,8.367643804882921e-05,1.0922612770372529e-17,2.8631446802458605e-05,8.367643804884014e-05,1.0,26.835398002278865,27.99976664185212
NGC 3379,outer,2.295936234873256,0.0154165467881636,0.0154165467881612,2.4334254290012696e-15,0.006714710345174133,0.0154165467881636,1.0,27.10468207703787,27.99976664185212
NGC 4374,inner,1.0871049854463122,1.4752231570652008e-05,2.9209081812474032e-08,1.4723022488839534e-05,1.3570199537439766e-05,1.4752231570652008e-05,1.0,27.90905244004775,27.999716424828396
NGC 4374,outer,1.0037725129095625,0.0067194780370718,0.0067194780370705,1.2840112050504825e-15,0.006694223990647579,0.0067194780370718,1.0,28.00292077543871,27.999716424828396
NGC 4406,inner,1.192434850221909,3.376843773983198e-05,1.3579516073140388e-05,2.0188921666691593e-05,2.831889535394555e-05,3.376843773983198e-05,1.0,27.80868974251616,27.999745645932492
NGC 4406,outer,1.0975196669442902,0.0065523504125533,0.0065523504125518,1.5138463876873485e-15,0.0059701439617900675,0.0065523504125533,1.0,27.90521629572775,27.999745645932492
NGC 4472,inner,1.2988390349812562,0.0002115229034019,0.0002011420013417,1.0380902060186912e-05,0.00016285536367865056,0.00033423668015783626,1.6100852926658675,27.716044425956287,27.99975592441008
NGC 4472,outer,1.26412124151309,0.0002709613719296,0.0002709613719295,8.173837662212141e-17,0.00021434761400360042,0.00032438101320396266,1.1971485488650384,27.745516851806357,27.99975592441008
NGC 4486,inner,1.210105136084512,0.0023496992966127,0.002310163337028,3.9535959584647155e-05,0.0019417315293905175,0.0023496992966127,1.0,27.794811716391894,27.999759219309855
NGC 4486,outer,1.1497007128036254,2.0554918226577445e-05,2.055491822526669e-05,1.3107592493770917e-15,1.787849480970821e-05,2.0554918226577445e-05,1.0,27.84831662926388,27.99975921930986
NGC 4552,inner,1.260544585907136,3.353955977909356e-05,4.527259661833276e-09,3.3535032519431724e-05,2.6607198312590597e-05,3.353955977909356e-05,1.0,27.748392201237344,27.999758841037806
NGC 4552,outer,1.0787917730845156,0.0056403153757993,0.0056403153757986,7.46261108659026e-16,0.005228363356602481,0.0056403153757993,1.0,27.92310629146955,27.999758841037806
NGC 4621,inner,1.479353040320016,1.4831491430689464e-05,3.589616384286744e-06,1.124187504640272e-05,1.0025660560025005e-05,1.4831491430689464e-05,1.0,27.574564511742295,27.99973319797941
NGC 4621,outer,1.2647846233858326,0.0035836480507286,0.0035836480505904,1.3816583480220726e-13,0.0028334057708063864,0.0035836480507286,1.0,27.747772453147952,27.99973319797941
NGC 4636,inner,1.1625971660585916,6.31478231329878e-05,4.601033334699269e-05,1.7137489785995112e-05,5.431616812474264e-05,6.31478231329878e-05,1.0,27.836191700529852,27.999705875866624
NGC 4636,outer,1.0514124525364963,0.0008038732698212,0.0008038732698202,1.0046281410162953e-15,0.0007645651027642705,0.0008038732698212,1.0,27.946103518543932,27.999705875866624
NGC 4649,inner,1.1331257373820165,0.0003016493038448,3.914922771951316e-09,0.000301645388922,0.0002662099128925737,0.0003016493038448,1.0,27.864352923234858,27.999759111158163
NGC 4649,outer,1.0890918101423483,5.374388247132569e-05,5.374388247131147e-05,1.4223300921827408e-17,4.93474305571182e-05,5.374388247132569e-05,1.0,27.9071514602589,27.99975911115816
NGC 4697,inner,2.5565829355737306,0.0002958889936654,0.0002810095457079,1.4879447957566095e-05,0.00011573612165998389,0.0002958889936654,1.0,26.980739701449913,27.9997637498003
NGC 4697,outer,2.1914247294849556,0.0125066917615336,0.0125066917615325,1.144551860493308e-15,0.005707105333466331,0.0125066917615336,1.0,27.15416151451729,27.9997637498003
