galaxy,environment,annulus,color_F090W_F150W_observed,color_F090W_F150W,color_scatter,color_sem_proxy,mbar_F150W_observed,mbar_F150W,sigma_mbar,mu_lit,sigma_mu_lit,Mbar_F150W,sigma_Mbar,sigma_E_BV,cov_color_Mbar_extinction,color_table,sigma_mbar_internal,sigma_mbar_total,sigma_color_stat_mag,sigma_Mbar_internal,sigma_Mbar_total,sigma_color_total_mag,sigma_color_total
NGC 1380,Fornax,inner,0.5359830770375541,0.5239150493461159,0.0441835349381193,5.549749468455078e-05,28.041124176125063,28.0321922038165,0.021224866051541884,31.408,0.025,-3.3758077961835014,0.0324220563185581,0.004255499429754388,-1.1984397017858008e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_1380/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785287608/jw03055-o001_t001_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.021224866051541884,0.021378961464126118,0.003462293602480048,0.0324220563185581,0.0324220563185581,0.003462293602480048,0.003462293602480048
NGC 1380,Fornax,outer,0.5109048554283969,0.49883682773695864,0.0749031895252798,4.854851820914263e-05,28.140292300740544,28.13136032843198,0.019850728698852883,31.408,0.025,-3.27663967156802,0.03153959776048705,0.004255499429754388,-1.1984397017858008e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_1380/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785287608/jw03055-o001_t001_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.019850728698852883,0.02001540617260004,0.0034621891884295277,0.03153959776048705,0.03153959776048705,0.0034621891884295277,0.0034621891884295277
NGC 1399,Fornax,inner,0.6053927812116122,0.5967727614320134,0.0349997059313823,4.3789574406508385e-05,28.134252027525257,28.127872047304855,0.018058136484308505,31.498,0.026,-3.370127952695146,0.03132881384586623,0.003917893366448728,-1.015828370302545e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_1399/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785289020/jw03055-o002_t002_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.018058136484308505,0.018211562330917093,0.003187507055655274,0.03132881384586623,0.03132881384586623,0.003187507055655274,0.003187507055655274
NGC 1399,Fornax,outer,0.5615601809888983,0.5529401612092995,0.0585115164765005,3.887108280194417e-05,28.18126673154124,28.174886751320837,0.029279232342300947,31.498,0.026,-3.3231132486791637,0.03889308075040427,0.003917893366448728,-1.015828370302545e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_1399/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785289020/jw03055-o002_t002_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.029279232342300947,0.029374106893681143,0.0031874432801390594,0.03889308075040427,0.03889308075040427,0.0031874432801390594,0.0031874432801390594
NGC 1404,Fornax,inner,0.5824083422729056,0.5743629904786134,0.0382975005574672,4.833894129436312e-05,28.114922865187086,28.108968216981378,0.02154063012738928,31.366,0.025,-3.257031783018622,0.032693948329423954,0.0038703249451212847,-9.913111082052561e-06,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_1404/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785289892/jw03055-o003_t003_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.02154063012738928,0.02166631371358694,0.0031488803939333774,0.032693948329423954,0.032693948329423954,0.0031488803939333774,0.0031488803939333774
NGC 1404,Fornax,outer,0.5576612175561759,0.5496158657618837,0.0642310164248856,4.259257574252618e-05,28.224804377200137,28.218849728994428,0.017594388084862515,31.366,0.025,-3.1471502710055717,0.030240006666050933,0.0038703249451212847,-9.913111082052561e-06,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_1404/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785289892/jw03055-o003_t003_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.017594388084862515,0.017748039208073853,0.0031487974227569714,0.030240006666050933,0.030240006666050933,0.0031487974227569714,0.0031487974227569714
NGC 1549,Other,inner,0.5588902657451834,0.5502702459655846,0.0463548765276638,5.8093698551699525e-05,27.83294924126316,27.82656926104276,0.02216416612999741,31.231,0.026,-3.4044307389572417,0.03386219933703583,0.003917893366448728,-1.015828370302545e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_1549/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785295062/jw03055-o012_t012_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.02216416612999741,0.022289346546839117,0.003187735651028307,0.03386219933703583,0.03386219933703583,0.003187735651028307,0.003187735651028307
NGC 1549,Other,outer,0.5361956615082363,0.5275756417286375,0.0705287430862756,5.080253684241122e-05,27.966319976874995,27.959939996654594,0.014399447373443716,31.231,0.026,-3.271060003345408,0.02937247637438152,0.003917893366448728,-1.015828370302545e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_1549/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785295062/jw03055-o012_t012_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.014399447373443716,0.01459139451551974,0.0031876111119104656,0.02937247637438152,0.02937247637438152,0.0031876111119104656,0.0031876111119104656
NGC 3379,Other,inner,0.5971120848749858,0.5798720453157883,0.0587127768959997,7.332129171980804e-05,26.835398002278865,26.82263804183806,0.0197646394863581,30.078,0.028,-3.255361958161938,0.033800382569396804,0.004896220246160908,-1.586488781187719e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_3379/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785296263/jw03055-o013_t013_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.0197646394863581,0.019983287062175892,0.003983749970027819,0.033800382569396804,0.033800382569396804,0.003983749970027819,0.003983749970027819
NGC 3379,Other,outer,0.5657692966254233,0.5485292570662258,0.0891523328173371,6.517838482208299e-05,27.10468207703787,27.09192211659707,0.014715206861464058,30.078,0.028,-2.986077883402931,0.031118518614926968,0.004896220246160908,-1.586488781187719e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/F150W/source/products/NGC_3379/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785296263/jw03055-o013_t013_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv,0.014715206861464058,0.015007601432584073,0.003983608418723558,0.031118518614926968,0.031118518614926968,0.003983608418723558,0.003983608418723558
