galaxy,ra_deg_icrs,dec_deg_icrs,environment,cluster_or_group,batch_extinction_applied,mbar_F150W_observed,A_F150W_mag,mbar_F150W,sigma_mbar_internal,color_F090W_F150W_observed,E_F090W_minus_F150W,color_F090W_F150W,sigma_color_total_mag,sigma_color_radial_gradient_mag,sigma_color_with_floor_mag,mu_lit,sigma_mu_lit,Mbar_F150W,sigma_Mbar_internal,M150_model_aperture,visual_score,paper_iv_high_quality,annulus_delta_mag,coverage_warning,radial_gradient_warning,residual_structure_score,residual_amplitude_span,residual_structure_warning,P1_nonpositive,include_main,include_visual_clean,include_residual_clean,include_paper_iv_high_quality
NGC 1380,54.1149583333,-34.9763,Fornax,Fornax Cluster,False,28.096155110959128,0.00893197230856174,28.087223138650565,0.014890871141345845,0.5220665289080133,0.012068027691438261,0.5099985012165751,0.003462041730077411,0.0125391108045785,0.010582331167601844,31.408,0.025,-3.3207768613494366,0.02867808990093351,-22.221577691308518,7.0,True,0.0991681246154776,True,True,0.39810459556925276,0.09324828913182837,False,True,True,True,True,True
NGC 1399,54.6211791667,-35.4507416667,Fornax,Fornax Cluster,False,28.1636911517938,0.006379980220401243,28.157311171573397,0.022105432564654845,0.5779461899381395,0.008620019779598757,0.5693261701585407,0.003187341228287171,0.0219163001113569,0.010495672637117603,31.498,0.026,-3.340688828426604,0.03382378501252526,-22.712349254329297,9.5,False,0.0470147040159822,False,False,0.05022057850723777,0.04447763640073595,False,True,True,True,True,False
NGC 1404,54.7163208333,-35.5943916667,Fornax,Fornax Cluster,False,28.182953923393068,0.0059546482057078265,28.17699927518736,0.013786403257487864,0.5670866284450634,0.008045351794292173,0.5590412766507712,0.0031486735996211234,0.0123735623583648,0.010483994727056621,31.366,0.025,-3.18900072481264,0.028195042575958718,-22.48791804404304,8.0,True,0.1098815120130503,False,True,0.12018679613143911,0.04582719297439848,False,True,True,True,True,True
NGC 1549,63.9384291667,-55.5923611111,Other,Dorado Group,False,27.936233018493883,0.006379980220401243,27.92985303827348,0.0126065777881348,0.5413153124573032,0.008620019779598757,0.5326952926777044,0.0031874759996750263,0.0113473021184735,0.0104957135654754,31.231,0.026,-3.30114696172652,0.028536364295952615,-22.115837568226645,9.0,False,0.1333707356118374,False,True,0.17622107957922079,0.05742079648236608,False,True,True,True,True,False
NGC 3379,161.9566666667,12.5816305556,Other,Leo I Group (M96/M105 Group),False,27.02434494366104,0.012759960440802486,27.011584983220235,0.012227106363112548,0.5751199786598528,0.017240039559197513,0.5578799391006553,0.00398339777546079,0.0156713941247812,0.01076417474019936,30.078,0.028,-3.0664150167797644,0.030022108817115842,-21.425400759784964,10.0,True,0.2692840747590068,False,True,0.25744952546949457,0.038009205941557676,False,True,True,True,True,True
NGC 4374,186.2655966667,12.8869833333,Virgo,Virgo Cluster,False,27.967386788771677,0.020841268719977397,27.9465455200517,0.017170705923493564,0.5936816028894747,0.028158731280022605,0.5655228716094521,0.005343745654811565,0.0014246973059928,0.011338236971562972,31.112,0.027,-3.1654544799482984,0.031079289348622478,-22.438086489164686,8.0,True,0.0938683353909617,False,True,0.1493062191571116,0.04268052546480441,False,True,True,True,True,True
NGC 4406,186.549225,12.9459694444,Virgo,Virgo Cluster,False,27.864555296533613,0.015311952528962983,27.84924334400465,0.017483070533465244,0.63667265862817,0.020688047471037016,0.615984611157133,0.004383368838461608,0.0114697224332055,0.010918512827944852,31.096,0.025,-3.246756655995352,0.029861227662313625,-22.156633463215755,8.0,True,0.0965265532115893,False,True,0.6352539781252503,0.06591284609156604,False,True,True,True,True,True
NGC 4472,187.445,8.0002777778,Virgo,Virgo Cluster,False,27.724245017298724,0.011483964396722238,27.712761052902003,0.023250456491890257,0.6400102919618333,0.015516035603277762,0.6244942563585556,0.003797383266891397,0.0067463300368091,0.010696734065857054,31.016,0.027,-3.303238947097995,0.03521846876075463,-22.79316110689861,4.0,False,0.02947242585007,False,False,1.61160683484606,0.13814611093396034,True,True,True,False,False,False
NGC 4486,187.7058954167,12.3911694444,Virgo,Virgo Cluster,False,27.81941259601363,0.011909296411415653,27.807503299602214,0.048976810122325104,0.6683655107173402,0.016090703588584346,0.6522748071287559,0.0038581010608623473,0.0006398172122918,0.010718439429125266,31.046,0.025,-3.2384967003977856,0.0547132682910304,-22.55011677751182,3.0,False,0.0535049128719826,False,False,1.4714437802239937,0.16105866483231257,True,True,True,False,False,False
NGC 4552,188.91586375,12.5563416667,Virgo,Virgo Cluster,False,27.87167765953343,0.021266600734670814,27.85041105879876,0.013811665712926349,0.5983835211460735,0.02873339926532919,0.5696501218807444,0.0054215535127032245,0.0097206676783294,0.011375115053972188,30.923,0.028,-3.0725889412012393,0.03025150843962262,-21.967076113747755,9.0,True,0.1747140902322073,False,True,0.2049885678023868,0.05754981914982072,False,True,True,True,True,True
NGC 4621,190.50940875,11.6469194444,Virgo,Virgo Cluster,False,27.704347944187575,0.016587948573043233,27.68775999561453,0.013077451395449864,0.5880072445435102,0.022412051426956767,0.5655951931165534,0.0045953180812701765,0.0066070983691007,0.011005314546529263,30.821,0.026,-3.1332400043854705,0.02835836911023577,-21.74400752945182,7.0,True,0.1732079414056571,False,True,0.3546523041457989,0.11621092663332312,False,True,True,True,True,True
NGC 4636,190.70763875,2.6877638889,Virgo,NGC 4636 Group / Virgo Southern Extension,False,27.905387963614068,0.014886620514269568,27.8905013430998,0.018532109547461893,0.6245327581218525,0.020113379485730436,0.604419378636122,0.004314384904254271,0.0050889870175208,0.010891001657426057,31.07,0.026,-3.1794986569002006,0.03133195806666994,-21.851122515272976,6.0,True,0.1099118180140799,False,True,0.9696590684067558,0.0724347694301368,True,True,True,True,False,True
NGC 4649,190.9165333333,11.5526944444,Virgo,Virgo Cluster,False,27.886208183967188,0.013610624470189318,27.872597559497,0.016981276537939773,0.6415310640706674,0.01838937552981068,0.6231416885408567,0.004112650708966985,0.0017029621021175,0.010812672928280346,31.009,0.025,-3.1364024405030015,0.02964898927417641,-22.641573959828698,5.0,False,0.0427985370240442,False,False,1.40048752289978,0.05955724121565281,True,True,True,False,False,False
NGC 4697,192.1495754167,-5.8006888889,Virgo,NGC 4697 Group / Virgo II Southern Extension,False,27.11019128061749,0.015311952528962983,27.094879328088524,0.016805356378488092,0.5325665976613014,0.020688047471037016,0.5118785501902644,0.004383518805274066,0.0068483083386745,0.010918573034796781,30.324,0.028,-3.2291206719114776,0.03205394149290215,-21.38598770372532,6.0,True,0.1734218130673781,True,True,0.40430718876483823,0.08777792861202399,False,True,True,True,True,True
