sample,model,galaxy,delta_mu_sbf_minus_trgb
all_14,constant,NGC 1380,-0.12206438372446726
all_14,constant,NGC 1399,-0.14308353893692427
all_14,constant,NGC 1404,0.020355179783358324
all_14,constant,NGC 1549,-0.10081789172358313
all_14,constant,NGC 3379,0.15236561147312955
all_14,constant,NGC 4374,0.04568547314620375
all_14,constant,NGC 4406,-0.04197448154728889
all_14,constant,NGC 4472,-0.10261163981120802
all_14,constant,NGC 4486,-0.032526219413032464
all_14,constant,NGC 4552,0.14569999641809872
all_14,constant,NGC 4621,0.08050899059164607
all_14,constant,NGC 4636,0.03055219233845108
all_14,constant,NGC 4649,0.07703761911570695
all_14,constant,NGC 4697,-0.02291145403373207
all_14,linear,NGC 1380,-0.1324034548867843
all_14,linear,NGC 1399,-0.1419778122468962
all_14,linear,NGC 1404,0.02446014378696404
all_14,linear,NGC 1549,-0.09869244812144018
all_14,linear,NGC 3379,0.15866328768978377
all_14,linear,NGC 4374,0.04809471099797591
all_14,linear,NGC 4406,-0.056922070783546275
all_14,linear,NGC 4472,-0.13014154185003335
all_14,linear,NGC 4486,-0.06614782730640556
all_14,linear,NGC 4552,0.14702278511275324
all_14,linear,NGC 4621,0.08304282067518187
all_14,linear,NGC 4636,0.024204602344727988
all_14,linear,NGC 4649,0.07324208866882032
all_14,linear,NGC 4697,-0.009163858372073008
all_14,quadratic,NGC 1380,-0.06410712913599781
all_14,quadratic,NGC 1399,-0.19410560544636368
all_14,quadratic,NGC 1404,-0.008584906210092669
all_14,quadratic,NGC 1549,-0.09159381730414395
all_14,quadratic,NGC 3379,0.1326352812629885
all_14,quadratic,NGC 4374,0.011941539165480464
all_14,quadratic,NGC 4406,-0.06012351896709589
all_14,quadratic,NGC 4472,-0.11447565973434592
all_14,quadratic,NGC 4486,0.09586573227898398
all_14,quadratic,NGC 4552,0.11590742562653134
all_14,quadratic,NGC 4621,0.04909445380370059
all_14,quadratic,NGC 4636,0.0019341065645370747
all_14,quadratic,NGC 4649,0.08819042173755065
all_14,quadratic,NGC 4697,0.08257381260992602
all_14,broken,NGC 1380,-0.058313140846724565
all_14,broken,NGC 1399,-0.21768144548016366
all_14,broken,NGC 1404,-0.012920611525473191
all_14,broken,NGC 1549,-0.0771892981275144
all_14,broken,NGC 3379,0.1302273151160378
all_14,broken,NGC 4374,-0.0029346590551888596
all_14,broken,NGC 4406,-0.041325647992838555
all_14,broken,NGC 4472,-0.10280069873377684
all_14,broken,NGC 4486,0.021396073165735885
all_14,broken,NGC 4552,0.10662349009082916
all_14,broken,NGC 4621,0.03563006827928561
all_14,broken,NGC 4636,0.022447560290224544
all_14,broken,NGC 4649,0.10544073028395218
all_14,broken,NGC 4697,0.09020786884196497
visual_clean_11,constant,NGC 1380,-0.12881934803664308
visual_clean_11,constant,NGC 1399,-0.1500793677995702
visual_clean_11,constant,NGC 1404,0.01636686010913735
visual_clean_11,constant,NGC 1549,-0.10718588698599874
visual_clean_11,constant,NGC 3379,0.1511503720421885
visual_clean_11,constant,NGC 4374,0.04221579902789685
visual_clean_11,constant,NGC 4406,-0.047204115212242215
visual_clean_11,constant,NGC 4552,0.14433562313674386
visual_clean_11,constant,NGC 4621,0.07777231414736363
visual_clean_11,constant,NGC 4636,0.02677417722578923
visual_clean_11,constant,NGC 4697,-0.027753302577931294
visual_clean_11,linear,NGC 1380,-0.1134604864697657
visual_clean_11,linear,NGC 1399,-0.15947583680677013
visual_clean_11,linear,NGC 1404,0.01741095021133532
visual_clean_11,linear,NGC 1549,-0.08972486411082059
visual_clean_11,linear,NGC 3379,0.15332901800419307
visual_clean_11,linear,NGC 4374,0.037591068262596394
visual_clean_11,linear,NGC 4406,-0.14105763639923552
visual_clean_11,linear,NGC 4552,0.13715353736295555
visual_clean_11,linear,NGC 4621,0.07320420621945445
visual_clean_11,linear,NGC 4636,-0.015397800302835662
visual_clean_11,linear,NGC 4697,0.019607903945196625
visual_clean_11,quadratic,NGC 1380,-0.04690588216716307
visual_clean_11,quadratic,NGC 1399,-0.2068102399147591
visual_clean_11,quadratic,NGC 1404,-0.020557441634842633
visual_clean_11,quadratic,NGC 1549,-0.09920617326938341
visual_clean_11,quadratic,NGC 3379,0.12566620397488037
visual_clean_11,quadratic,NGC 4374,0.00214432948735066
visual_clean_11,quadratic,NGC 4406,-0.05024157339845203
visual_clean_11,quadratic,NGC 4552,0.10986497003568729
visual_clean_11,quadratic,NGC 4621,0.039992642337409734
visual_clean_11,quadratic,NGC 4636,0.030332973942634567
visual_clean_11,quadratic,NGC 4697,0.10151416590540663
visual_clean_11,broken,NGC 1380,-0.05768719569887182
visual_clean_11,broken,NGC 1399,-0.22168034159710004
visual_clean_11,broken,NGC 1404,-0.014843532618620259
visual_clean_11,broken,NGC 1549,-0.07786073416150074
visual_clean_11,broken,NGC 3379,0.12953096564537958
visual_clean_11,broken,NGC 4374,-0.005167505694007701
visual_clean_11,broken,NGC 4406,-0.05649037040234717
visual_clean_11,broken,NGC 4552,0.10605181720194068
visual_clean_11,broken,NGC 4621,0.033880467782807955
visual_clean_11,broken,NGC 4636,0.04851097642650615
visual_clean_11,broken,NGC 4697,0.09082838420653871
automatic_clean_10,constant,NGC 1380,-0.12740055489327418
automatic_clean_10,constant,NGC 1399,-0.14888397951942167
automatic_clean_10,constant,NGC 1404,0.019242330231875826
automatic_clean_10,constant,NGC 1549,-0.10554991166559091
automatic_clean_10,constant,NGC 3379,0.15535801956432138
automatic_clean_10,constant,NGC 4374,0.04534366165258419
automatic_clean_10,constant,NGC 4406,-0.04496871886883724
automatic_clean_10,constant,NGC 4552,0.14847561875780002
automatic_clean_10,constant,NGC 4621,0.08126116879796896
automatic_clean_10,constant,NGC 4697,-0.025326828894296938
automatic_clean_10,linear,NGC 1380,-0.1138050254247176
automatic_clean_10,linear,NGC 1399,-0.1656025219197126
automatic_clean_10,linear,NGC 1404,0.016173786779845045
automatic_clean_10,linear,NGC 1549,-0.08939588392415487
automatic_clean_10,linear,NGC 3379,0.15347244031071838
automatic_clean_10,linear,NGC 4374,0.03640325603699779
automatic_clean_10,linear,NGC 4406,-0.18978541508417024
automatic_clean_10,linear,NGC 4552,0.13846670901821412
automatic_clean_10,linear,NGC 4621,0.07271925063182394
automatic_clean_10,linear,NGC 4697,0.022347891580970725
