slope,delta_fornax_mag
-1.4732150954017325,-0.24327718019113925
-1.3762450320147839,-0.1568868600659759
-0.6776367052780422,-0.1153712048102161
-0.4055805293283848,-0.09914971162680344
-1.9293276766876541,-0.14486514999822941
-1.8618578948806537,-0.05176554802638112
-2.1334391116458074,-0.20982079601952458
-2.2926900229898353,-0.18304361744971714
-1.2648974401183284,-0.22692951036047335
-0.9396613218216112,-0.09246575628229861
-2.9207884105376074,-0.1652771656990015
-0.6320781927689954,-0.13779001402159857
-1.0818694652521432,-0.25577853629977
-1.5807119381117931,-0.19595327871979387
-0.7936969799563287,-0.13877198996281226
-0.858961586094034,-0.22767141333050728
-0.409364278568767,-0.01806945403387365
-2.0890889584367556,-0.17340017153961723
-0.6244316711577202,-0.14846599071834551
-0.1592395035449742,-0.18473428445376983
-1.6172519347455738,-0.12892847031172017
-2.2768501207783536,-0.08900808622074621
-1.403320266469715,-0.27099493386272244
-0.48136639497350375,-0.1177805057830282
-1.9540615276278939,-0.25353827061070133
-1.0129954245149742,-0.14567174859015447
-2.0063396895329273,-0.1038161170099327
-2.5000057809495284,-0.10164357288284746
-1.4168519450211505,-0.1750422682915834
-0.23856142034218344,-0.08521496372086239
-0.8507248406308676,-0.18697744316531859
-1.9825820362284734,-0.1138805082530962
-1.591627282747395,-0.26233420680048136
-0.8682643726333286,-0.09384454442391174
-0.829498944325789,-0.15908702282675247
-2.3545593801532494,-0.1429219062246429
0.06819748344264959,-0.03127289296892636
-0.7550130693690311,-0.17092575604077068
-0.28043770426086034,-0.22343422608336377
-1.982356864021253,-0.17894724395247752
-1.22363239031009,-0.16381774203414112
-1.1828336885933375,-0.17316547137983165
-1.7399340017566691,-0.2174886520683506
-1.3611442888867136,-0.17013535484912726
-1.4586867276730502,-0.2266709258355543
-0.7049645186699088,-0.16379603096390527
-3.234018153306837,-0.12609752827523096
0.10556431151447195,0.007349619197800237
-1.182411288007183,-0.13913068204532286
-1.3796971274351422,-0.24999004993861562
-0.9004090744678108,-0.09225690242063449
-0.4434358510483996,-0.15956461368094016
-1.4411343891372417,-0.08907265512109305
-0.10704562857007315,-0.12634222307225682
-1.1524687229605717,-0.12054751503981664
-0.8958047636947957,-0.16711220879819974
-0.9906729991473567,-0.23379124251442515
-0.5308679546636206,-0.1385067639933972
-1.624016367569014,-0.1581610554909437
-3.4007507045737237,-0.4237303012999058
-1.096275693926559,-0.1528056552815164
-1.521051241868425,-0.15048568804096565
-3.1149501270013302,-0.09757065945388145
-0.5717120814631829,-0.17364434706846904
-1.7390335966180988,-0.1775681577820853
-0.9932791126482576,-0.26204076734387644
-0.9399345417146273,-0.16649745159274437
-3.3584367928171392,-0.17425515852146628
-1.9385082056086989,-0.23535677296911575
-1.8497073362160725,-0.27754606180421765
0.11814235204422936,-0.11978015266682865
-1.0289300038571945,-0.1271654692795602
-0.7527515136664485,-0.09639994317399213
-2.4970501524868105,-0.14378654655987058
-1.5958083436850556,-0.17853278245007534
-1.0799055886642317,-0.19340109394122543
-1.0558378793267826,-0.22550033650427653
-1.0838048363752086,-0.1746730669665856
-0.507545812576808,-0.12295004923333239
-1.3679518445526315,-0.2571372931798009
-2.281595149724395,-0.27808304134624595
-1.4449604914442518,-0.24783340969336032
-0.7337241269527688,-0.1485545695836907
-1.001436923959861,-0.2390435441876049
-3.1070884948390813,-0.23299167228194884
-1.6402588711270198,-0.21027723783724406
-1.5059167813274927,-0.13462525057877403
-1.108896014715342,-0.14668843645095753
-0.916221738180966,-0.22569160934258647
-0.9087413992340194,-0.17238431839014096
-0.11697794555760949,-0.07885877892732127
-1.0848477555046712,-0.21511367407653134
-2.0083173803939736,-0.24892155038187025
-1.8191998351060756,-0.25100728855567644
-1.8657381089715415,-0.14393055950824252
-1.4408984042339212,-0.15568122527149791
-2.3058944019529264,-0.20971910154822815
-0.42818993223846646,-0.03299034137176138
-1.1294152604936134,-0.2664561470323991
-0.49011811834679164,-0.049611981828682816
-0.30146553555426236,-0.15394141140130854
0.31198323049820875,-0.12250615029786581
-1.3566386150030776,-0.19030799943917143
-1.057138149074313,-0.18195732434884723
-1.279903872674085,-0.04382318128386631
-2.799524122727812,-0.35261329508684514
-0.9055544932002112,-0.1751358643541305
-2.2273551672363796,-0.1383093829166136
-0.8314363754923046,-0.20312647971299522
-0.7584122427250587,-0.21970451342650363
-0.6853182718887163,-0.203494632276839
-1.9429078048586395,-0.14475046943540548
-1.2584951895802163,-0.11709224743828746
-0.9235581503917454,-0.20445868742501455
-1.4031926636249197,-0.2076853755075611
-1.1207140226824936,-0.27724415026242133
-1.712273413341758,-0.17202298276257816
-0.7987333952064445,-0.15455545580667251
-1.6301772557055103,-0.18393160029624123
-0.6782608348067125,-0.10386913328923016
-0.33854304940376956,-0.10746859903182895
-1.4193361066260033,-0.1230576082958996
-0.9628068094471394,-0.14382169136640824
0.1304169275282089,-0.12709365711083073
-0.4471777558982933,-0.14387657058114567
-2.7898683468380834,-0.14429093341416194
-1.269813481633868,-0.1784690899234909
-2.430247341597014,-0.1748977679210873
-0.9027283010122771,-0.23442631971698571
-2.7304578099689563,-0.39197306197338316
-1.728550306038527,-0.19036123408693154
-0.7789500784402495,-0.19671535980021784
-2.0347555617657083,-0.10748044186799634
-1.6892517802622278,-0.27247824720677977
-0.22004926843355208,-0.1382713387914515
-1.37706514816858,-0.25127953011061216
-0.4444621270367247,-0.11258823228380131
-0.680902170034361,-0.17236731227223462
-1.5544359030062134,-0.254953579623717
0.3714460161380106,-0.03587889992543904
-1.4272649138180802,-0.2389495853898989
-0.9219963902910173,-0.1990891193946665
-0.9701255442490694,-0.15127002820879534
-1.3744916861624064,-0.24688688493401661
-2.114191372761125,-0.12416575888138048
-3.1920989332661076,-0.11740930195441643
-2.496573030211807,-0.16425689838945026
-1.0996352043386723,-0.15196774800341037
-2.0167952865828322,-0.15630249451571768
-0.8556622071736144,-0.18131868367018472
-2.794497893143743,-0.15194160626463935
-1.0431477910219036,-0.11207728663675635
-1.281562298960399,-0.22360267723046215
-1.7932923880215836,-0.16732843331105143
-1.7514345959676918,-0.10883011253899727
-0.6345498213773435,-0.13985466378275888
-1.4057463166903132,-0.06778920893480307
-0.49882861149023383,-0.20719953271150857
-1.4735753585846882,-0.2869813118737682
-0.09883950550439367,-0.15173485281206125
