model,galaxy,environment,mu_trgb,sigma_mu_trgb,mu_sbf_loo,sigma_mu_sbf_internal,delta_mu_sbf_minus_trgb
constant,NGC 1380,Fornax,31.408,0.025,31.2859350502859,0.07854023758135936,-0.12206494971410109
constant,NGC 1399,Fornax,31.498,0.026,31.35491717324345,0.07829650769110034,-0.14308282675655093
constant,NGC 1404,Fornax,31.366,0.025,31.386355329868387,0.08507782776590708,0.020355329868387173
constant,NGC 1549,Other,31.231,0.026,31.130182694000528,0.08038584390908873,-0.10081730599947392
constant,NGC 3379,Other,30.078,0.028,30.23036749808842,0.0745041556489597,0.1523674980884202
constant,NGC 4374,Virgo,31.112,0.027,31.157685482672292,0.08499828760222833,0.04568548267229389
constant,NGC 4406,Virgo,31.096,0.025,31.054025720140118,0.08512169992121536,-0.04197427985988256
constant,NGC 4472,Virgo,31.016,0.027,30.913385763200314,0.08290352167503084,-0.10261423679968473
constant,NGC 4486,Virgo,31.046,0.025,31.01347248077921,0.09638081713663331,-0.032527519220789
constant,NGC 4552,Virgo,30.923,0.028,31.068700981837075,0.07582334317749513,0.14570098183707714
constant,NGC 4621,Virgo,30.821,0.026,30.90150944924466,0.08234055667646982,0.08050944924465853
constant,NGC 4636,Virgo,31.07,0.026,31.100551985726028,0.08571710287598405,0.030551985726027908
constant,NGC 4649,Virgo,31.009,0.025,31.086036701017747,0.08329556025668942,0.07703670101774662
constant,NGC 4697,Virgo,30.324,0.028,30.301088798150918,0.08547487405428066,-0.022911201849083795
linear,NGC 1380,Fornax,31.408,0.025,31.27500952901475,0.0784441694438892,-0.13299047098525207
linear,NGC 1399,Fornax,31.498,0.026,31.355921362719,0.07756905494991212,-0.14207863728100278
linear,NGC 1404,Fornax,31.366,0.025,31.390320079503834,0.08426945366334444,0.02432007950383408
linear,NGC 1549,Other,31.231,0.026,31.13197796232619,0.08033211125078582,-0.09902203767381224
linear,NGC 3379,Other,30.078,0.028,30.23678426311114,0.07262215581583951,0.1587842631111407
linear,NGC 4374,Virgo,31.112,0.027,31.160008758819913,0.08416894653773689,0.04800875881991473
linear,NGC 4406,Virgo,31.096,0.025,31.039378935093467,0.08372235426511063,-0.05662106490653329
linear,NGC 4472,Virgo,31.016,0.027,30.88622439843523,0.07988552456262991,-0.12977560156476997
linear,NGC 4486,Virgo,31.046,0.025,30.980580224456848,0.095046060635297,-0.06541977554315181
linear,NGC 4552,Virgo,30.923,0.028,31.070043687149198,0.07476329818087275,0.1470436871491998
linear,NGC 4621,Virgo,30.821,0.026,30.904012453031573,0.08137763281806155,0.08301245303157145
linear,NGC 4636,Virgo,31.07,0.026,31.094428883188055,0.08518198494256886,0.024428883188054584
linear,NGC 4649,Virgo,31.009,0.025,31.082637176443264,0.08320173847835198,0.07363717644326329
linear,NGC 4697,Virgo,30.324,0.028,30.314246904180443,0.08497533224998369,-0.00975309581955841
quadratic,NGC 1380,Fornax,31.408,0.025,31.339554519607905,0.07294604280783125,-0.06844548039209641
quadratic,NGC 1399,Fornax,31.498,0.026,31.303560573012263,0.05632147830497913,-0.19443942698773853
quadratic,NGC 1404,Fornax,31.366,0.025,31.35722811793454,0.07369886957482503,-0.00877188206546009
quadratic,NGC 1549,Other,31.231,0.026,31.139101911342998,0.06943265821078691,-0.091898088657004
quadratic,NGC 3379,Other,30.078,0.028,30.211067158604525,0.0646290714662722,0.13306715860452556
quadratic,NGC 4374,Virgo,31.112,0.027,31.12383542414916,0.0743845504559308,0.01183542414916161
quadratic,NGC 4406,Virgo,31.096,0.025,31.036236950015493,0.0728168010765389,-0.05976304998450743
quadratic,NGC 4472,Virgo,31.016,0.027,30.902192919973075,0.07071363859952261,-0.1138070800269233
quadratic,NGC 4486,Virgo,31.046,0.025,31.142660429514596,0.08540318569675096,0.0966604295145963
quadratic,NGC 4552,Virgo,30.923,0.028,31.038995927622206,0.06741494273146434,0.11599592762220823
quadratic,NGC 4621,Virgo,30.821,0.026,30.87013833958548,0.07257664724131058,0.049138339585478974
quadratic,NGC 4636,Virgo,31.07,0.026,31.072142087863035,0.07474447241713728,0.002142087863035158
quadratic,NGC 4649,Virgo,31.009,0.025,31.097370477914893,0.07061137834379537,0.08837047791489283
quadratic,NGC 4697,Virgo,30.324,0.028,30.405151768234088,0.07189520665421668,0.08115176823408632
broken,NGC 1380,Fornax,31.408,0.025,31.34900977359053,0.07143504180103183,-0.05899022640947038
broken,NGC 1399,Fornax,31.498,0.026,31.280579138609095,0.04979018550279035,-0.21742086139090588
broken,NGC 1404,Fornax,31.366,0.025,31.352673640469238,0.07204481471680729,-0.013326359530761778
broken,NGC 1549,Other,31.231,0.026,31.15347196211046,0.06911858509202677,-0.0775280378895431
broken,NGC 3379,Other,30.078,0.028,30.209026980703676,0.06331051029901257,0.1310269807036768
broken,NGC 4374,Virgo,31.112,0.027,31.108732666653587,0.07274121994664791,-0.00326733334641105
broken,NGC 4406,Virgo,31.096,0.025,31.0549631591819,0.07215876009320202,-0.04103684081810144
broken,NGC 4472,Virgo,31.016,0.027,30.913592106972718,0.07009700099407945,-0.10240789302728004
broken,NGC 4486,Virgo,31.046,0.025,31.06831737805624,0.08530975249567187,0.02231737805623979
broken,NGC 4552,Virgo,30.923,0.028,31.029277822871503,0.06689614675996876,0.10627782287150467
broken,NGC 4621,Virgo,30.821,0.026,30.85676588167857,0.0714716378061193,0.03576588167856798
broken,NGC 4636,Virgo,31.07,0.026,31.092530542696398,0.07296906825032462,0.02253054269639776
broken,NGC 4649,Virgo,31.009,0.025,31.114655288314008,0.06748128284899667,0.10565528831400783
broken,NGC 4697,Virgo,30.324,0.028,30.41301622384189,0.06994641856818463,0.08901622384188812
