model,n,n_parameters,color_center,intercept,slope,curvature,slope_change,sigma_int,log_likelihood,aic,aicc,use_color_errors,color_error_column,use_extinction_covariance,use_shared_anchor_covariance
constant,14,2,0.567460681637547,-3.224394556743532,0.0,,,0.06696905864837985,16.634982976886995,-29.26996595377399,-28.1790568628649,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.196076588083983,0.0,,,0.06320003215740036,17.344083152624552,-30.688166305249105,-29.597257214340015,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2002219650669796,0.0,,,0.07381205724763062,15.397008567878524,-26.79401713575705,-25.70310804484796,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1760492409066714,0.0,,,0.07536683404361903,15.243190543026069,-26.486381086052138,-25.395471995143048,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2187949464536514,0.0,,,0.0690917605683922,16.176525790353434,-28.353051580706868,-27.262142489797778,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.203484047906831,0.0,,,0.0814007667596505,14.249834186438433,-24.499668372876865,-23.408759281967775,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.236779968118904,0.0,,,0.05094956616252081,19.523910954563064,-35.04782190912613,-33.956912818217035,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.216041911320102,0.0,,,0.10205776687511217,11.460419468423803,-18.920838936847606,-17.829929845938516,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.250573822007369,0.0,,,0.08063535957450192,14.423230283433647,-24.846460566867293,-23.755551475958203,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2155967101862006,0.0,,,0.06262163319602015,17.42544702492646,-30.85089404985292,-29.75998495894383,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.252087378870157,0.0,,,0.054988503954283285,18.725017545498467,-33.450035090996934,-32.35912600008784,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.235912489112596,0.0,,,0.08775253976192322,13.34421477017586,-22.68842954035172,-21.59752044944263,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2156441697834097,0.0,,,0.08252753205351833,14.122271708037287,-24.244543416074574,-23.153634325165484,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2047637053226126,0.0,,,0.0717493286166883,15.636903197317192,-27.273806394634384,-26.182897303725294,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2049156694829795,0.0,,,0.08136764995894882,14.241227570534937,-24.482455141069874,-23.391546050160784,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.203326707434118,0.0,,,0.09514599891480119,12.346290596224218,-20.692581192448436,-19.601672101539346,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.260405634309951,0.0,,,0.040605140978799664,21.71222164144595,-39.4244432828919,-38.33353419198281,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.21108353314147,0.0,,,0.07392201080320844,15.365892527036383,-26.731785054072766,-25.640875963163676,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2083916008786186,0.0,,,0.05805095697993321,18.35768134968833,-32.71536269937666,-31.624453608467572,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1859799236380324,0.0,,,0.06465760024245154,17.055171196027807,-30.110342392055614,-29.019433301146524,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.240862338677871,0.0,,,0.07520799462122135,15.217264088849149,-26.434528177698297,-25.343619086789207,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.199409753755667,0.0,,,0.09613382989929783,12.205476338655386,-20.41095267731077,-19.32004358640168,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1566767779236447,0.0,,,0.06862120880571387,16.282487371274538,-28.564974742549076,-27.474065651639986,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2332364624588044,0.0,,,0.07511495848100294,15.329950101872383,-26.659900203744765,-25.568991112835675,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2238039655591018,0.0,,,0.09024773910703873,13.023941282882484,-22.04788256576497,-20.95697347485588,True,sigma_color_stat_mag,True,False
