galaxy,k,relative_power
NGC 1380,0.015,11.703485290576833
NGC 1380,0.025,6.380690863177003
NGC 1380,0.035,4.819492026622378
NGC 1380,0.045,4.474742245186954
NGC 1380,0.05500000000000001,3.9287700996552477
NGC 1380,0.065,3.2872111422601056
NGC 1380,0.075,2.8529421118612617
NGC 1380,0.08499999999999999,2.614391526168406
NGC 1380,0.095,2.099418485734686
NGC 1380,0.105,1.7592608044310063
NGC 1380,0.11499999999999999,1.5455080902991727
NGC 1380,0.125,1.2282365887477522
NGC 1380,0.135,1.1784381088180285
NGC 1380,0.14500000000000002,1.0
NGC 1380,0.15500000000000003,0.9124728228581411
NGC 1380,0.165,0.8002923287307321
NGC 1380,0.17500000000000002,0.7683348597660336
NGC 1380,0.185,0.6426803731100699
NGC 1380,0.195,0.6207806613965683
NGC 1380,0.20500000000000002,0.5533930120350299
NGC 1380,0.21500000000000002,0.5576437849335937
NGC 1380,0.225,0.49818359934237827
NGC 1380,0.23500000000000001,0.4370847000148314
NGC 1380,0.245,0.4267223485751321
NGC 1380,0.255,0.3847442973004091
NGC 1380,0.265,0.36195902330101026
NGC 1380,0.275,0.3616094500941091
NGC 1380,0.28500000000000003,0.3014475156373484
NGC 1380,0.29500000000000004,0.2913225854748347
NGC 1380,0.305,0.25535745114647973
NGC 1380,0.315,0.2659473245425654
NGC 1380,0.325,0.24548967713706374
NGC 1380,0.335,0.2188004862431336
NGC 1380,0.34500000000000003,0.2200056996349268
NGC 1380,0.35500000000000004,0.21131445124506798
NGC 1380,0.365,0.19633347947036184
NGC 1380,0.375,0.19087538417831595
NGC 1380,0.385,0.17406730727133737
NGC 1380,0.395,0.16944190918470375
NGC 1380,0.405,0.16061838962710814
NGC 1380,0.41500000000000004,0.16244851058131254
NGC 1380,0.42500000000000004,0.16141525878725974
NGC 1380,0.435,0.14216384534793558
NGC 1380,0.445,0.14236909012576465
NGC 1399,0.015,9.566727175685566
NGC 1399,0.025,5.201466686440263
NGC 1399,0.035,4.90738941233906
NGC 1399,0.045,3.1691271824751284
NGC 1399,0.05500000000000001,3.354061610692116
NGC 1399,0.065,2.5449854695600984
NGC 1399,0.075,2.210347935627488
NGC 1399,0.08499999999999999,2.2027016104699606
NGC 1399,0.095,1.7149020568802615
NGC 1399,0.105,1.4041044923453547
NGC 1399,0.11499999999999999,1.4216456561044013
NGC 1399,0.125,1.1978756914992401
NGC 1399,0.135,1.167711189878694
NGC 1399,0.14500000000000002,1.0
NGC 1399,0.15500000000000003,0.9666921714172999
NGC 1399,0.165,0.7834378260747668
NGC 1399,0.17500000000000002,0.7051757313675366
NGC 1399,0.185,0.5667956773461693
NGC 1399,0.195,0.5374333952692575
NGC 1399,0.20500000000000002,0.4907563702908718
NGC 1399,0.21500000000000002,0.41836948045027705
NGC 1399,0.225,0.37404843193975423
NGC 1399,0.23500000000000001,0.32034432582864336
NGC 1399,0.245,0.2762896305047938
NGC 1399,0.255,0.26491365440457926
NGC 1399,0.265,0.23395454848494407
NGC 1399,0.275,0.20178213220969546
NGC 1399,0.28500000000000003,0.1884879592216747
NGC 1399,0.29500000000000004,0.18084831326469522
NGC 1399,0.305,0.1565402822865021
NGC 1399,0.315,0.15307095516539332
NGC 1399,0.325,0.13914383974444636
NGC 1399,0.335,0.12107727649862511
NGC 1399,0.34500000000000003,0.11074049792171711
NGC 1399,0.35500000000000004,0.10098050927772309
NGC 1399,0.365,0.10104293551246962
NGC 1399,0.375,0.08339837261263913
NGC 1399,0.385,0.08071392956958419
NGC 1399,0.395,0.07720914172644554
NGC 1399,0.405,0.07071814566000616
NGC 1399,0.41500000000000004,0.06671420273821049
NGC 1399,0.42500000000000004,0.06695359192668746
NGC 1399,0.435,0.06208493956467548
NGC 1399,0.445,0.05908305244903099
NGC 1404,0.015,5.01568623048361
NGC 1404,0.025,4.7415928817241175
NGC 1404,0.035,3.504849761286857
NGC 1404,0.045,3.1287168200429356
NGC 1404,0.05500000000000001,2.843776798867715
NGC 1404,0.065,2.226358588863204
NGC 1404,0.075,2.4804066197744485
NGC 1404,0.08499999999999999,1.9328662922301905
NGC 1404,0.095,1.7835581726639815
NGC 1404,0.105,1.623090031819526
NGC 1404,0.11499999999999999,1.367774419813772
NGC 1404,0.125,1.1523296771763116
NGC 1404,0.135,1.0141610089189788
NGC 1404,0.14500000000000002,1.0
NGC 1404,0.15500000000000003,0.7292002989475186
NGC 1404,0.165,0.770169745001949
NGC 1404,0.17500000000000002,0.7078776119894731
