galaxy,anchor_scenario,anchor_source,mu_anchor,sigma_mu_anchor,anchor_covariance_group,sigma_mu_anchor_shared_mag
NGC 1380,Paper IV thin (primary),Paper IV individual thin,31.408,0.025,,0.0
NGC 1399,Paper IV thin (primary),Paper IV individual thin,31.498,0.026,,0.0
NGC 1404,Paper IV thin (primary),Paper IV individual thin,31.366,0.025,,0.0
NGC 1549,Paper IV thin (primary),Paper IV individual thin,31.231,0.026,,0.0
NGC 3379,Paper IV thin (primary),Paper IV individual thin,30.078,0.028,,0.0
NGC 4374,Paper IV thin (primary),Paper IV individual thin,31.112,0.027,,0.0
NGC 4406,Paper IV thin (primary),Paper IV individual thin,31.096,0.025,,0.0
NGC 4472,Paper IV thin (primary),Paper IV individual thin,31.016,0.027,,0.0
NGC 4486,Paper IV thin (primary),Paper IV individual thin,31.046,0.025,,0.0
NGC 4552,Paper IV thin (primary),Paper IV individual thin,30.923,0.028,,0.0
NGC 4621,Paper IV thin (primary),Paper IV individual thin,30.821,0.026,,0.0
NGC 4636,Paper IV thin (primary),Paper IV individual thin,31.07,0.026,,0.0
NGC 4649,Paper IV thin (primary),Paper IV individual thin,31.009,0.025,,0.0
NGC 4697,Paper IV thin (primary),Paper IV individual thin,30.324,0.028,,0.0
NGC 1380,Paper IV thick (sensitivity),Paper IV individual thick,31.405,0.027,,0.0
NGC 1399,Paper IV thick (sensitivity),Paper IV individual thick,31.468,0.026,,0.0
NGC 1404,Paper IV thick (sensitivity),Paper IV individual thick,31.355,0.027,,0.0
NGC 1549,Paper IV thick (sensitivity),Paper IV individual thick,31.262,0.026,,0.0
NGC 3379,Paper IV thick (sensitivity),Paper IV individual thick,30.077,0.03,,0.0
NGC 4374,Paper IV thick (sensitivity),Paper IV individual thick,31.111,0.028,,0.0
NGC 4406,Paper IV thick (sensitivity),Paper IV individual thick,31.072,0.027,,0.0
NGC 4472,Paper IV thick (sensitivity),Paper IV individual thick,31.014,0.026,,0.0
NGC 4486,Paper IV thick (sensitivity),Paper IV individual thick,31.046,0.027,,0.0
NGC 4552,Paper IV thick (sensitivity),Paper IV individual thick,30.921,0.029,,0.0
NGC 4621,Paper IV thick (sensitivity),Paper IV individual thick,30.821,0.028,,0.0
NGC 4636,Paper IV thick (sensitivity),Paper IV individual thick,31.058,0.027,,0.0
NGC 4649,Paper IV thick (sensitivity),Paper IV individual thick,30.992,0.026,,0.0
NGC 4697,Paper IV thick (sensitivity),Paper IV individual thick,30.311,0.028,,0.0
NGC 1380,Paper III cluster means,Paper III Fornax mean + individual depth,31.424,0.056648036153074184,Fornax,0.02
NGC 1399,Paper III cluster means,Paper III Fornax mean + individual depth,31.424,0.056648036153074184,Fornax,0.02
NGC 1404,Paper III cluster means,Paper III Fornax mean + individual depth,31.424,0.056648036153074184,Fornax,0.02
NGC 1549,Paper III cluster means,Paper IV individual thin,31.231,0.026,,0.0
NGC 3379,Paper III cluster means,Paper IV individual thin,30.078,0.028,,0.0
NGC 4374,Paper III cluster means,Paper III Virgo mean + individual depth,31.055,0.08598837130682266,Virgo,0.013
NGC 4406,Paper III cluster means,Paper III Virgo mean + individual depth,31.055,0.08598837130682266,Virgo,0.013
NGC 4472,Paper III cluster means,Paper III Virgo mean + individual depth,31.055,0.08598837130682266,Virgo,0.013
NGC 4486,Paper III cluster means,Paper III Virgo mean + individual depth,31.055,0.08598837130682266,Virgo,0.013
NGC 4552,Paper III cluster means,Paper III Virgo mean + individual depth,31.055,0.08598837130682266,Virgo,0.013
NGC 4621,Paper III cluster means,Paper III Virgo mean + individual depth,31.055,0.08598837130682266,Virgo,0.013
NGC 4636,Paper III cluster means,Paper III Virgo mean + individual depth,31.055,0.08598837130682266,Virgo,0.013
NGC 4649,Paper III cluster means,Paper III Virgo mean + individual depth,31.055,0.08598837130682266,Virgo,0.013
NGC 4697,Paper III cluster means,Paper IV individual thin,30.324,0.028,,0.0
