galaxy,environment,D_trgb_mpc,sigma_D_trgb_mpc,D_sbf_adopted_mpc,sigma_D_sbf_adopted_mpc,D_jensen_f160w_mpc,sigma_D_jensen_f160w_mpc
NGC 1380,Fornax,19.124936418442093,0.22018396750781852,18.079524746315336,0.6779055270901746,20.120279064095165,1.1905008676596314
NGC 1399,Fornax,19.934254564980947,0.2386816504866229,18.663085026273315,0.6994157867949334,20.298315568544858,1.1854999370512183
NGC 1404,Fornax,18.75858173799283,0.21596615337806316,18.9352509826239,0.7711469633194588,19.840563382616548,1.2228055080182154
NGC 1549,Other,17.627876532324,0.2110663657672378,16.828156366146807,0.6551635926128653,,
NGC 3379,Other,10.365732567670046,0.1336606952143677,11.119198917072035,0.3985708261348833,,
NGC 4374,Virgo,16.687835113653897,0.20749586598202713,17.042648878725668,0.6947770000258109,,
NGC 4406,Virgo,16.565326493180184,0.19071536921888013,16.248195803900003,0.6614404093403501,,
NGC 4472,Virgo,15.966142459934131,0.19852236875266352,15.229202191050598,0.6028930680179845,16.189595575972795,0.983197296093612
NGC 4486,Virgo,16.18825362642106,0.18637415740901966,15.947569230487648,0.7312431217259721,,
NGC 4552,Virgo,15.296779272301395,0.1972439611700404,16.358376379180413,0.5965533490721566,,
NGC 4621,Virgo,14.59486223782621,0.1747507435602258,15.146137315882411,0.5969259225718093,,
NGC 4636,Virgo,16.368165214278086,0.19598328475471413,16.60008826095886,0.6826758118369488,,
NGC 4649,Virgo,15.914756566438562,0.1832254061425527,16.489494425407777,0.6609833897071119,15.856086267711438,0.9843413623275817
NGC 4697,Virgo,11.609138701261834,0.14969376640974424,11.487294616481202,0.4719304920399597,,
