galaxy,environment,D_trgb_mpc,sigma_D_trgb_mpc,D_sbf_linear_mpc,sigma_D_sbf_linear_mpc,D_sbf_quadratic_mpc,sigma_D_sbf_quadratic_mpc,D_sbf_broken_mpc,sigma_D_sbf_broken_mpc,D_sbf_constant_mpc,sigma_D_sbf_constant_mpc,D_jensen_f160w_mpc,sigma_D_jensen_f160w_mpc
NGC 1380,Fornax,19.124936418442093,0.22018396750781852,17.99365167353292,0.7929941335285816,18.56857491555712,1.4280970788427994,18.61818630602659,1.866086310846778,18.079529458705363,0.6779021932382616,20.120279064095165,1.1905008676596314
NGC 1399,Fornax,19.934254564980947,0.2386816504866229,18.672584676298317,0.7022149112683203,18.22967301964445,0.5170709110966314,18.032822625635713,0.4769575961735399,18.663078905320255,0.6994106207504216,20.298315568544858,1.1854999370512183
NGC 1404,Fornax,18.75858173799283,0.21596615337806316,18.971078834550436,0.7829772018520665,18.684566177635816,0.7197487790540251,18.647296557903918,0.7094123046368654,18.935249673881692,0.7711428253171214,19.840563382616548,1.2228055080182154
NGC 1549,Other,17.627876532324,0.2110663657672378,16.84463133543499,0.7232368052917807,16.899787218394017,0.6709820759263562,17.01226504998381,0.8937210974172167,16.82815182698917,0.6551591782977059,,
NGC 3379,Other,10.365732567670046,0.1336606952143677,11.151483792944253,0.4057028175080277,11.018616206400214,0.3708225178389221,11.006404331597148,0.3666273227239073,11.119189256511076,0.39856919251368206,,
NGC 4374,Virgo,16.687835113653897,0.20749586598202713,17.061568031604825,0.697706495815729,16.779859025953087,0.648284962006605,16.66529739753643,0.6593860352359522,17.042648803960812,0.6947733083401149,,
NGC 4406,Virgo,16.565326493180184,0.19071536921888013,16.136731984235645,0.6743717743617265,16.11295878436047,0.6826876472942001,16.25304996264355,0.6005673690571521,16.248194294759802,0.661436759481326,,
NGC 4472,Virgo,15.966142459934131,0.19852236875266352,15.037363275776979,0.6138656768743623,15.146241181914085,1.1051463466544036,15.227894532446799,1.362877610386664,15.2292204045384,0.6028914942800659,16.189595575972795,0.983197296093612
NGC 4486,Virgo,16.18825362642106,0.18637415740901966,15.702559023987982,0.8167175412585933,16.91893985114415,1.263233695261452,16.348549049776246,2.349582022984384,15.947578776443788,0.7312398566783208,,
NGC 4552,Virgo,15.296779272301395,0.1972439611700404,16.368336965226888,0.591738138202114,16.135464980931715,0.5694499775047559,16.066626508750755,0.6006206806627435,16.35836895571474,0.5965501611311598,,
NGC 4621,Virgo,14.59486223782621,0.1747507435602258,15.163818030103785,0.5999050685260163,14.928593439415693,0.5668609111837336,14.836313910126254,0.5892553738933346,15.14613411675322,0.596922699822507,,
NGC 4636,Virgo,16.368165214278086,0.19598328475471413,16.551635756718277,0.6955599187935635,16.382750653381287,0.6645928126841257,16.53824845446411,0.9702118165881145,16.600089840433046,0.6826721844012185,,
NGC 4649,Virgo,15.914756566438562,0.1832254061425527,16.460704467208966,0.7261996937954918,16.57441025170203,0.7450775850508341,16.70660274958381,1.0362526437417094,16.48950139716313,0.6609795103090416,15.856086267711438,0.9843413623275817
NGC 4697,Virgo,11.609138701261834,0.14969376640974424,11.560250057520655,0.5731447799137774,12.059096278186983,1.2082075012225972,12.101566001418961,1.0425823289201817,11.487293282400614,0.47192796809381815,,
