galaxy,sigma_measurement_mag,sigma_radial_gradient_mag,sigma_psf_diagnostic_mag,sigma_Pr_mag,sigma_sky_mag,sigma_A_F150W_mag,sigma_mu_lit,sigma_mu_without_reddening_mag,sigma_reddening_color_mag,sigma_mbar_internal,sigma_mbar_total,sigma_Mbar_internal,sigma_color_total_mag,sigma_color_radial_gradient_mag,sigma_color_with_floor_mag,cov_color_Mbar_extinction
NGC 1380,0.013908366537193411,0.0495840623077388,0.0029510487404601094,0.00020674549445163717,0.004420854130956801,0.002562236206655117,0.025,0.024263355085395757,0.0034618487861051944,0.014890871141345845,0.015109702105827927,0.02867808990093351,0.003462041730077411,0.0125391108045785,0.010582331167601844,-1.1984397017858008e-05
NGC 1399,0.009591305935413198,0.0235073520079911,0.002907473734781872,0.0006144775942699427,0.019693298684870044,0.0023589635959387787,0.026,0.025401574754333637,0.00318720625360604,0.022105432564654845,0.02223094370730733,0.03382378501252526,0.003187341228287171,0.0219163001113569,0.010495672637117603,-1.015828370302545e-05
NGC 1404,0.013227936839553396,0.0549407560065251,0.0014437312672131645,0.0009778929748991015,0.003470730053543795,0.002330322649457525,0.025,0.024392261067805916,0.003148509342856165,0.013786403257487864,0.013981964040457503,0.028195042575958718,0.0031486735996211234,0.0123735623583648,0.010483994727056621,-9.913111082052561e-06
NGC 1549,0.0102426154973212,0.0666853678059187,0.002166489942184285,0.00015065444474852282,0.007021271670503935,0.0023589635959387787,0.026,0.025401574754333637,0.00318720625360604,0.0126065777881348,0.012825385482520909,0.028536364295952615,0.0031874759996750263,0.0113473021184735,0.0104957135654754,-1.015828370302545e-05
NGC 3379,0.010575055846671275,0.1346420373795034,0.0021786623529717014,0.001289817069657681,0.005591075579279407,0.0029480142102134826,0.028,0.027128582712703592,0.0039830751702518985,0.012227106363112548,0.012577476606954512,0.030022108817115842,0.00398339777546079,0.0156713941247812,0.01076417474019936,-1.586488781187719e-05
NGC 4374,0.013203944060751555,0.0469341676954808,0.0023879444922079666,0.0011382014423156526,0.010653225883763329,0.003955029734863153,0.027,0.02534826226785576,0.005343658344645698,0.017170705923493564,0.017620312202533434,0.031079289348622478,0.005343745654811565,0.0014246973059928,0.011338236971562972,-2.8554684504301596e-05
NGC 4406,0.01297667702141996,0.0482632766057946,0.002978943612773587,0.0009467489786292681,0.011291287352788955,0.0032441877039497786,0.025,0.023808032258042667,0.0043832365008522585,0.017483070533465244,0.017781521564156976,0.029861227662313625,0.004383368838461608,0.0114697224332055,0.010918512827944852,-1.921276222240355e-05
NGC 4472,0.022238319113218656,0.014736212925035,0.0011839341688843763,4.810212751979886e-05,0.006681083457719391,0.002810488905451811,0.027,0.02617895337862077,0.003797264116567096,0.023250456491890257,0.02341970484376243,0.03521846876075463,0.003797383266891397,0.0067463300368091,0.010696734065857054,-1.4419214770968088e-05
NGC 4486,0.017734715890563572,0.0267524564359913,0.0017288499345605637,0.0002875053940584847,0.04561947172635207,0.0028554448686784217,0.025,0.02408172751278446,0.003858004319332165,0.048976810122325104,0.04905997854826629,0.0547132682910304,0.0038581010608623473,0.0006398172122918,0.010718439429125266,-1.488419732798564e-05
NGC 4552,0.011625993007693345,0.0873570451161036,0.0018632304726921482,0.0010088038525181819,0.007149061710704881,0.00401257420147731,0.028,0.026362852652928138,0.005421406930579293,0.013811665712926349,0.014382727887573573,0.03025150843962262,0.0054215535127032245,0.0097206676783294,0.011375115053972188,-2.9391653106933186e-05
NGC 4621,0.011986945557012138,0.0866039707028285,0.002814511281604132,0.0005785876624268109,0.00436768059457089,0.003400996918161547,0.026,0.02473989490680993,0.00459510213074974,0.013077451395449864,0.013512457771911738,0.02835836911023577,0.0045953180812701765,0.0066070983691007,0.011005314546529263,-2.1114963592020803e-05
NGC 4636,0.014885224320146651,0.0549559090070399,0.0033485816268233855,0.00013621400505720908,0.010518442282551634,0.0031931076882368565,0.026,0.024892569172345388,0.004314222063412527,0.018532109547461893,0.018805186013113658,0.03133195806666994,0.004314384904254271,0.0050889870175208,0.010891001657426057,-1.8612512012435444e-05
NGC 4649,0.015949507239682442,0.0213992685120221,0.002117158169422111,4.220909073811249e-05,0.0054307302775602265,0.0030438561051523163,0.025,0.02395382224197216,0.0041125675826962456,0.016981276537939773,0.017251922004427704,0.02964898927417641,0.004112650708966985,0.0017029621021175,0.010812672928280346,-1.691321212224404e-05
NGC 4697,0.012304340325206935,0.086710906533689,0.0022998583015233134,0.0011709384240795383,0.011151805556474041,0.0032441877039497786,0.028,0.026941091291928027,0.0043832365008522585,0.016805356378488092,0.017115629023394068,0.03205394149290215,0.004383518805274066,0.0068483083386745,0.010918573034796781,-1.921276222240355e-05
