target_galaxy,NGC 1380,NGC 1399,NGC 1404,NGC 1549,NGC 3379,NGC 4374,NGC 4406,NGC 4472,NGC 4486,NGC 4552,NGC 4621,NGC 4636,NGC 4649,NGC 4697
NGC 1380,0.0,0.07609627708618996,0.08004039875102242,0.07981094145167322,0.07879599488235282,0.07805899045000879,0.07890711026036676,0.07507581496997189,0.060342572042841276,0.07863706918040608,0.07993078082609992,0.07788115743631607,0.07905325867515024,0.07736963398760047
NGC 1399,0.07952978406432885,0.0,0.07986952507941074,0.07962976093481652,0.0785700038898704,0.07780125600825127,0.07868596315344145,0.07469641267159738,0.05952095951160115,0.07840417653566388,0.07975497518670505,0.07761586371059025,0.07883850583137773,0.07708281342234541
NGC 1404,0.07938612275543457,0.07626743349113395,0.0,0.0794680526748151,0.07859771524622092,0.07796376624241665,0.07869315060400081,0.07538080458338874,0.0622127101767785,0.07846115136858223,0.07957061240760209,0.07781055277637025,0.07881861846961016,0.07736930920364599
NGC 1549,0.07959799472133051,0.07615776769204609,0.07990632330012173,0.0,0.0787256323729337,0.07802548955106114,0.07883113390624406,0.07518486588362867,0.06099733761021384,0.07857471036412714,0.07980239201698351,0.07785645357915859,0.0789698760426059,0.07737002295954509
NGC 3379,0.07985079628653755,0.07592200862883147,0.08020532696017166,0.07995511304713711,0.0,0.07804885723345725,0.07897075502909436,0.07481983589949479,0.05917812575614609,0.07867703574785465,0.0800857772067078,0.07785577325832958,0.0791297913437701,0.07730080360246765
NGC 4374,0.07928567599861452,0.0761212602670553,0.07956822055583182,0.07936886285378084,0.07848531881218157,0.0,0.07858218661222947,0.07522238484819196,0.06191152548555519,0.07834671189887747,0.07947300003653908,0.07768648888393118,0.07870954358029746,0.0772388201669141
NGC 4406,0.07934015368115596,0.07617955888649608,0.07962233288246146,0.07942323338002906,0.0785408099021649,0.0778982353328317,0.0,0.07528167809864958,0.06198084676903445,0.07840237525938354,0.07952723593502538,0.07774295971578453,0.07876475396697898,0.07729582619000432
NGC 4472,0.07923342463026774,0.07582140337385405,0.0795391705728801,0.07932342376703042,0.07836832065610867,0.07767395116668512,0.07847294820732553,0.0,0.06077191077479823,0.078218647064005,0.07943611084914767,0.07750630209966622,0.07861053939016555,0.07702384744806554
NGC 4486,0.07804697247712582,0.0749196264219357,0.0783262573721452,0.07812919876629872,0.07725589355248343,0.07662003364255271,0.07735163488391729,0.07403146919838682,0.0,0.07711890017185923,0.07823213447378316,0.07646639005233931,0.07747751229955249,0.07602397668762005
NGC 4552,0.0797771230685795,0.0759397936662957,0.08012296401451054,0.0798788904677546,0.07880034556744821,0.0780182339364789,0.07891833997670775,0.0748616816325106,0.05948555198296423,0.0,0.08000635255338268,0.07782965214953143,0.07907356757898676,0.07728750340484894
NGC 4621,0.07951014385853263,0.07620688580480532,0.07980563302964816,0.0795971325291491,0.07867360675993877,0.07800167994176163,0.07877481509275974,0.07527062021483245,0.06151120081192093,0.07852880739049331,0.0,0.0778393844925032,0.07890789484231253,0.0773721952313421
NGC 4636,0.07925210869688423,0.07611995290311964,0.07953164908735706,0.07933441317051555,0.0784601512571389,0.07782341925668801,0.07855601108641155,0.07522977684939043,0.062023642285886506,0.07832298248993196,0.0794374432694711,0.0,0.07868203919678898,0.077226410450416
NGC 4649,0.07943376982257808,0.07615196618318518,0.07972726303492454,0.07952017221471652,0.07860281497077433,0.07793529876962482,0.07870335330898237,0.0752214948819679,0.06153260528967148,0.07845897159477618,0.07962834413042244,0.07777405887314245,0.0,0.07730988692523383
NGC 4697,0.07921201579977014,0.07608882314607428,0.0794907268002512,0.0792940765790014,0.07842238188444368,0.07778748990910145,0.07851796253042528,0.0752010839126594,0.06202534973838049,0.0782856116223823,0.07939680102784195,0.07763405431789429,0.07864362273177423,0.0
