galaxy,environment,D_trgb_paper4_mpc,sigma_D_trgb_paper4_total_mpc,D_jensen_paper3_f110w_mpc,sigma_D_jensen_paper3_f110w_total_mpc,D_jensen2015_f160w_mpc,sigma_D_jensen2015_f160w_total_mpc,D_sbf_f150w_mpc,sigma_D_sbf_f150w_total_mpc,D_sbf_f090w_mpc,sigma_D_sbf_f090w_total_mpc
NGC 1380,Fornax,19.124936418442093,0.46886261704268106,18.98121463045902,0.8086685661407093,20.120279064095165,1.1905008676596314,18.079524746315336,0.7827427377881575,19.041895105461997,0.7516308605605873
NGC 1399,Fornax,19.934254564980947,0.49308136901716976,19.795387153498012,0.850186321336852,20.298315568544858,1.1854999370512183,18.663085026273315,0.8076865529131735,20.76596028066742,0.6828338864114413
NGC 1404,Fornax,18.75858173799283,0.45988114853041767,19.440167385130174,0.8330750508459378,19.840563382616548,1.2228055080182154,18.9352509826239,0.8732907132988497,18.938635554643653,0.640499656193437
NGC 1549,Other,17.627876532324,0.4360322311070208,,,,,16.828156366146807,0.7496035579839979,17.650639628282597,0.6366590443242593
NGC 3379,Other,10.365732567670046,0.26115541952007054,,,,,11.119198917072035,0.4655957914854755,10.58045156352237,0.3546417192352274
NGC 4374,Virgo,16.687835113653897,0.41655425984360117,,,,,17.042648878725668,0.7866287134922416,16.869537873820462,0.5852695667360153
NGC 4406,Virgo,16.565326493180184,0.40611179884861565,,,,,16.248195803900035,0.7491213626293434,15.795286630168762,0.5492138294559499
NGC 4472,Virgo,15.966142459934131,0.39853969131764344,16.11105573266113,0.6914218730448081,16.189595575972795,0.983197296093612,15.229202191050598,0.68711932614305,15.675383079874155,0.6040296267456994
NGC 4486,Virgo,16.18825362642106,0.39686756570418613,,,,,15.947569230487648,0.808617074462507,15.817667153852607,0.7564426239320241
NGC 4552,Virgo,15.296779272301395,0.38538875878617496,15.695385968742528,0.6741488446363172,,,16.358376379180413,0.6937134495503691,15.73696208613224,0.5254756179286173
NGC 4621,Virgo,14.59486223782621,0.36100946887106333,,,,,15.146137315882411,0.681022357716173,14.204337774881273,0.4720922714636338
NGC 4636,Virgo,16.368165214278086,0.40487279250129155,16.296562253528798,0.6968152641645003,,,16.60008826095886,0.7714536962231723,15.754370388848136,0.5468119530199597
NGC 4649,Virgo,15.914756566438562,0.39016257361996576,16.18557006100947,0.7071660935788698,15.856086267711438,0.9843413623275817,16.489494425407777,0.7511851929585588,16.933631781353558,0.5250779853361597
NGC 4697,Virgo,11.609138701261834,0.29248193198140654,11.662401802297168,0.4985303701704866,,,11.48729461648122,0.5334205458700857,11.15627001340112,0.3856477097175141
