model,component,column,median_sigma_mag,min_sigma_mag,max_sigma_mag
constant,Apparent SBF measurement,sigma_mbar_internal,0.016893316458213847,0.0122271063631125,0.0489768101223251
constant,Color propagated through calibration,sigma_color_prediction_mag,0.0,0.0,0.0
constant,Foreground-extinction propagation,sigma_extinction_prediction_mag,0.00299593515768285,0.0023303226494575,0.0040125742014773
constant,Fitted intrinsic population scatter,sigma_intrinsic_mag,0.08135633633061584,0.0734345972706396,0.083920586680783
constant,Finite 13-galaxy LOO calibration,sigma_calibration_prediction_mag,0.02398680626776805,0.0214664285876477,0.0261781305057095
constant,Total internal SBF distance,sigma_mu_sbf_internal,0.0865035133220855,0.0778367905123868,0.0995679153415464
constant,Total including common TRGB scale,sigma_mu_sbf_absolute,0.09844757082311506,0.0909261566177147,0.1101034502886324
constant,SBF--TRGB validation residual,sigma_validation_residual_internal,0.09010965598335866,0.0824724199796359,0.1024716058105428
linear,Apparent SBF measurement,sigma_mbar_internal,0.016893316458213847,0.0122271063631125,0.0489768101223251
linear,Color propagated through calibration,sigma_color_prediction_mag,9.008659305270293e-06,1.8924051816143328e-06,1.8108050200959248e-05
linear,Foreground-extinction propagation,sigma_extinction_prediction_mag,0.0021973354383563,0.000870906042836,0.0030766257726874
linear,Fitted intrinsic population scatter,sigma_intrinsic_mag,0.08077176500610934,0.0714885188324534,0.0831962724794243
linear,Finite 13-galaxy LOO calibration,sigma_calibration_prediction_mag,0.034071864105107805,0.024267705914063,0.0661887323701047
linear,Total internal SBF distance,sigma_mu_sbf_internal,0.09018477688679705,0.0785017466034673,0.1129420755242339
linear,Total including common TRGB scale,sigma_mu_sbf_absolute,0.10169740307116155,0.0914960339019949,0.1223311588423888
linear,SBF--TRGB validation residual,sigma_validation_residual_internal,0.093467790638806,0.0830551440662609,0.1156014490471666
