galaxy,visual_score,paper_iv_high_quality,coverage_warning,radial_gradient_warning,residual_structure_score,residual_amplitude_span,residual_structure_warning,include_main,include_visual_clean,include_residual_clean,include_paper_iv_high_quality
NGC 1380,7.0,True,True,True,0.39810459556925276,0.09324828913182837,False,True,True,True,True
NGC 1399,9.5,False,False,False,0.05022057850723777,0.04447763640073595,False,True,True,True,False
NGC 1404,8.0,True,False,True,0.12018679613143911,0.04582719297439848,False,True,True,True,True
NGC 1549,9.0,False,False,True,0.17622107957922079,0.05742079648236608,False,True,True,True,False
NGC 3379,10.0,True,False,True,0.25744952546949457,0.038009205941557676,False,True,True,True,True
NGC 4374,8.0,True,False,True,0.1493062191571116,0.04268052546480441,False,True,True,True,True
NGC 4406,8.0,True,False,True,0.6352539781252503,0.06591284609156604,False,True,True,True,True
NGC 4472,4.0,False,False,False,1.61160683484606,0.13814611093396034,True,True,False,False,False
NGC 4486,3.0,False,False,False,1.4714437802239937,0.16105866483231257,True,True,False,False,False
NGC 4552,9.0,True,False,True,0.2049885678023868,0.05754981914982072,False,True,True,True,True
NGC 4621,7.0,True,False,True,0.3546523041457989,0.11621092663332312,False,True,True,True,True
NGC 4636,6.0,True,False,True,0.9696590684067558,0.0724347694301368,True,True,True,False,True
NGC 4649,5.0,False,False,False,1.40048752289978,0.05955724121565281,True,True,False,False,False
NGC 4697,6.0,True,True,True,0.40430718876483823,0.08777792861202399,False,True,True,True,True
