item,version_or_identifier
Input i2d products (2/28),pipeline 1.19.1; CRDS 12.1.11; jwst_1413.pmap
Input i2d products (22/28),pipeline 1.20.2; CRDS 13.0.6; jwst_1464.pmap
Input i2d products (4/28),pipeline 2.0.1; CRDS 13.1.13; jwst_1535.pmap
Python,3.13.2
numpy,2.3.5
astropy,7.2.0
photutils,2.3.0
stpsf,2.1.0
scipy,1.16.3
matplotlib,3.10.8
pandas,2.3.3
Adopted F150W SBF contract,sbf2-normalized-winsor-v3; normalized_full_3p5; kmin=0.04
Normalized SBF core SHA256,169c6085a4fad8176f7f7673960bb0848e2190583f738a5554c692c6374c586b
Normalized SBF runner SHA256,46b9a5af945dc7a24174d2d3a4ff64e64709d26aa1d85fce767d40fbca5e8105
Product-generation Git HEAD,5d0fd14964741e2f25dbac4b62dac4ea2e043217
Executed sbf-2.ipynb SHA256,a1828d2d8d975c193707df9ff95516750e8a410623fe7a2f1eb149fef17bcd4a
Current sbf-2-graph.ipynb SHA256,16fee6c79e97ef248fef1dd978ae297e59be35693293fd80b05987c44239d9f2
Current sbf-f090w-graph.ipynb SHA256,070da4e19caaa95c598b1f7bfddfbb4fa320321256f3f6ba5685f1099b86fd36
F090W runner SHA256,dd274acba0118bd89a024ca6cad3f0a3aa5497a1e0452ce6bb9710ad0b5a00db
F090W graph builder SHA256,63ef9d1b6b17c2a3b320c5eb21871266f35b713ae4d68c489e764681613e17af
Article-table builder SHA256,da9f14769dccc08669c5f7c3b7ac3100c90dbaa505dc7a0df25ca0731ed05d0f
F150W science-freeze Git commit,d89e09482978a4df01324e3fd532ad2e3c03c924
