galaxy,visual_score,visual_comment,residual_structure_score,residual_structure_warning,coverage_warning,include_visual_clean,include_residual_clean,distance_lit_mpc,radius_8.2arcsec_kpc,radius_16.4arcsec_kpc,radius_32.8arcsec_kpc,predeclared_pipeline_issue
NGC 1380,7.0,Градиент и крупномасштабная структура,0.39810459556925276,False,True,True,True,19.125,0.7603083412115482,1.5206166824230964,3.041233364846193,incomplete outer model coverage
NGC 1399,9.5,Звезда вырезана аккуратно остаток почти идеальный,0.05022057850723777,False,False,True,True,19.934,0.792469880978353,1.584939761956706,3.169879523913412,
NGC 1404,8.0,Небольшая крупномасштабная структура,0.12018679613143911,False,False,True,True,18.759,0.7457581266816958,1.4915162533633917,2.9830325067267833,
NGC 1549,9.0,Очень слабая видимая крупномасштабная структура,0.17622107957922079,False,False,True,True,17.628,0.7007955785033815,1.401591157006763,2.803182314013526,
NGC 3379,10.0,Практически эталонный белый шум,0.25744952546949457,False,False,True,True,10.366,0.41209705960778603,0.8241941192155721,1.6483882384311441,
NGC 4374,8.0,Слабая крупномасштабная структура в виде креста,0.1493062191571116,False,False,True,True,16.688,0.6634261750660557,1.3268523501321114,2.653704700264223,
NGC 4406,8.0,Слабая крупномасштабная структура в виде креста,0.6352539781252503,False,False,True,True,16.565,0.6585363488715972,1.3170726977431944,2.6341453954863887,
NGC 4472,4.0,Очень сильный градиент,1.61160683484606,True,False,False,False,15.966,0.6347232928514289,1.2694465857028578,2.5388931714057157,strong large-scale structure
NGC 4486,3.0,Сильный градиент крупномасштабной структуры и остаток джета,1.4714437802239937,True,False,False,False,16.188,0.6435488328121589,1.2870976656243178,2.5741953312486356,jet residual; strong large-scale structure
NGC 4552,9.0,Почти идеальный остаток с небольшим градиентом,0.2049885678023868,False,False,True,True,15.297,0.6081274089157152,1.2162548178314303,2.4325096356628606,
NGC 4621,7.0,Крупномасштабная структура в виде креста,0.3546523041457989,False,False,True,True,14.595,0.5802196203912442,1.1604392407824884,2.320878481564977,
NGC 4636,6.0,Структура и градиент,0.9696590684067558,True,False,True,False,16.368,0.6507046760235619,1.3014093520471237,2.6028187040942474,strong large-scale structure
NGC 4649,5.0,Очень сильный градиент,1.40048752289978,True,False,False,False,15.915,0.6326958039415315,1.265391607883063,2.530783215766126,strong large-scale structure
NGC 4697,6.0,Сильная структура и неоднородности,0.40430718876483823,False,True,True,True,11.609,0.4615121324509732,0.9230242649019464,1.846048529803893,incomplete outer model coverage
