trial,P0_true,P0_recovered,P1_true,P1_recovered,P0_fractional_error,mbar_error_mag
0,0.9,0.8902701008606947,0.08,0.08289413392856115,-0.010810999043672553,0.011801803286278788
1,0.9,0.9111887771736938,0.08,0.07700873050049499,0.012431974637437504,-0.013414631489438505
2,0.9,0.9164700279145702,0.08,0.07177190956338726,0.018300031016189156,-0.019689392489177338
3,0.9,0.8996933704230304,0.08,0.08592999034385906,-0.0003406995299661819,0.00036997284299457756
4,0.9,0.863595753205586,0.08,0.08837513319735645,-0.04044916310490443,0.044830028615810494
5,0.9,0.8858630222621147,0.08,0.07628529558705636,-0.01570775304209482,0.01718983929470227
6,0.9,0.9042819306417416,0.08,0.07952064255289411,0.0047577007130461535,-0.005153358544521965
7,0.9,0.8873552069093394,0.08,0.08422793610009958,-0.014049770100733938,0.015362518492954738
8,0.9,0.9000917650701359,0.08,0.08094170414476905,0.0001019611890398231,-0.00011069731110188866
9,0.9,0.9374955100298733,0.08,0.07328221964721757,0.04166167781097041,-0.04431671747062719
10,0.9,0.8656001417129013,0.08,0.09026030575153794,-0.03822206476344303,0.04231297643928668
11,0.9,0.8669862030769145,0.08,0.08740527060976286,-0.03668199658120608,0.04057580780640167
12,0.9,0.8879564602575154,0.08,0.08302633024245308,-0.013381710824982962,0.014627095451041955
13,0.9,0.921304144034281,0.08,0.07805900596424824,0.02367127114920109,-0.025401287970660515
14,0.9,0.8480979381926884,0.08,0.08868521015825016,-0.05766895756367951,0.06449125510084529
15,0.9,0.9344771390883871,0.08,0.0719422600487494,0.03830793232043006,-0.04081542972250448
16,0.9,0.859373502673923,0.08,0.08993732239427724,-0.04514055258453009,0.05015137654902237
17,0.9,0.882710622299347,0.08,0.08154006013509929,-0.01921041966739223,0.02106039159741145
18,0.9,0.8726565034948178,0.08,0.08215206977159491,-0.030381662783535823,0.03349794953734849
19,0.9,0.882276574459556,0.08,0.08241616944230114,-0.01969269504493787,0.021594402795479993
20,0.9,0.8755172479622012,0.08,0.08761240762080329,-0.0272030578197765,0.029944507997899293
21,0.9,0.8971703749082887,0.08,0.07838013041583326,-0.0031440278796792676,0.0034189623750312094
22,0.9,0.8299765816139284,0.08,0.0904774390104186,-0.07780379820674621,0.08794167705369449
23,0.9,0.919794067848257,0.08,0.07266584966764174,0.021993408720285545,-0.023620237134602765
24,0.9,0.915011773678501,0.08,0.07475349391459833,0.01667974853166765,-0.017960432088868127
25,0.9,0.8816393604806491,0.08,0.08342776750686907,-0.020400710577056613,0.022378846434168747
26,0.9,0.952067404542058,0.08,0.06967494332641305,0.05785267171339781,-0.06106296812021508
27,0.9,0.9310054407373478,0.08,0.07291013731070774,0.03445048970816411,-0.03677427384780299
28,0.9,0.8570340636571884,0.08,0.08364770219927944,-0.04773992926979076,0.05311106428520527
29,0.9,0.8581544143429091,0.08,0.08917825231987364,-0.04649509517454553,0.05169267150783654
30,0.9,0.9661558811599398,0.08,0.06469919460553412,0.07350653462215528,-0.07701173101708185
31,0.9,0.9106234774476847,0.08,0.07894387557995075,0.011803863830760708,-0.01274083384952312
