galaxy,visual_score,visual_comment
NGC 3379,10.0,Практически эталонный белый шум
NGC 1549,9.0,Очень слабая видимая крупномасштабная структура
NGC 4621,7.0,Крупномасштабная структура в виде креста
NGC 4406,8.0,Слабая крупномасштабная структура в виде креста
NGC 4374,8.0,Слабая крупномасштабная структура в виде креста
NGC 4486,3.0,Сильный градиент крупномасштабной структуры и остаток джета
NGC 4697,6.0,Сильная структура и неоднородности
NGC 4649,5.0,Очень сильный градиент
NGC 4636,6.0,Структура и градиент
NGC 4552,9.0,Почти идеальный остаток с небольшим градиентом
NGC 4472,4.0,Очень сильный градиент
NGC 1404,8.0,Небольшая крупномасштабная структура
NGC 1399,9.5,Звезда вырезана аккуратно остаток почти идеальный
NGC 1380,7.0,Градиент и крупномасштабная структура
