target,state,x,y,center_valid,valid_r25,valid_r50,valid_r100,valid_r200,valid_r525,valid_r1050,valid_inner,valid_outer,distance_to_invalid_px,core50_minus_bg_median,core50_excess_over_bg_mad
IC 0794,SUCCEEDED,1078.2986888638497,3059.1493218817677,True,1.0,1.0,1.0,1.0,1.0,0.9550732106587444,1.0,0.939875725090795,866.0,6.5624165534973145,16.517867839
IC 3328,SUCCEEDED,1078.3985260177096,3058.912136511481,True,1.0,1.0,1.0,1.0,1.0,0.9550099433196136,1.0,0.9397948282505717,866.0,2.2639999389648438,8.971569587054205
IC 3349,RETRY_WAIT,1078.5164991765037,3059.186043572885,True,1.0,1.0,1.0,1.0,1.0,0.9550788293067692,1.0,0.9398906662513292,866.0,1.0418050289154053,6.793272057448207
IC 3358,RETRY_WAIT,1078.6590922763808,3059.155005661676,True,1.0,1.0,1.0,1.0,1.0,0.9550973200324284,1.0,0.9399099510683889,866.0,1.4601625204086304,6.773042653991747
IC 3363,RETRY_WAIT,1078.4698449901348,3059.047436716107,True,1.0,1.0,1.0,1.0,1.0,0.9550558391550548,1.0,0.9398596025430599,866.0,0.7083803415298462,4.47145750010323
IC 3381,RETRY_WAIT,1078.2270639571516,3059.1150764841914,True,1.0,1.0,1.0,1.0,1.0,0.9550837538493164,1.0,0.9398883000385716,866.0,3.3017287254333496,8.945286442203729
IC 3383,RETRY_WAIT,1078.5615732024075,3059.535604508007,True,1.0,1.0,1.0,1.0,1.0,0.955149995640417,1.0,0.9399855481381979,867.0,1.119913101196289,6.368401327062104
IC 3388,RETRY_WAIT,1078.4641589272019,3058.757206164186,True,1.0,1.0,1.0,1.0,1.0,0.9549190006958058,1.0,0.9396760154273973,866.0,0.9676775336265564,6.040485741085178
IC 3393,RETRY_WAIT,1078.266260668178,3059.3354295108893,True,1.0,1.0,1.0,1.0,1.0,0.9551087166783597,1.0,0.9399184956184761,866.0,3.095590114593506,6.875732398764906
IC 3437,RETRY_WAIT,1078.057089522758,3058.9222912249706,True,1.0,1.0,1.0,1.0,1.0,0.9550367023758378,1.0,0.9398111703385682,866.0,2.2246296405792236,11.116112351592687
IC 3442,RETRY_WAIT,1078.3828995917615,3059.0674677539027,True,1.0,1.0,1.0,1.0,1.0,0.9550716503456205,1.0,0.9398776162864481,866.0,0.5037940144538879,3.051208230499173
IC 3443,RETRY_WAIT,1078.5392076701883,3059.0345181033135,True,1.0,1.0,1.0,1.0,1.0,0.955050801204181,1.0,0.9398540567044504,866.0,3.11629581451416,17.95919497395874
IC 3457,RETRY_WAIT,1078.298138598921,3059.0879544957556,True,1.0,1.0,1.0,1.0,1.0,0.9550995130809862,1.0,0.9399115503682197,866.0,0.5156080722808838,4.042079273268793
IC 3461,RETRY_WAIT,1078.4448200330903,3059.1661001328803,True,1.0,1.0,1.0,1.0,1.0,0.9550886585841881,1.0,0.9398990196157607,866.0,2.698798894882202,12.717468007143166
IC 3466,RETRY_WAIT,1078.4617852039737,3058.9460230967597,True,1.0,1.0,1.0,1.0,1.0,0.954990904001633,1.0,0.9397726674027268,866.0,0.4648398756980896,6.629993662215198
IC 3468,RETRY_WAIT,1078.5335329995896,3059.174345350309,True,1.0,1.0,1.0,1.0,1.0,0.9550847332843867,1.0,0.9398960271415463,866.0,5.663319110870361,13.024918358415551
IC 3470,RETRY_WAIT,1078.195662868758,3059.0394869905267,True,1.0,1.0,1.0,1.0,1.0,0.9550546356186642,1.0,0.9398396688468709,866.0,8.451138496398926,19.459204677238947
IC 3475,RETRY_WAIT,1078.4078330200982,3059.071861481893,True,1.0,1.0,1.0,1.0,1.0,0.9550623466020098,1.0,0.9398663482981655,866.0,0.06171548366546631,0.7543291700023431
IC 3486,RETRY_WAIT,1078.2054059890406,3058.9613990458624,True,1.0,1.0,1.0,1.0,1.0,0.9550446213322016,1.0,0.9398298785137693,866.0,2.5812129974365234,9.976687502131005
IC 3492,RETRY_WAIT,1078.3118082326891,3059.055449538275,True,1.0,1.0,1.0,1.0,1.0,0.9550532666630288,1.0,0.9398527352653545,866.0,3.201707363128662,15.329779740353363
IC 3501,SUCCEEDED,1078.299549698249,3058.9035618357284,True,1.0,1.0,1.0,1.0,1.0,0.9549658637199205,1.0,0.9397355824604083,866.0,11.25253963470459,32.872997494209585
IC 3509,SUCCEEDED,1078.353044157679,3059.160642076275,True,1.0,1.0,1.0,1.0,1.0,0.9550177905530489,1.0,0.9398052114362715,866.0,8.094522476196289,32.974652794850456
IC 3586,SUCCEEDED,1078.3941768494988,3059.0042443346188,True,1.0,1.0,1.0,1.0,1.0,0.9550213131092656,1.0,0.9398072731356072,866.0,3.740597724914551,17.330356241668007
IC 3631,SUCCEEDED,1078.648690732079,3058.564231266952,True,1.0,1.0,1.0,1.0,1.0,0.9549169122425711,1.0,0.9396692288878258,866.0,9.566411018371582,15.956898865841257
IC 3635,RETRY_WAIT,1078.2452543928775,3058.71970884675,True,1.0,1.0,1.0,1.0,1.0,0.9548941580877056,1.0,0.9396390572525234,866.0,1.491052269935608,9.307209516711254
NGC 4294,RETRY_WAIT,1078.3882685416097,3059.008015163222,True,1.0,1.0,1.0,1.0,1.0,0.9549925973147076,1.0,0.9397685158657427,866.0,3.731949806213379,4.882779331370138
NGC 4299,RETRY_WAIT,1078.4640212832742,3058.9277066423056,True,1.0,1.0,1.0,1.0,1.0,0.9549358112838754,1.0,0.9397006143462836,866.0,0.24333298206329346,0.63427251353196
NGC 4306,RETRY_WAIT,1078.4841372469377,3058.9838188494646,True,1.0,1.0,1.0,1.0,1.0,0.9550582981288703,1.0,0.9398637693554888,866.0,4.521657466888428,10.721533866521039
NGC 4313,RETRY_WAIT,1078.330124330429,3058.9979371830577,True,1.0,1.0,1.0,1.0,1.0,0.954955248874004,1.0,0.9397230583337275,866.0,14.786054611206055,7.24037250953596
NGC 4351,RETRY_WAIT,1078.5277879438422,3059.3357930770217,True,1.0,1.0,1.0,1.0,1.0,0.9551292378423231,1.0,0.9399589440514637,866.0,1.7157859802246094,3.2620620240389444
