galaxy,ring,P0,Pr,Pr_gc,Pr_background,Pr_over_P0,Pr_special_gclf,gclf_1p35_to_1p20_ratio,mbar_adopted,zeropoint
NGC 1380,inner,0.9167184816803396,1.9643037739237436e-05,7.437128204896311e-06,1.2205909534341129e-05,2.142755724007207e-05,1.9643037739237436e-05,1.0,28.09400781280119,27.999574515667977
NGC 1380,outer,0.8799907193033945,0.0011913501973191,0.0011897099013726,1.6402959464801018e-06,0.0013538213201409,0.0011913501973191,1.0,28.1398501745013,27.999574515667977
NGC 1399,inner,0.8330667022784544,1.353447518706626e-05,2.2134402009999607e-09,1.353226174686526e-05,1.6246568432094566e-05,1.354975013749838e-05,7.900999821554422,28.197828027549768,27.999509828025644
NGC 1399,outer,0.8504495705574159,0.0030503352542893,0.0029912899541426,5.904530014670797e-05,0.0035867326645718,0.0036306664901429963,1.1940070152844913,28.179289658636,27.999509828025648
NGC 1404,inner,0.8344157448398619,1.28119889294242e-07,1.281198892941017e-07,1.4029790697256178e-19,1.53544429244717e-07,1.28119889294242e-07,1.0,28.19612785422319,27.999583913334575
NGC 1404,outer,0.8192949143382869,0.0047287870036769,0.0047084989369837,2.0288066693251527e-05,0.0057717763419735,0.0047287870036769,1.0,28.222268046938773,27.999583913334575
NGC 1549,inner,0.9741081536377372,4.455723517921007e-05,3.558796849027153e-05,8.969266688938541e-06,4.574156885230276e-05,4.455723517921007e-05,1.0,28.028034959231995,27.99950324122587
NGC 1549,outer,1.017251180601949,0.000727478149095,0.0007274781490949,6.973414142309263e-17,0.0007151411204699,0.000727478149095,1.0,27.981709467203245,27.99950324122587
NGC 3379,inner,2.6696110057612383,8.367643804884014e-05,8.367643804882921e-05,1.0922612770372529e-17,3.13440564442758e-05,8.367643804884014e-05,1.0,26.933680713570897,27.99976664185212
NGC 3379,outer,2.3022467320003397,0.0154165467881636,0.0154165467881612,2.4334254290012696e-15,0.0066963052108532,0.0154165467881636,1.0,27.101681851633312,27.99976664185212
NGC 4374,inner,1.0386204949388056,1.4752231570652008e-05,2.9209081812474032e-08,1.4723022488839534e-05,1.420367847788445e-05,1.4752231570652008e-05,1.0,27.958589625861023,27.999716424828396
NGC 4374,outer,1.0051444841266235,0.0067194780370718,0.0067194780370705,1.2840112050504825e-15,0.0066850867145835,0.0067194780370718,1.0,28.00142780079666,27.999716424828396
NGC 4406,inner,1.155673231155982,3.376843773983198e-05,1.3579516073140388e-05,2.0188921666691593e-05,2.9219710926465368e-05,3.376843773983198e-05,1.0,27.842689736703743,27.999745645932492
NGC 4406,outer,1.0984747115066342,0.0065523504125533,0.0065523504125518,1.5138463876873485e-15,0.0059649533520588,0.0065523504125533,1.0,27.904266246318212,27.999745645932492
NGC 4472,inner,1.217907606964752,0.0002115229034019,0.0002011420013417,1.0380902060186912e-05,0.0001736772988298,0.00033423668015783626,1.6100852926658675,27.78590865088641,27.99975592441008
NGC 4472,outer,1.26294328075327,0.0002709613719296,0.0002709613719295,8.173837662212141e-17,0.0002145475383249,0.00032438101320396266,1.1971485488650384,27.74652927476084,27.999755924410078
NGC 4486,inner,1.0780960682458385,0.0023496992966127,0.002310163337028,3.9535959584647155e-05,0.0021794897187927,0.0023496992966127,1.0,27.92048449718744,27.999759219309862
NGC 4486,outer,1.1460162507898544,2.0554918226577445e-05,2.055491822526669e-05,1.3107592493770917e-15,1.7935974478905196e-05,2.0554918226577445e-05,1.0,27.85180175302967,27.99975921930986
NGC 4552,inner,1.163731916387786,3.353955977909356e-05,4.527259661833276e-09,3.3535032519431724e-05,2.882069255537828e-05,3.353955977909356e-05,1.0,27.83515776966476,27.999758841037806
NGC 4552,outer,1.0809264787180275,0.0056403153757993,0.0056403153757986,7.46261108659026e-16,0.0052180379395356,0.0056403153757993,1.0,27.920948697567056,27.999758841037806
NGC 4621,inner,1.343502360620855,1.4831491430689464e-05,3.589616384286744e-06,1.124187504640272e-05,1.1039423424485524e-05,1.4831491430689464e-05,1.0,27.67914909931363,27.99973319797941
NGC 4621,outer,1.2610316362657783,0.0035836480507286,0.0035836480505904,1.3816583480220726e-13,0.0028418383390766,0.0035836480507286,1.0,27.751008122006127,27.99973319797941
NGC 4636,inner,1.0695764049288312,6.31478231329878e-05,4.601033334699269e-05,1.7137489785995112e-05,5.904003009227715e-05,6.31478231329878e-05,1.0,27.926740445317797,27.999705875866624
NGC 4636,outer,1.0489094344368712,0.0008038732698212,0.0008038732698202,1.0046281410162953e-15,0.0007663895884898,0.0008038732698212,1.0,27.94869331255931,27.999705875866624
NGC 4649,inner,0.9699713959896912,0.0003016493038448,3.914922771951316e-09,0.000301645388922,0.0003109878343752,0.0003016493038448,1.0,28.03319949614628,27.999759111158163
NGC 4649,outer,1.0817415568142663,5.374388247132569e-05,5.374388247131147e-05,1.4223300921827408e-17,4.96827381113116e-05,5.374388247132569e-05,1.0,27.91450426950042,27.99975911115816
NGC 4697,inner,2.423165127145128,0.0002958889936654,0.0002810095457079,1.4879447957566095e-05,0.0001221084730672,0.0002958889936654,1.0,27.038938809877177,27.9997637498003
NGC 4697,outer,2.194018374668033,0.0125066917615336,0.0125066917615325,1.144551860493308e-15,0.0057003587143731,0.0125066917615336,1.0,27.152869891906636,27.9997637498003
