scenario,galaxy,mbar_observed,delta_mbar_from_adopted_mag
Pr=0,NGC 1380,28.118905975514256,-0.0008359029312927646
Pr=0,NGC 1399,28.18390899555734,-0.002425435374490803
Pr=0,NGC 1404,28.208424120583263,-0.0038921884270806117
Pr=0,NGC 1549,27.991312252342485,-0.0006163454668772772
Pr=0,NGC 3379,27.04935033372309,-0.005260510963982057
Pr=0,NGC 4374,27.98086542807203,-0.0045695413223505454
Pr=0,NGC 4406,27.87467182828128,-0.003786562554349615
Pr=0,NGC 4472,27.77459698727833,-0.00020110637118975205
Pr=0,NGC 4486,27.888750571044145,-0.0013288543141278808
Pr=0,NGC 4552,27.89271211488475,-0.004090320894711397
Pr=0,NGC 4621,27.731691689242982,-0.0023637557272593313
Pr=0,NGC 4636,27.939990481785717,-0.0005469751888256269
Pr=0,NGC 4649,27.97398996865002,-0.00019662365161821072
Pr=0,NGC 4697,27.1195781077218,-0.004681439721210268
adopted Pr,NGC 1380,28.11974187844555,0.0
adopted Pr,NGC 1399,28.18633443093183,0.0
adopted Pr,NGC 1404,28.21231630901034,-3.552713678800501e-15
adopted Pr,NGC 1549,27.991928597809366,3.552713678800501e-15
adopted Pr,NGC 3379,27.054610844687073,0.0
adopted Pr,NGC 4374,27.985434969394383,3.552713678800501e-15
adopted Pr,NGC 4406,27.878458390835622,-7.105427357601002e-15
adopted Pr,NGC 4472,27.77479809364952,0.0
adopted Pr,NGC 4486,27.89007942535827,-3.552713678800501e-15
adopted Pr,NGC 4552,27.896802435779463,3.552713678800501e-15
adopted Pr,NGC 4621,27.734055444970235,-7.105427357601002e-15
adopted Pr,NGC 4636,27.94053745697455,7.105427357601002e-15
adopted Pr,NGC 4649,27.97418659230164,0.0
adopted Pr,NGC 4697,27.12425954744301,0.0
2Pr,NGC 1380,28.120578901718083,0.0008370232725347648
2Pr,NGC 1399,28.188768588706328,0.002434157774498402
2Pr,NGC 1404,28.21623115822827,0.003914849217924399
2Pr,NGC 1549,27.992545377181496,0.000616779372133891
2Pr,NGC 3379,27.05990687512473,0.005296030437659027
2Pr,NGC 4374,27.990035329358324,0.004600359963944811
2Pr,NGC 4406,27.88226766447122,0.0038092736355928025
2Pr,NGC 4472,27.774999237645375,0.00020114399585580145
2Pr,NGC 4486,27.891411166702387,0.0013317413441136239
2Pr,NGC 4552,27.90091422253115,0.00411178675168955
2Pr,NGC 4621,27.736425938836565,0.0023704938663229314
2Pr,NGC 4636,27.941084834975115,0.0005473780005722517
2Pr,NGC 4649,27.974383270117436,0.0001966778157971305
2Pr,NGC 4697,27.128967715980032,0.004708168537021606
special GCLF widths,NGC 1380,28.11974187844555,0.0
special GCLF widths,NGC 1399,28.186795591862868,0.0004611609310387621
special GCLF widths,NGC 1404,28.21231630901034,-3.552713678800501e-15
special GCLF widths,NGC 1549,27.991928597809366,3.552713678800501e-15
special GCLF widths,NGC 3379,27.054610844687073,0.0
special GCLF widths,NGC 4374,27.985434969394383,3.552713678800501e-15
special GCLF widths,NGC 4406,27.878458390835622,-7.105427357601002e-15
special GCLF widths,NGC 4472,27.77488960260418,9.150895466092379e-05
special GCLF widths,NGC 4486,27.89007942535827,-3.552713678800501e-15
special GCLF widths,NGC 4552,27.896802435779463,3.552713678800501e-15
special GCLF widths,NGC 4621,27.734055444970235,-7.105427357601002e-15
special GCLF widths,NGC 4636,27.94053745697455,7.105427357601002e-15
special GCLF widths,NGC 4649,27.97418659230164,0.0
special GCLF widths,NGC 4697,27.12425954744301,0.0
