galaxy,environment,annulus,color_F090W_F150W_observed,color_F090W_F150W,color_scatter,color_sem_proxy,mbar_F150W_observed,mbar_F150W,sigma_mbar,mu_lit,sigma_mu_lit,Mbar_F150W,sigma_Mbar,sigma_E_BV,cov_color_Mbar_extinction,color_table
NGC 1380,Fornax,inner,0.5359830770375541,0.5239150493461159,0.0441835349381193,5.549749468455078e-05,28.041120900774875,28.03218892846631,0.0210945615879125,31.408,0.025,-3.3758110715336898,0.03233690346344393,0.004255499429754388,-1.1984397017858008e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_1380/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785287608/jw03055-o001_t001_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 1380,Fornax,outer,0.5109048554283969,0.49883682773695864,0.0749031895252798,4.854851820914263e-05,28.140291200297604,28.13135922798904,0.0188917722163149,31.408,0.025,-3.2766407720109605,0.030945013402662886,0.004255499429754388,-1.1984397017858008e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_1380/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785287608/jw03055-o001_t001_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 1399,Fornax,inner,0.6053927812116122,0.5967727614320134,0.0349997059313823,4.3789574406508385e-05,28.134249423265217,28.127869443044816,0.016047023497055,31.498,0.026,-3.3701305569551856,0.030214321882479186,0.003917893366448728,-1.0158283703025448e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_1399/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785289020/jw03055-o002_t002_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 1399,Fornax,outer,0.5615601809888983,0.5529401612092995,0.0585115164765005,3.887108280194417e-05,28.181266293138407,28.174886312918005,0.0123990082289301,31.498,0.026,-3.323113687081996,0.02844527533289319,0.003917893366448728,-1.0158283703025448e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_1399/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785289020/jw03055-o002_t002_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 1404,Fornax,inner,0.5824083422729056,0.5743629904786134,0.0382975005574672,4.833894129436312e-05,28.114919046067374,28.108964397861666,0.0214979295186781,31.366,0.025,-3.257035602138334,0.03266583053700156,0.0038703249451212847,-9.913111082052561e-06,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_1404/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785289892/jw03055-o003_t003_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 1404,Fornax,outer,0.5576612175561759,0.5496158657618837,0.0642310164248856,4.259257574252618e-05,28.224803429577463,28.218848781371754,0.0168612955175364,31.366,0.025,-3.1471512186282453,0.02981943657435106,0.0038703249451212847,-9.913111082052561e-06,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_1404/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785289892/jw03055-o003_t003_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 1549,Other,inner,0.5588902657451834,0.5502702459655846,0.0463548765276638,5.8093698551699525e-05,27.832945678756573,27.82656569853617,0.0219539285877189,31.231,0.026,-3.40443430146383,0.033724964998316696,0.003917893366448728,-1.0158283703025448e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_1549/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785295062/jw03055-o012_t012_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 1549,Other,outer,0.5361956615082363,0.5275756417286375,0.0705287430862756,5.080253684241122e-05,27.966319343910175,27.959939363689774,0.0118491209354818,31.231,0.026,-3.271060636310228,0.028209926455889576,0.003917893366448728,-1.0158283703025448e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_1549/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785295062/jw03055-o012_t012_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 3379,Other,inner,0.5971120848749858,0.5798720453157883,0.0587127768959997,7.332129171980804e-05,26.83539446460574,26.822634504164938,0.0196373041879843,30.078,0.028,-3.2553654958350613,0.03372608194829786,0.004896220246160908,-1.586488781187719e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_3379/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785296263/jw03055-o013_t013_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 3379,Other,outer,0.5657692966254233,0.5485292570662258,0.0891523328173371,6.517838482208299e-05,27.10468141370154,27.09192145326074,0.0128045664196868,30.078,0.028,-2.986078546739261,0.030261887069514486,0.004896220246160908,-1.586488781187719e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_3379/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785296263/jw03055-o013_t013_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4374,Virgo,inner,0.5954523552763722,0.5672936239963496,0.0369755448149958,4.65287116417356e-05,27.909048356071654,27.888207087351677,0.0217525625668524,31.112,0.027,-3.223792912648321,0.033826957633359966,0.006568725684874859,-2.8554684504301596e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4374/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785292660/jw03055-o004_t004_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4374,Virgo,outer,0.5926029606643864,0.5644442293843639,0.058247769602081,4.0160409458254535e-05,28.00291988400102,27.982078615281043,0.016977290643592,31.112,0.027,-3.129921384718955,0.0309728507261004,0.006568725684874859,-2.8554684504301596e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4374/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785292660/jw03055-o004_t004_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4406,Virgo,inner,0.6233962620960599,0.6027082146250229,0.0421259974698498,5.256272298972762e-05,27.80868590109187,27.793373948562905,0.0203658320615561,31.096,0.025,-3.3026260514370946,0.0316354591839902,0.005388121082793188,-1.921276222240355e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4406/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785293351/jw03055-o005_t005_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
NGC 4406,Virgo,outer,0.6463357069624711,0.6256476594914341,0.0643096741774301,4.472063611201622e-05,27.905215372423623,27.889903419894658,0.017374618554226,31.096,0.025,-3.206096580105342,0.029797861200550252,0.005388121082793188,-1.921276222240355e-05,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4406/F150W__F090W/run_20260729T011326Z_519ea014326f_3d130739__attempt_1__1785293351/jw03055-o005_t005_nircam_clear-f150w_i2d_sbf_color_annuli_wcs_psf_matched.csv
