galaxy,ra_deg_icrs,dec_deg_icrs,environment,cluster_or_group,batch_extinction_applied,mbar_F150W_observed,A_F150W_mag,mbar_F150W,sigma_mbar_internal,color_F090W_F150W_observed,E_F090W_minus_F150W,color_F090W_F150W,sigma_color_total_mag,sigma_color_radial_gradient_mag,sigma_color_with_floor_mag,mu_lit,sigma_mu_lit,Mbar_F150W,sigma_Mbar_internal,M150_model_aperture,visual_score,paper_iv_high_quality,annulus_delta_mag,coverage_warning,radial_gradient_warning,residual_structure_score,residual_amplitude_span,residual_structure_warning,P1_nonpositive,include_main,include_visual_clean,include_residual_clean,include_paper_iv_high_quality
NGC 1380,54.1149583333,-34.9763,Fornax,Fornax Cluster,False,28.09615266996923,0.00893197230856174,28.087220697660666,0.014890825159964519,0.5219051679334014,0.012068027691438261,0.5098371402419631,0.0034620417301456535,0.0125391108045785,0.010582331167624168,31.408,0.025,-3.3207793023393357,0.028678066025492208,-22.221577691308518,7.0,True,0.0991702995227292,True,True,0.39810459556925276,0.09324828913182837,False,True,True,True,True,True
NGC 1399,54.6211791667,-35.4507416667,Fornax,Fornax Cluster,False,28.163689900008688,0.006379980220401243,28.157309919788286,0.022105396057957888,0.5782170233000746,0.008620019779598757,0.5695970035204758,0.003187341228281485,0.0219163001113569,0.010495672637115877,31.498,0.026,-3.340690080211715,0.033823761153694974,-22.712349254329297,9.5,False,0.0470168698731932,False,False,0.05022057850723777,0.04447763640073595,False,True,True,True,True,False
NGC 1404,54.7163208333,-35.5943916667,Fornax,Fornax Cluster,False,28.182952140722463,0.0059546482057078265,28.176997492516755,0.013786404082459472,0.567082605621008,0.008045351794292173,0.5590372538267158,0.0031486735997954545,0.0123735623583648,0.010483994727108979,31.366,0.025,-3.189002507483245,0.028195042979341386,-22.48791804404304,8.0,True,0.1098843835100851,False,True,0.12018679613143911,0.04582719297439848,False,True,True,True,True,True
NGC 1549,63.9384291667,-55.5923611111,Other,Dorado Group,False,27.93623163899253,0.006379980220401243,27.92985165877213,0.012606569635916887,0.5412019574933422,0.008620019779598757,0.5325819377137434,0.0031874759994256975,0.0113473021184735,0.010495713565399679,31.231,0.026,-3.301148341227872,0.028536360694528782,-22.115837568226645,9.0,False,0.1333736651536021,False,True,0.17622107957922079,0.05742079648236608,False,True,True,True,True,False
NGC 3379,161.9566666667,12.5816305556,Other,Leo I Group (M96/M105 Group),False,27.024344778597968,0.012759960440802486,27.011584818157164,0.012227143237866623,0.5745510026330429,0.017240039559197513,0.5573109630738454,0.003983397777201214,0.0156713941247812,0.010764174740843423,30.078,0.028,-3.066415181842835,0.03002212383511841,-21.425400759784964,10.0,True,0.2692869490958003,False,True,0.25744952546949457,0.038009205941557676,False,True,True,True,True,True
NGC 4374,186.2655966667,12.8869833333,Virgo,Virgo Cluster,False,27.967384875266827,0.020841268719977397,27.94654360654685,0.017170707758040422,0.593666728850041,0.028158731280022605,0.5655079975700185,0.00534374565487951,0.0014246973059928,0.011338236971594993,31.112,0.027,-3.165456393453148,0.03107929036217415,-22.438086489164686,8.0,True,0.093871527929366,False,True,0.1493062191571116,0.04268052546480441,False,True,True,True,True,True
NGC 4406,186.549225,12.9459694444,Virgo,Virgo Cluster,False,27.864553561002513,0.015311952528962983,27.849241608473548,0.01748312148648111,0.636721360815381,0.020688047471037016,0.616033313344344,0.004383368838455366,0.0114697224332055,0.010918512827942345,31.096,0.025,-3.246758391526452,0.029861257494175647,-22.156633463215755,8.0,True,0.0965294713317561,False,True,0.6352539781252503,0.06591284609156604,False,True,True,True,True,True
NGC 4472,187.445,8.0002777778,Virgo,Virgo Cluster,False,27.724240677169863,0.011483964396722238,27.712756712773142,0.023250694798156325,0.6400628498722677,0.015516035603277762,0.62454681426899,0.0037973832663183204,0.0067463300368091,0.010696734065653609,31.016,0.027,-3.303243287226856,0.03521862608575158,-22.79316110689861,4.0,False,0.029474764129997,False,False,1.61160683484606,0.13814611093396034,True,True,True,False,False,False
NGC 4486,187.7058954167,12.3911694444,Virgo,Virgo Cluster,False,27.81940944898372,0.011909296411415653,27.807500152572302,0.04897704837954493,0.6683873907331171,0.016090703588584346,0.6522966871445328,0.0038581010604410424,0.0006398172122918,0.010718439428973619,31.046,0.025,-3.238499847427697,0.05471348156807672,-22.55011677751182,3.0,False,0.0535081712753182,False,False,1.4714437802239937,0.16105866483231257,True,True,True,False,False,False
NGC 4552,188.91586375,12.5563416667,Virgo,Virgo Cluster,False,27.871676655290575,0.021266600734670814,27.850410054555905,0.013811683791790215,0.5981326484221199,0.02873339926532919,0.5693992491567907,0.005421553513338708,0.0097206676783294,0.011375115054275069,30.923,0.028,-3.0725899454440935,0.030251516693735107,-21.967076113747755,9.0,True,0.1747174204688235,False,True,0.2049885678023868,0.05754981914982072,False,True,True,True,True,True
NGC 4621,190.50940875,11.6469194444,Virgo,Virgo Cluster,False,27.7043464482745,0.016587948573043233,27.687758499701456,0.01307743868402203,0.5878117853833259,0.022412051426956767,0.5653997339563691,0.004595318081340999,0.0066070983691007,0.011005314546558837,30.821,0.026,-3.1332415002985456,0.028358363248367782,-21.74400752945182,7.0,True,0.173211306601086,False,True,0.3546523041457989,0.11621092663332312,False,True,True,True,True,True
NGC 4636,190.70763875,2.6877638889,Virgo,NGC 4636 Group / Virgo Southern Extension,False,27.905385850346313,0.014886620514269568,27.890499229832045,0.018532191712664535,0.6245217834877971,0.020113379485730436,0.6044084040020666,0.004314384904480705,0.0050889870175208,0.010891001657515758,31.07,0.026,-3.179500770167955,0.0313320066655072,-21.851122515272976,6.0,True,0.1099153933797723,False,True,0.9696590684067558,0.0724347694301368,True,True,True,True,False,True
NGC 4649,190.9165333333,11.5526944444,Virgo,Virgo Cluster,False,27.88620541106203,0.013610624470189318,27.87259478659184,0.016981317228218683,0.641485171643747,0.01838937552981068,0.6230957961139363,0.004112650708947438,0.0017029621021175,0.01081267292827291,31.009,0.025,-3.1364052134081604,0.02964901257930255,-22.641573959828698,5.0,False,0.0428015496205915,False,False,1.40048752289978,0.05955724121565281,True,True,True,False,False,False
NGC 4697,192.1495754167,-5.8006888889,Virgo,NGC 4697 Group / Virgo II Southern Extension,False,27.110189593437784,0.015311952528962983,27.09487764090882,0.01680535376214348,0.5325333798727435,0.020688047471037016,0.5118453324017065,0.004383518805393017,0.0068483083386745,0.010918573034844536,30.324,0.028,-3.229122359091182,0.03205394012119561,-21.38598770372532,6.0,True,0.173425579920341,True,True,0.40430718876483823,0.08777792861202399,False,True,True,True,True,True
