sample,model,n,intercept,slope,curvature,slope_change,sigma_int,aicc,loo_bias_mag,loo_rmse_mag,loo_median_abs_mag,delta_aicc_within_sample
all_14,constant,14,-3.1721473807429463,0.0,,,0.0837185708934804,-22.83219489112261,-0.0004285767022622622,0.09552468125202293,0.07659491820927755,0.0
all_14,linear,14,-3.1756364305721845,0.498528385399289,,,0.08090458195062623,-20.256199700777138,-0.004597583730753791,0.09924149262031487,0.08748936080960412,2.5759951903454734
all_14,quadratic,14,-3.1466481519994995,0.837774236241174,-18.410900957931595,,0.07384361877983141,-18.283323872656617,0.002580141792509697,0.09882060118269272,0.08562651559187984,4.548871018465995
all_14,broken,14,-3.1333155329323943,2.177802914337035,,-2.7878025576879573,0.0728037197208644,-18.649734482051137,-0.00041305703842781886,0.09740429077130891,0.06671753671171032,4.182460409071474
visual_clean_11,constant,11,-3.1767424615212603,0.0,,,0.08384380430767532,-16.443491786597377,-0.00026751510343491316,0.09826605172486894,0.07565867622878031,0.0
visual_clean_11,linear,11,-3.1712490327511302,0.7471294282457495,,,0.08014654139441174,-13.311726885576535,-0.008117824363911487,0.1045552942835242,0.07650352140921513,3.1317649010208424
visual_clean_11,quadratic,11,-3.136576025823348,0.23015844561070334,-36.6480361265944,,0.06696378652827271,-11.247969490850178,-0.002501631591640771,0.092821887333437,0.06116635225632905,5.1955222957472
visual_clean_11,broken,11,-3.1283257022401,2.289648632073301,,-3.8817514689626313,0.06797923012377498,-10.969529447142047,-0.003906443421360383,0.09691445694509161,0.06685212508679328,5.47396233945533
automatic_clean_10,constant,10,-3.179975868868775,0.0,,,0.08780008903193062,-13.418662461897492,-0.00030149692509020556,0.10339356343725337,0.0789348155806131,0.0
automatic_clean_10,linear,10,-3.171168552992795,0.7501253688507982,,,0.0846173420634479,-9.724350896006438,-0.013299122078823444,0.11826808463587411,0.10196842272009121,3.694311565891054
automatic_clean_10,quadratic,10,-3.140138264155906,-0.01312386126339196,-39.23938894158248,,0.06991132014158068,-6.876437898116784,0.0084311001543238,0.09834942230620036,0.07392179677956001,6.542224563780708
automatic_clean_10,broken,10,-3.129822272373874,2.25556100466776,,-4.482920099353812,0.06994669073943652,-6.818494171032139,0.1652307186848006,0.5380366491304447,0.06660771432103729,6.600168290865353
paper_iv_high_quality_9,constant,9,-3.1537959051899604,0.0,,,0.07504172399214767,-13.768523546065076,4.5802687556396724e-05,0.09067994912832887,0.06876185706250837,0.0
paper_iv_high_quality_9,linear,9,-3.150012410772303,0.7133675531925218,,,0.07090192195307288,-9.78365576204044,-0.014865647026367255,0.10860740782188082,0.05409426611808499,3.9848677840246367
paper_iv_high_quality_9,quadratic,9,-3.0969628411686623,0.035827363172330554,-50.29028268729069,,0.029548596793238673,-12.981966705463464,-0.0031235241123105262,0.06103931151539105,0.06151418498834005,0.7865568406016124
paper_iv_high_quality_9,broken,9,-3.08148596427159,3.136378262678296,,-5.718329593973522,0.029869597170595296,-12.284557592139478,-0.004759063797822292,0.06720786152047001,0.0727350539080085,1.4839659539255976
