sample,model,galaxy,delta_mu_sbf_minus_trgb
all_14,constant,NGC 1380,-0.13503917486648476
all_14,constant,NGC 1399,-0.15703932010701038
all_14,constant,NGC 1404,0.013536572694178517
all_14,constant,NGC 1549,-0.07911042684342107
all_14,constant,NGC 3379,0.14663207651106447
all_14,constant,NGC 4374,0.026695483566733458
all_14,constant,NGC 4406,-0.06545653938345097
all_14,constant,NGC 4472,-0.08657069374183735
all_14,constant,NGC 4486,0.004612986354430859
all_14,constant,NGC 4552,0.1344181679061478
all_14,constant,NGC 4621,0.07407940957513404
all_14,constant,NGC 4636,0.02998540617338108
all_14,constant,NGC 4649,0.1334472877441648
all_14,constant,NGC 4697,-0.046191309414702175
all_14,linear,NGC 1380,-0.1253420700138541
all_14,linear,NGC 1399,-0.1546650600106254
all_14,linear,NGC 1404,0.02209102850616773
all_14,linear,NGC 1549,-0.061849035640271666
all_14,linear,NGC 3379,0.15805353563495572
all_14,linear,NGC 4374,0.03164394196488374
all_14,linear,NGC 4406,-0.09569993632269558
all_14,linear,NGC 4472,-0.12813596452012632
all_14,linear,NGC 4486,-0.04693578509192875
all_14,linear,NGC 4552,0.1372217456332372
all_14,linear,NGC 4621,0.07927878529651267
all_14,linear,NGC 4636,0.014616836179516923
all_14,linear,NGC 4649,0.1208613450042968
all_14,linear,NGC 4697,-0.015505538850622003
all_14,quadratic,NGC 1380,-0.07664299980758571
all_14,quadratic,NGC 1399,-0.2002161363686561
all_14,quadratic,NGC 1404,-0.004226496469282637
all_14,quadratic,NGC 1549,-0.05584742079552285
all_14,quadratic,NGC 3379,0.13797296450352903
all_14,quadratic,NGC 4374,0.0012128129409880728
all_14,quadratic,NGC 4406,-0.09831011040548887
all_14,quadratic,NGC 4472,-0.11531051759056865
all_14,quadratic,NGC 4486,0.09461003137617396
all_14,quadratic,NGC 4552,0.1126249159583459
all_14,quadratic,NGC 4621,0.051917028207849825
all_14,quadratic,NGC 4636,-0.003378071595289356
all_14,quadratic,NGC 4649,0.1339406472122704
all_14,quadratic,NGC 4697,0.05777533792837275
all_14,broken,NGC 1380,-0.06846057548769124
all_14,broken,NGC 1399,-0.22141281935475732
all_14,broken,NGC 1404,-0.009213886227833257
all_14,broken,NGC 1549,-0.043516611074149836
all_14,broken,NGC 3379,0.13608059121910898
all_14,broken,NGC 4374,-0.011994221255527293
all_14,broken,NGC 4406,-0.08316070834043288
all_14,broken,NGC 4472,-0.10593305926471075
all_14,broken,NGC 4486,0.028037410903760218
all_14,broken,NGC 4552,0.104930080426346
all_14,broken,NGC 4621,0.04097456946764311
all_14,broken,NGC 4636,0.013006017238026857
all_14,broken,NGC 4649,0.14990591527649855
all_14,broken,NGC 4697,0.0649744979357294
visual_clean_11,constant,NGC 1380,-0.13269890464244938
