model,n,n_parameters,color_center,intercept,slope,curvature,slope_change,sigma_int,log_likelihood,aic,aicc,use_color_errors,color_error_column,use_extinction_covariance
constant,14,2,0.5674536233634047,-3.1971697114623807,0.0,,,0.0701647448229008,16.076475247419985,-28.15295049483997,-27.06204140393088,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.159003745472872,0.0,,,0.07046940104475038,16.09503949335435,-28.1900789867087,-27.09916989579961,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.153193267425859,0.0,,,0.07530340375078524,15.19453066548242,-26.38906133096484,-25.29815224005575,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.149331613093956,0.0,,,0.08193713602340426,14.236325821737758,-24.472651643475515,-23.381742552566426,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1768186082304872,0.0,,,0.0821253412906265,14.170794973187707,-24.341589946375414,-23.250680855466324,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1642463656244697,0.0,,,0.07990191471084893,14.478222146042437,-24.956444292084875,-23.865535201175785,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.196240601969988,0.0,,,0.06006756516634317,17.747607276782784,-31.495214553565567,-30.404305462656477,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.184964989328956,0.0,,,0.10798723107514055,10.739076821868002,-17.478153643736004,-16.387244552826914,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.2155316446518283,0.0,,,0.09519801592199453,12.370199424338807,-20.740398848677614,-19.649489757768524,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1745868526503815,0.0,,,0.061563356763814685,17.628530411301206,-31.257060822602412,-30.166151731693322,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.2214903493586227,0.0,,,0.05569261678704981,18.445628740699256,-32.89125748139851,-31.80034839048942,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.198755782601062,0.0,,,0.09075410272071467,12.928168709487457,-21.856337418974913,-20.765428328065823,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1881189546495246,0.0,,,0.08275487338289868,14.084826460628177,-24.169652921256354,-23.078743830347264,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1595724667451663,0.0,,,0.07550079052211775,15.093372172783388,-26.186744345566776,-25.095835254657686,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.164000977471,0.0,,,0.08813566105496126,13.277115196012717,-22.554230392025435,-21.463321301116345,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.166427219457788,0.0,,,0.0983279963255927,11.946874138453754,-19.89374827690751,-18.80283918599842,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.222930447715786,0.0,,,0.03245698382147175,23.332063133295364,-42.66412626659073,-41.573217175681634,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.173798435606735,0.0,,,0.07366981849909257,15.42775616502926,-26.85551233005852,-25.76460323914943,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1752958394275486,0.0,,,0.07423391504481613,15.517447397387787,-27.034894794775575,-25.943985703866485,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1541759179340794,0.0,,,0.06717352463115667,16.636323785284418,-29.272647570568836,-28.181738479659746,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.2074028663795384,0.0,,,0.07236734055375489,15.625331355623196,-27.25066271124639,-26.159753620337302,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.164213243446518,0.0,,,0.0921200546279954,12.753486000489854,-21.506972000979708,-20.416062910070618,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.122184897525147,0.0,,,0.07833277085575563,14.731234645744554,-25.462469291489107,-24.371560200580017,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.2003433823486405,0.0,,,0.08877343906282507,13.27918203375561,-22.55836406751122,-21.46745497660213,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1789544400359193,0.0,,,0.10556028016103763,11.039210952622419,-18.078421905244838,-16.987512814335748,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1614375825302283,0.0,,,0.0790845230395309,14.648643666957874,-25.297287333915747,-24.206378243006657,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1808767823221578,0.0,,,0.08961232299997822,13.149484851471803,-22.298969702943605,-21.208060612034515,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.200843636140867,0.0,,,0.09479596400763458,12.412275127849526,-20.82455025569905,-19.73364116478996,True,sigma_color_stat_mag,True
