galaxy,environment,D_trgb_mpc,sigma_D_trgb_mpc,D_sbf_adopted_mpc,sigma_D_sbf_adopted_mpc,D_jensen_paper3_f110w_mpc,sigma_D_jensen_paper3_f110w_mpc,D_jensen_f160w_mpc,sigma_D_jensen_f160w_mpc
NGC 1380,Fornax,19.124936418442093,0.2201839675078185,18.079524746315336,0.6779055270901746,18.98121463045902,0.3085003328582088,20.120279064095165,1.1905008676596314
NGC 1399,Fornax,19.934254564980947,0.2386816504866229,18.663085026273315,0.6994157867949334,19.795387153498012,0.33923562649267414,20.298315568544854,1.1854999370512185
NGC 1404,Fornax,18.75858173799283,0.2159661533780631,18.9352509826239,0.7711469633194588,19.440167385130174,0.32847145822237517,19.840563382616548,1.2228055080182154
NGC 1549,Other,17.627876532324,0.2110663657672378,16.828156366146807,0.6551635926128653,,,,
NGC 3379,Other,10.365732567670046,0.1336606952143677,11.119198917072035,0.3985708261348833,,,,
NGC 4374,Virgo,16.687835113653897,0.2074958659820271,17.042648878725668,0.6947770000258109,,,,
NGC 4406,Virgo,16.565326493180184,0.1907153692188801,16.248195803900003,0.6614404093403501,,,,
NGC 4472,Virgo,15.966142459934131,0.1985223687526635,15.229202191050598,0.6028930680179845,16.11105573266113,0.27477299658077325,16.189595575972795,0.983197296093612
NGC 4486,Virgo,16.18825362642106,0.1863741574090196,15.947569230487648,0.7312431217259721,,,,
NGC 4552,Virgo,15.296779272301396,0.1972439611700404,16.358376379180413,0.5965533490721566,15.695385968742528,0.2691044745908668,,
NGC 4621,Virgo,14.59486223782621,0.1747507435602258,15.146137315882411,0.5969259225718093,,,,
NGC 4636,Virgo,16.368165214278086,0.1959832847547141,16.60008826095886,0.6826758118369488,16.296562253528798,0.2714105734765105,,
NGC 4649,Virgo,15.914756566438562,0.1832254061425527,16.489494425407777,0.6609833897071119,16.18557006100947,0.3062474717476285,15.856086267711438,0.9843413623275816
NGC 4697,Virgo,11.609138701261834,0.1496937664097442,11.487294616481202,0.4719304920399597,11.662401802297168,0.1938829206316497,,
