galaxy,sigma_measurement_mag,sigma_radial_gradient_mag,sigma_psf_diagnostic_mag,sigma_Pr_mag,sigma_sky_mag,sigma_A_F150W_mag,sigma_mu_lit,sigma_mu_without_reddening_mag,sigma_reddening_color_mag,sigma_mbar_internal,sigma_mbar_total,sigma_Mbar_internal,sigma_color_total_mag,sigma_color_radial_gradient_mag,sigma_color_with_floor_mag,cov_color_Mbar_extinction
NGC 1380,0.01389395785613093,0.0229211808500551,0.002955752085331611,0.00020911560949890982,0.004444900531363915,0.002562236206655117,0.025,0.024263355085395757,0.0034618487861051944,0.014885543502665258,0.015104451653351548,0.028675323928206948,0.0034620416457218587,0.0125391108045785,0.01058233114000467,-1.1984397017858008e-05
NGC 1399,0.009466445213097705,0.009269184456885,0.002900229606780283,0.0006074464126333025,0.019580692934668433,0.0023589635959387787,0.026,0.025401574754333637,0.00318720625360604,0.021949884821807625,0.022076280323858572,0.03372233276915531,0.0031873408043421297,0.0219163001113569,0.01049567250837336,-1.015828370302545e-05
NGC 1404,0.013147798810706279,0.0130700963577918,0.0014386767706971678,0.0009758685588578335,0.0034712850740125974,0.002330322649457525,0.025,0.024392261067805916,0.003148509342856165,0.01370899500060391,0.013905644450263991,0.028157273572003306,0.00314867361167925,0.0123735623583648,0.010483994730678056,-9.913111082052561e-06
NGC 1549,0.010430414964358696,0.0231627460143748,0.002195463426296379,0.000154140549958003,0.007046917730009541,0.0023589635959387787,0.026,0.025401574754333637,0.00318720625360604,0.012778748952365684,0.012994657903713798,0.0286128416710157,0.003187477961904098,0.0113473021184735,0.010495714161391034,-1.015828370302545e-05
NGC 3379,0.01056143788168195,0.0840005690312093,0.002162860584388739,0.0013195474720386548,0.005677730845099025,0.0029480142102134826,0.028,0.027128582712703592,0.0039830751702518985,0.012255601540376606,0.012605179764688088,0.030033725325512965,0.003983404448735702,0.0156713941247812,0.010764177209717767,-1.586488781187719e-05
NGC 4374,0.01320997088558845,0.0214190874678177,0.002384059273575894,0.0011462201602687858,0.010700282443603127,0.003955029734863153,0.027,0.02534826226785576,0.005343658344645698,0.017204561443021606,0.01765330548793504,0.03109800667166639,0.00534374584298825,0.0014246973059928,0.01133823706025122,-2.8554684504301596e-05
NGC 4406,0.012958506196194335,0.0307882548072342,0.0029713914357781973,0.0009494679878809302,0.011309709798801817,0.0032441877039497786,0.025,0.023808032258042667,0.0043832365008522585,0.017480362556152762,0.017778859045310146,0.029859642283807608,0.004383368837837848,0.0114697224332055,0.010918512827694436,-1.921276222240355e-05
NGC 4472,0.02240556104949776,0.0196896880627832,0.001178307682237419,5.0281285805595365e-05,0.006708252629998447,0.002810488905451811,0.027,0.02617895337862077,0.003797264116567096,0.02341795799151528,0.023586004417451508,0.03532927357395482,0.0037973824189815263,0.0067463300368091,0.010696733764845697,-1.4419214770968088e-05
NGC 4486,0.0174494085290755,0.0343413720788845,0.001777317007293393,0.00033257386908877346,0.044913435770691845,0.0028554448686784217,0.025,0.02408172751278446,0.003858004319332165,0.04821792230971229,0.04830239742770033,0.05403500559075973,0.0038581027528586114,0.0006398172122918,0.010718440038159248,-1.488419732798564e-05
NGC 4552,0.011634850793104414,0.0428954639511474,0.0018559885624770131,0.0010252538794332168,0.00722734687991484,0.00401257420147731,0.028,0.026362852652928138,0.005421406930579293,0.013860019298751193,0.014429167913782027,0.030273615378224795,0.0054215557369292535,0.0097206676783294,0.011375116114072442,-2.9391653106933186e-05
NGC 4621,0.012023883694024275,0.0359295113462483,0.0028237812788906966,0.0005917794873278824,0.004415922979069324,0.003400996918161547,0.026,0.02473989490680993,0.00459510213074974,0.013130045640329319,0.013563365310809677,0.028382661293634034,0.004595322102839807,0.0066070983691007,0.011005316225754173,-2.1114963592020803e-05
NGC 4636,0.01491549691412902,0.0109764336207565,0.00334428857009148,0.00013679409721429795,0.010509606869062976,0.0031931076882368565,0.026,0.024892569172345388,0.004314222063412527,0.018550656683867694,0.01882346408372812,0.031342931825455646,0.004314384832045562,0.0050889870175208,0.010891001628821145,-1.8612512012435444e-05
NGC 4649,0.015769898899118562,0.0593476133229291,0.0020728863791538397,4.916267278048802e-05,0.005362109938533939,0.0030438561051523163,0.025,0.02395382224197216,0.0041125675826962456,0.016785148470913853,0.017058905861147562,0.02953709568175019,0.004112651097687617,0.0017029621021175,0.01081267307613206,-1.691321212224404e-05
NGC 4697,0.012180807001550262,0.0569655410147298,0.0022901476323961027,0.0011736880430144225,0.011169690915492952,0.0032441877039497786,0.028,0.026941091291928027,0.0043832365008522585,0.016725919232052574,0.017037638569226812,0.03201236536683208,0.004383519478474957,0.0068483083386745,0.010918573305069183,-1.921276222240355e-05
