model,sample,n,n_parameters,sigma_int_mag,aicc,loo_rmse_mag,coefficients
Постоянная абсолютная величина,all_14,14,2,0.08371856303276641,-22.832194891131106,0.09552468694088283,a=-3.1721
Постоянная абсолютная величина,all_14_visual_clean,11,2,0.08384378809561323,-16.44349178662754,0.09826607410385796,a=-3.1767
Постоянная абсолютная величина,all_14_structure_clean,10,2,0.08780011414135754,-13.418662461896913,0.10339359726185378,a=-3.18
Постоянная абсолютная величина,all_14_paper_iv_good,9,2,0.07504171412109445,-13.768523546064852,0.09067991180463778,a=-3.1538
Постоянная без NGC 1399,without_ngc1399,13,2,0.07697332947390338,-22.69637904350062,0.08884745757997599,a=-3.161
Постоянная без NGC 1399,without_ngc1399_visual_clean,10,2,0.07577122703813709,-16.090724079128726,0.0902828597507968,a=-3.1631
Постоянная без NGC 1399,without_ngc1399_structure_clean,9,2,0.08013697676737762,-12.743157060275415,0.09605831040102301,a=-3.1651
Постоянная без NGC 1399,without_ngc1399_paper_iv_good,9,2,0.07504171412109445,-13.768523546064852,0.09067991180463778,a=-3.1538
Линейная зависимость,all_14,14,3,0.08103297739478728,-20.25676695332199,0.09923749893671156,a=-3.1756; b=0.4984
Линейная зависимость,all_14_visual_clean,11,3,0.08036098677338006,-13.313144817132367,0.10462372463019419,a=-3.1712; b=0.74755
Линейная зависимость,all_14_structure_clean,10,3,0.08482236061198892,-9.725316059995365,0.11862318905025498,a=-3.1711; b=0.75086
Линейная зависимость,all_14_paper_iv_good,9,3,0.07114984928569075,-9.785209641845054,0.10863052572965975,a=-3.15; b=0.7132
Линейная зависимость без NGC 1399,without_ngc1399,13,3,0.07404150132927882,-19.991066122496125,0.09497873830613832,a=-3.1644; b=0.47322
Линейная зависимость без NGC 1399,without_ngc1399_visual_clean,10,3,0.0698751558750681,-13.181561038677351,0.10158993697968044,a=-3.1556; b=0.88876
Линейная зависимость без NGC 1399,without_ngc1399_structure_clean,9,3,0.07376405407518535,-9.231280230768483,0.12825867222756643,a=-3.1516; b=1.0128
Линейная зависимость без NGC 1399,without_ngc1399_paper_iv_good,9,3,0.07114984928569075,-9.785209641845054,0.10863052572965975,a=-3.15; b=0.7132
Квадратичная зависимость,all_14,14,4,0.07383741176234647,-18.343908281752384,0.09865800743094821,a=-3.1459; b=0.84899; c=-18.817
Квадратичная зависимость,all_14_visual_clean,11,4,0.06674268290198969,-11.387903434190967,0.09266192741389348,a=-3.1359; b=0.21711; c=-37.274
Квадратичная зависимость,all_14_structure_clean,10,4,0.06952186302726758,-7.023787703890406,0.1026760970440296,a=-3.1391; b=-0.033719; c=-40.407
Квадратичная зависимость,all_14_paper_iv_good,9,4,0.0300105252844112,-13.3640742151644,0.060806582415101174,a=-3.0956; b=-0.01436; c=-51.55
Квадратичная зависимость без NGC 1399,without_ngc1399,13,4,0.05750399523286921,-20.807473042326066,0.08796774189951409,a=-3.1192; b=0.94591; c=-26.802
Квадратичная зависимость без NGC 1399,without_ngc1399_visual_clean,10,4,0.037089514369460314,-16.511945705302388,0.06538092601972373,a=-3.1045; b=0.23053; c=-49.692
Квадратичная зависимость без NGC 1399,without_ngc1399_structure_clean,9,4,0.039485230511692976,-10.567691728647823,0.16340779218953752,a=-3.1066; b=0.089083; c=-51.315
Квадратичная зависимость без NGC 1399,without_ngc1399_paper_iv_good,9,4,0.0300105252844112,-13.3640742151644,0.060806582415101174,a=-3.0956; b=-0.01436; c=-51.55
Кубический полином,all_14,14,5,0.07215338114091038,-13.88408625603855,0.0985064566498566,a=-3.1401; b=0.041579; c=-25.032; d=245.81
Кубический полином,all_14_visual_clean,11,5,0.06637892205144671,-4.1347648333832545,0.10308430134308132,a=-3.1325; b=0.91659; c=-41.813; d=-301.69
Кубический полином,all_14_structure_clean,10,5,0.06951210043043277,1.97561223108697,0.9090235774584172,a=-3.1386; b=0.042349; c=-40.791; d=-30.361
Кубический полином,all_14_paper_iv_good,9,5,0.0295052441024673,-1.505354413417333,0.07372058382919,a=-3.0926; b=0.86548; c=-56.894; d=-355.78
Кубический полином без NGC 1399,without_ngc1399,13,5,0.05478198400432871,-16.46624355514043,0.09236029682111867,a=-3.1122; b=-0.0030408; c=-33.934; d=291.87
Кубический полином без NGC 1399,without_ngc1399_visual_clean,10,5,0.02925819152061087,-10.028480275805535,0.06379085077294798,a=-3.0897; b=2.7061; c=-66.908; d=-1065
Кубический полином без NGC 1399,without_ngc1399_structure_clean,9,5,0.032007606267699294,-0.7016439931286271,0.0890190234143637,a=-3.0869; b=3.0408; c=-67.579; d=-1172
Кубический полином без NGC 1399,without_ngc1399_paper_iv_good,9,5,0.0295052441024673,-1.505354413417333,0.07372058382919,a=-3.0926; b=0.86548; c=-56.894; d=-355.78
Логарифмическая зависимость,all_14,14,3,0.08069763906064348,-20.352338023141563,0.09887069388090472,a=-3.1751; b=0.30387
Логарифмическая зависимость,all_14_visual_clean,11,3,0.07991584128451859,-13.416569388343882,0.10375622209793607,a=-3.1702; b=0.44276
Логарифмическая зависимость,all_14_structure_clean,10,3,0.0843565128837649,-9.819728978375583,0.116630451829361,a=-3.1699; b=0.44836
Логарифмическая зависимость,all_14_paper_iv_good,9,3,0.07039814694211484,-9.946588193210118,0.10709026335918721,a=-3.1489; b=0.43399
Логарифмическая зависимость без NGC 1399,without_ngc1399,13,3,0.07353929397827565,-20.13121060890453,0.09451848339442027,a=-3.1639; b=0.29489
Логарифмическая зависимость без NGC 1399,without_ngc1399_visual_clean,10,3,0.06905578326179568,-13.379431483494287,0.09995888971138586,a=-3.1543; b=0.52881
Логарифмическая зависимость без NGC 1399,without_ngc1399_structure_clean,9,3,0.07282154950737164,-9.428931485791054,0.12346368335782405,a=-3.1499; b=0.60214
Логарифмическая зависимость без NGC 1399,without_ngc1399_paper_iv_good,9,3,0.07039814694211484,-9.946588193210118,0.10709026335918721,a=-3.1489; b=0.43399
Квадратичная зависимость от ln(C/C₀),all_14,14,4,0.07341933410775867,-18.4825278279377,0.09763849047184994,a=-3.1444; b=0.42258; c=-6.2084
Квадратичная зависимость от ln(C/C₀),all_14_visual_clean,11,4,0.06690865872972561,-11.348584686218768,0.09291534899092671,a=-3.1368; b=0.040242; c=-11.511
Квадратичная зависимость от ln(C/C₀),all_14_structure_clean,10,4,0.06958188032991038,-7.014004550676233,0.09708854547035335,a=-3.1401; b=-0.11807; c=-12.657
Квадратичная зависимость от ln(C/C₀),all_14_paper_iv_good,9,4,0.030247962967215127,-13.295069211010976,0.061363994993608235,a=-3.0964; b=-0.13353; c=-16.075
Квадратичная ln-модель без NGC 1399,without_ngc1399,13,4,0.05668475433063622,-21.131399412960803,0.08502747135427469,a=-3.1172; b=0.45164; c=-8.8667
Квадратичная ln-модель без NGC 1399,without_ngc1399_visual_clean,10,4,0.03826901710662259,-16.134612185360695,0.06711424677954339,a=-3.1064; b=0.023687; c=-15.215
Квадратичная ln-модель без NGC 1399,without_ngc1399_structure_clean,9,4,0.04057979649181133,-10.258480370871013,0.1589090464283363,a=-3.1086; b=-0.069033; c=-15.841
Квадратичная ln-модель без NGC 1399,without_ngc1399_paper_iv_good,9,4,0.030247962967215127,-13.295069211010976,0.061363994993608235,a=-3.0964; b=-0.13353; c=-16.075
Линейная модель с экспоненциальной кривизной,all_14,14,4,0.07662094337664005,-17.485567144649266,0.11116375127744454,a=-3.1572; b=1.0354; c=-0.033886
Линейная модель с экспоненциальной кривизной,all_14_visual_clean,11,4,0.06637851064825549,-11.470870240384816,0.0917306638726878,a=-3.1331; b=0.89671; c=-0.1381
Линейная модель с экспоненциальной кривизной,all_14_structure_clean,10,4,0.06978923525535993,-6.948127420282127,0.19888413924227283,a=-3.1359; b=0.75983; c=-0.14369
Линейная модель с экспоненциальной кривизной,all_14_paper_iv_good,9,4,0.029144253981160464,-13.615399066652131,0.05825133876096304,a=-3.0926; b=0.97695; c=-0.19082
Экспоненциальная кривизна без NGC 1399,without_ngc1399,13,4,0.06411082360227692,-18.586000427055573,0.12118838994691682,a=-3.1365; b=1.2128; c=-0.047962
