galaxy,environment,method,method_label,band,mu_mag,sigma_mu_internal_mag,sigma_mu_common_mag,sigma_mu_total_mag,distance_mpc,sigma_distance_internal_mpc,sigma_distance_common_mpc,sigma_distance_total_mpc,uncertainty_convention
NGC 1380,Fornax,trgb_paper4,TRGB Paper IV,TRGB,31.408,0.025,0.047,0.05323532661682466,19.124936418442093,0.22018396750781852,0.41394585891469876,0.46886261704268106,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 1380,Fornax,jensen_paper3_f110w,Jensen Paper III,F110W,31.391620000000003,0.0677464449251767,0.063,0.09251259806102086,18.98121463045902,0.5921833526136369,0.5506938593731945,0.8086685661407093,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 1380,Fornax,jensen2015_f160w,Jensen et al. (2015),F160W,31.51817,,,0.1284842908685727,20.120279064095165,,,1.1905008676596314,Final combined uncertainty supplied by the existing five-object reconstruction; internal/common split unavailable
NGC 1380,Fornax,this_work_f150w,This work,F150W,31.2859350502859,0.0814210090691073,0.04699999999999986,0.0940126625398496,18.079524746315336,0.6779055270901745,0.39131865519125575,0.7827427377881575,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 1380,Fornax,this_work_f090w,This work,F090W,31.39855084232422,0.0716783640652703,0.047,0.0857134054572179,19.041895105461997,0.6285559438289395,0.41214848783461494,0.7516308605605873,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 1399,Fornax,trgb_paper4,TRGB Paper IV,TRGB,31.498,0.026,0.047,0.05371219600798314,19.934254564980947,0.2386816504866229,0.43146298357197216,0.49308136901716976,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 1399,Fornax,jensen_paper3_f110w,Jensen Paper III,F110W,31.48282,0.06876618936657752,0.063,0.09326193650144736,19.795387153498012,0.6268803304230829,0.5743150984580986,0.850186321336852,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 1399,Fornax,jensen2015_f160w,Jensen et al. (2015),F160W,31.5373,,,0.1268223659296734,20.298315568544858,,,1.1854999370512183,Final combined uncertainty supplied by the existing five-object reconstruction; internal/common split unavailable
NGC 1399,Fornax,this_work_f150w,This work,F150W,31.35491717324345,0.0813778687535976,0.04700000000000016,0.0939753027283114,18.663085026273315,0.6994157867949325,0.4039494088853082,0.8076865529131735,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 1399,Fornax,this_work_f090w,This work,F090W,31.586760094988236,0.0537532288198423,0.047,0.071403148449899,20.76596028066742,0.514046326234068,0.44946467148932984,0.6828338864114413,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 1404,Fornax,trgb_paper4,TRGB Paper IV,TRGB,31.366,0.025,0.047,0.05323532661682466,18.75858173799283,0.21596615337806316,0.4060163683507587,0.45988114853041767,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 1404,Fornax,jensen_paper3_f110w,Jensen Paper III,F110W,31.4435,0.06848490636629359,0.063,0.09305472798305307,19.440167385130174,0.6131130367031937,0.5640092592915033,0.8330750508459378,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 1404,Fornax,jensen2015_f160w,Jensen et al. (2015),F160W,31.48777,,,0.1338313016450187,19.840563382616548,,,1.2228055080182154,Final combined uncertainty supplied by the existing five-object reconstruction; internal/common split unavailable
NGC 1404,Fornax,this_work_f150w,This work,F150W,31.386355329868387,0.0884342307407012,0.04700000000000005,0.1001479563780489,18.9352509826239,0.7711469633194585,0.4098402504600925,0.8732907132988497,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 1404,Fornax,this_work_f090w,This work,F090W,31.38674343393958,0.0564289948981771,0.047,0.0734386237971443,18.938635554643653,0.49214908944180175,0.4099135071518333,0.640499656193437,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 1549,Other,trgb_paper4,TRGB Paper IV,TRGB,31.231,0.026,0.047,0.05371219600798314,17.627876532324,0.2110663657672378,0.3815430458100068,0.4360322311070208,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 1549,Other,jensen_paper3_f110w,Jensen Paper III,F110W,,,,,,,,,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 1549,Other,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,Final combined uncertainty supplied by the existing five-object reconstruction; internal/common split unavailable
NGC 1549,Other,this_work_f150w,This work,F150W,31.130182694000528,0.0845410295770944,0.04699999999999994,0.0967273781406027,16.828156366146807,0.655163592612865,0.3642336627178669,0.7496035579839979,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 1549,Other,this_work_f090w,This work,F090W,31.23380224040399,0.0626563346855832,0.047,0.0783250679937899,17.650639628282597,0.5092970000989605,0.38203573708499866,0.6366590443242593,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 3379,Other,trgb_paper4,TRGB Paper IV,TRGB,30.078,0.028,0.047,0.05470831746635972,10.365732567670046,0.1336606952143677,0.22435902410983147,0.26115541952007054,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 3379,Other,jensen_paper3_f110w,Jensen Paper III,F110W,,,,,,,,,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 3379,Other,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,Final combined uncertainty supplied by the existing five-object reconstruction; internal/common split unavailable
NGC 3379,Other,this_work_f150w,This work,F150W,30.23036749808842,0.0778370419168564,0.046999999999999945,0.0909263718310945,11.119198917072035,0.398570826134883,0.2406672757213644,0.4655957914854755,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 3379,Other,this_work_f090w,This work,F090W,30.122521016832795,0.0555752520655079,0.047,0.0727846731265913,10.58045156352237,0.2707891935595188,0.22900646644473424,0.3546417192352274,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4374,Virgo,trgb_paper4,TRGB Paper IV,TRGB,31.112,0.027,0.047,0.05420332093147061,16.687835113653897,0.20749586598202713,0.3611965074501954,0.41655425984360117,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4374,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,,,,,,,,,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4374,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,Final combined uncertainty supplied by the existing five-object reconstruction; internal/common split unavailable
NGC 4374,Virgo,this_work_f150w,This work,F150W,31.157685482672292,0.0885243307573989,0.047000000000000104,0.100227526837917,17.042648878725668,0.6947770000258106,0.3688762029808837,0.7866287134922416,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4374,Virgo,this_work_f090w,This work,F090W,31.13551592818016,0.0588781019761865,0.047,0.0753367831296122,16.869537873820462,0.4574068576110567,0.3651293364792002,0.5852695667360153,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4406,Virgo,trgb_paper4,TRGB Paper IV,TRGB,31.096,0.025,0.047,0.05323532661682466,16.565326493180184,0.19071536921888013,0.35854489413149465,0.40611179884861565,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4406,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,,,,,,,,,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
