model,galaxy,environment,mu_trgb,sigma_mu_trgb,mu_sbf_loo,delta_mu_sbf_minus_trgb,predicted_Mbar_loo,sigma_target_sbf_mag,sigma_color_prediction_mag,sigma_extinction_prediction_mag,sigma_intrinsic_mag,sigma_calibration_prediction_mag,calibration_bootstrap_success,sigma_mu_sbf_internal,sigma_mu_sbf_absolute,sigma_validation_residual_internal,fractional_residual_percent,fractional_internal_sigma_percent,fractional_absolute_sigma_percent
constant,NGC 1380,Fornax,31.408,0.025,31.272960825133516,-0.13503917486648476,-3.1621509189965296,0.015104451653351548,0.0,0.002562236206655117,0.07918600978631948,0.022255829972463732,300,0.08362948387614702,0.0959316974382854,0.08710924357397382,-6.029364254192426,3.926403145687929,4.5168565695017815
constant,NGC 1399,Fornax,31.498,0.026,31.34096067989299,-0.15703932010701038,-3.1610062291815635,0.022076280323858572,0.0,0.0023589635959387787,0.07697333861587122,0.022449123520718924,300,0.08316381519302522,0.09552601822257459,0.08698306577671146,-6.976615620268212,3.904118689155034,4.497332326042525
constant,NGC 1404,Fornax,31.366,0.025,31.379536572694178,0.013536572694178517,-3.1731749118895434,0.013905644450263991,0.0,0.002330322649457525,0.08730077636884279,0.024438321178619413,300,0.09171708698061237,0.10305835261738475,0.09492886363820381,0.6253292806098987,4.314196554060978,4.860438749079887
constant,NGC 1549,Other,31.231,0.026,31.15188957315658,-0.07911042684342107,-3.1663409555676183,0.012994657903713798,0.0,0.0023589635959387787,0.08464325841383422,0.027746674027647553,300,0.09001788849191143,0.10154910264764627,0.0935577566158908,-3.577604984174898,4.232601599271191,4.787582364767173
constant,NGC 3379,Other,30.078,0.028,30.224632076511064,0.14663207651106447,-3.1827811922647955,0.012605179764688088,0.0,0.0029480142102134826,0.07796216532895901,0.023416195410256566,300,0.08237298092925471,0.09483832551859696,0.08676659545700532,6.985868184123567,3.8662844640286353,4.464243867370632
constant,NGC 4374,Virgo,31.112,0.027,31.138695483566732,0.026695483566733458,-3.1741017828923286,0.01765330548793504,0.0,0.003955029734863153,0.08701398804597547,0.025854972728505978,300,0.09247460692053419,0.1037330850071823,0.09595311224451221,1.2369602957400305,4.350592995606295,4.893026650086174
constant,NGC 4406,Virgo,31.096,0.025,31.03054346061655,-0.06545653938345097,-3.1673970223098853,0.017778859045310146,0.0,0.0032441877039497786,0.08550656394486478,0.0241828631183657,300,0.09062158228155072,0.1020846275166436,0.09374316819681215,-2.969405535517966,4.261583465063468,4.8134280887570435
constant,NGC 4472,Virgo,31.016,0.027,30.92942930625816,-0.08657069374183735,-3.1661151770053633,0.023586004417451508,0.0,0.002810488905451811,0.08423705888304989,0.02309424563235413,300,0.09047389609701775,0.10195354763309594,0.0942198696765033,-3.908303427776305,4.254492667236409,4.807101267737246
constant,NGC 4486,Virgo,31.046,0.025,31.05061298635443,0.004612986354430859,-3.172442857407576,0.04830239742770033,0.0,0.0028554448686784217,0.08659121295826704,0.025741675155566024,300,0.10243921904554988,0.11270667060410465,0.10526373464110075,0.21266167714564244,4.830545040477663,5.327392805354925
constant,NGC 4552,Virgo,30.923,0.028,31.057418167906146,0.1344181679061478,-3.181882332861357,0.014429167913782027,0.0,0.00401257420147731,0.07956331499232633,0.02405479106394474,300,0.08436323223052974,0.09657201951073764,0.08846155014336378,6.385792612912322,3.961526185686748,4.547680962294431
constant,NGC 4621,Virgo,30.821,0.026,30.895079409575136,0.07407940957513404,-3.177611913177939,0.013563365310809677,0.0,0.003400996918161547,0.08503765332918957,0.02446610102538458,300,0.089520709680354,0.10110864187434339,0.09292775713008951,3.4703413696493435,4.208739307205112,4.766329440410089
constant,NGC 4636,Virgo,31.07,0.026,31.09998540617338,0.02998540617338108,-3.1743345697131082,0.01882346408372812,0.0,0.0031931076882368565,0.08693339209459888,0.0258158835648164,300,0.09261855810482492,0.1038614331954688,0.0959492255347618,1.390457155972591,4.357510831304845,4.899226695619241
constant,NGC 4649,Virgo,31.009,0.025,31.142447287744165,0.1334472877441648,-3.1818713199127155,0.017058905861147562,0.0,0.0030438561051523163,0.07960383584452442,0.02477843227694353,300,0.0850984586020485,0.09721495592985968,0.08844875018098296,6.338237429526217,3.996731881456883,4.5786403533968345
constant,NGC 4697,Virgo,30.324,0.028,30.2778086905853,-0.046191309414702175,-3.1688610956712537,0.017037638569226812,0.0,0.0032441877039497786,0.08639064710783348,0.026915358682051856,300,0.09207638985488803,0.10337824514233798,0.0959821440533252,-2.104723330520064,4.331458339890948,4.875887502322995
