galaxy,psf_id,sum,ee_r1_pix,ee_r2_pix,ee_r3_pix,ee_r5_pix,ee_r10_pix,ee_r20_pix,ee_r32_pix,ee_r48_pix,ee_r64_pix
NGC 1380,stpsf_R2023111002-NRCA3_FP1-1,1.0,0.581100277091731,0.671334112644142,0.7631093214953586,0.826793971677985,0.892525270645691,0.9512255516370608,0.9767374001796372,0.9916928069438515,0.9984165578443936
NGC 1380,stpsf_field_1280_1024,1.0,0.5805136526628529,0.6713399804970923,0.7629135822357843,0.8267847389969736,0.892551403893656,0.9512908749753382,0.976800058579893,0.9917506752882057,0.9984675350296236
NGC 1380,stpsf_field_768_1024,1.0000000000000002,0.5818539440172609,0.6719882240414219,0.7637080635273938,0.8269865457182572,0.8925556510686006,0.9511897964771134,0.9766967834920876,0.9916565201362642,0.9983771769250902
NGC 1380,stpsf_field_1024_1280,1.0,0.5778914038684592,0.6701578689886607,0.7620340827126463,0.8268000350498375,0.8923711443304989,0.9511232040739714,0.9766388993454007,0.9916037289710222,0.9983451644826906
NGC 1380,stpsf_field_1024_768,1.0000000000000002,0.5831442148612558,0.6729982820603065,0.764250864459413,0.8273234210645746,0.8930198326629798,0.9514722616750462,0.9769038261374736,0.9918112374519285,0.9984901721360031
NGC 1399,stpsf_R2023101202-NRCA3_FP1-1,1.0000000000000002,0.5244043183160199,0.6078498756051565,0.7038793857270615,0.7849739916697149,0.8797048396637,0.9478875366338751,0.975157570244144,0.9910196005594756,0.9981968799867138
NGC 1399,stpsf_field_1280_1024,1.0,0.524772898961644,0.6085327485840502,0.7043329102376387,0.785277954992824,0.8797391208702027,0.947958828242365,0.9752176173475617,0.991075929051483,0.9982467620619186
NGC 1399,stpsf_field_768_1024,1.0,0.5259461083152784,0.6094511567362751,0.705281729458869,0.7850631368853855,0.8797228823432525,0.9478411727726683,0.9751088221886443,0.9909726573325706,0.9981463699971873
NGC 1399,stpsf_field_1024_1280,0.9999999999999998,0.521401532899795,0.6065195111496704,0.7029187556455699,0.7850207265900326,0.8795358904575284,0.9477615769011569,0.9750424651601673,0.9909168718030485,0.9981120806441452
NGC 1399,stpsf_field_1024_768,1.0,0.5269498820054563,0.6102424581329984,0.7053983083928826,0.7855907528157304,0.8802303461446777,0.9481431031882961,0.975327971966114,0.9911400214613093,0.998272441242784
NGC 1404,stpsf_R2023111002-NRCA3_FP1-1,1.0,0.581100277091731,0.671334112644142,0.7631093214953586,0.826793971677985,0.892525270645691,0.9512255516370608,0.9767374001796372,0.9916928069438515,0.9984165578443936
NGC 1404,stpsf_field_1280_1024,1.0,0.5805136526628529,0.6713399804970923,0.7629135822357843,0.8267847389969736,0.892551403893656,0.9512908749753382,0.976800058579893,0.9917506752882057,0.9984675350296236
NGC 1404,stpsf_field_768_1024,1.0000000000000002,0.5818539440172609,0.6719882240414219,0.7637080635273938,0.8269865457182572,0.8925556510686006,0.9511897964771134,0.9766967834920876,0.9916565201362642,0.9983771769250902
NGC 1404,stpsf_field_1024_1280,1.0,0.5778914038684592,0.6701578689886607,0.7620340827126463,0.8268000350498375,0.8923711443304989,0.9511232040739714,0.9766388993454007,0.9916037289710222,0.9983451644826906
NGC 1404,stpsf_field_1024_768,1.0000000000000002,0.5831442148612558,0.6729982820603065,0.764250864459413,0.8273234210645746,0.8930198326629798,0.9514722616750462,0.9769038261374736,0.9918112374519285,0.9984901721360031
NGC 1549,stpsf_R2024082402-NRCA3_FP1-1,0.9999999999999998,0.5760352870528823,0.6665481722680067,0.7601000332219463,0.8257598572519954,0.892817443650137,0.9516416641756831,0.9769263057102029,0.9917442088934307,0.9984257567096206
NGC 1549,stpsf_field_1280_1024,1.0,0.5757192716849387,0.666829734728628,0.75978070493285,0.8257899655507073,0.8928298874370207,0.9517048245923967,0.9769867837363042,0.9918008802501745,0.9984755365206607
NGC 1549,stpsf_field_768_1024,1.0,0.5761850552005859,0.6665975948827598,0.7607113904553366,0.8259259932735058,0.89283977745293,0.9516047916877441,0.9768852597777515,0.9917066604734784,0.9983853378513886
NGC 1549,stpsf_field_1024_1280,1.0000000000000002,0.5729058145773568,0.6655667338552917,0.7589634126334993,0.8256646473449407,0.8926762889119791,0.9515386950873748,0.9768274462986816,0.9916543708624692,0.9983537730288339
NGC 1549,stpsf_field_1024_768,1.0,0.5777380232382356,0.6677134390355719,0.7611082554851158,0.8263021064150537,0.8932977918971061,0.9518845268091679,0.9770900115727372,0.9918607757672981,0.9984980655886309
NGC 3379,stpsf_R2024052602-NRCA3_FP1-1,1.0000000000000002,0.5806605272396377,0.6704284707105354,0.7633655466473597,0.8276913810714316,0.8928280694955767,0.9514717914247616,0.9768697624039799,0.9917242444692249,0.9984231541185453
NGC 3379,stpsf_field_1280_1024,1.0000000000000002,0.580031979683267,0.6703894502177593,0.763168436411723,0.8278496209579305,0.8928423288454662,0.9515370266303341,0.9769314490700477,0.9917816858559976,0.9984741006956813
NGC 3379,stpsf_field_768_1024,1.0,0.5810540380167172,0.6709384321324229,0.7640612245898918,0.8277656525412775,0.8928691275156726,0.951435594718562,0.9768305847914147,0.9916877239514741,0.9983831960572005
NGC 3379,stpsf_field_1024_1280,1.0000000000000002,0.57746860957015,0.66923279954931,0.7623960707426912,0.827814578330515,0.8926760913121916,0.951370315097125,0.9767706581283747,0.9916347194390915,0.9983513176156689
NGC 3379,stpsf_field_1024_768,0.9999999999999998,0.5823757467569621,0.6719359277511514,0.7644239255515038,0.8281481670659779,0.8933176622614101,0.9517164987271594,0.9770362150839866,0.9918422915003826,0.998496551314312
