item,version_or_identifier
Input i2d products (2/28),pipeline 1.19.1; CRDS 12.1.11; jwst_1413.pmap
Input i2d products (22/28),pipeline 1.20.2; CRDS 13.0.6; jwst_1464.pmap
Input i2d products (4/28),pipeline 2.0.1; CRDS 13.1.13; jwst_1535.pmap
Python,3.13.2
numpy,2.3.5
astropy,7.2.0
photutils,2.3.0
stpsf,2.1.0
scipy,1.16.3
matplotlib,3.10.8
pandas,2.3.3
Product-generation Git HEAD,5d0fd14964741e2f25dbac4b62dac4ea2e043217
Executed sbf-2.ipynb SHA256,a1828d2d8d975c193707df9ff95516750e8a410623fe7a2f1eb149fef17bcd4a
Current sbf-2-graph.ipynb SHA256,f4041734b2e905b155dfb4935c941b8ac01df332f82656365e8334da4b273525
Current sbf-2-systematics.ipynb SHA256,082e3fa4c2e00e1696de972e7cc48938c014350413c26ebd37741836c6f278a6
Current article TeX SHA256,0f04208de6b59472990e93ed5acbd617e01aa4b0175a0122bb479edbc69475f4
Article-table builder SHA256,b3bde1890ae6b68dd130bc787e79f403ad8885363424b789ee59a65eacecb391
Current article-worktree Git HEAD,12989ca663e379481cb97585b050b814de2fa1cb
Current article worktree clean,no
