galaxy,ring,branch,space,sigma,threshold_median,threshold_scale,threshold_n_pixels,lower,upper,changed_pixels,changed_fraction,subtracted_mean,n_use,mbar_full,mbar_no_winsor,delta_mbar_full_minus_no_winsor,variance_proxy_delta_mbar,n_pixels,n_changed,delta_weighted_mbar_full_minus_no_winsor
NGC 1380,inner,normalized_full_3p5,normalized_full,3.5,-0.029434856160153,0.2142370706549096,3318734.0,-0.7792646034523366,0.7203948911320305,1884,0.0029129591118876,-0.0010857913494884,646765,28.041120900774875,28.02983784203205,0.01128305874282276,0.01128305874282276,646765,1884,0.008827020159731802
NGC 1380,outer,normalized_full_3p5,normalized_full,3.5,-0.029434856160153,0.2142370706549096,3318734.0,-0.7792646034523366,0.7203948911320305,4642,0.0023927095038297,-0.0111236076423699,1940060,28.140291200297604,28.133784728921366,0.006506471376237499,0.006506471376237499,1940060,4642,0.008827020159731802
NGC 1399,inner,normalized_full_3p5,normalized_full,3.5,-0.021341877684444,0.1899524306600548,3620940.0,-0.6861753849946359,0.6434916296257478,1409,0.0021746444788107,-0.0002558143753621,647922,28.134249423265217,28.096839978678787,0.03740944458643014,0.03740944458643014,647922,1409,0.01644047487166489
NGC 1399,outer,normalized_full_3p5,normalized_full,3.5,-0.021341877684444,0.1899524306600548,3620940.0,-0.6861753849946359,0.6434916296257478,4515,0.0019458590051682,-0.0068383878407478,2320312,28.181266293138407,28.17665096570578,0.004615327432627936,0.004615327432627936,2320312,4515,0.01644047487166489
NGC 1404,inner,normalized_full_3p5,normalized_full,3.5,-0.0261724520777845,0.2019911029289736,3497155.0,-0.7331413123291926,0.6807964081736233,1878,0.0028944541457121,-0.0004743761720883,648827,28.114919046067374,28.091500511043797,0.023418535023576936,0.023418535023576936,648827,1878,0.010871532354936875
NGC 1404,outer,normalized_full_3p5,normalized_full,3.5,-0.0261724520777845,0.2019911029289736,3497155.0,-0.7331413123291926,0.6807964081736233,5230,0.0022570937695149,-0.0096670425619983,2317139,28.224803429577463,28.219075325562,0.005728104015464197,0.005728104015464197,2317139,5230,0.010871532354936875
NGC 1549,inner,normalized_full_3p5,normalized_full,3.5,-0.0648667961254624,0.2172851695010228,6219490.0,-0.8253648893790424,0.6956312971281173,4531,0.0069969701929996,-0.00028075317353,647566,27.832945678756573,27.806822191553323,0.026123487203250306,0.026123487203250306,647566,4531,0.012908777695116669
NGC 1549,outer,normalized_full_3p5,normalized_full,3.5,-0.0648667961254624,0.2172851695010228,6219490.0,-0.8253648893790424,0.6956312971281173,9863,0.005044932791347,-0.0232338954528045,1955031,27.966319343910175,27.954727048816668,0.011592295093507232,0.011592295093507232,1955031,9863,0.012908777695116669
NGC 3379,inner,normalized_full_3p5,normalized_full,3.5,-0.0866081021114215,0.3447128969221775,3481020.0,-1.2931032413390429,1.1198870371161995,4610,0.0071289064010156,-0.0025055001789935,646663,26.83539446460574,26.809380512011725,0.026013952594016843,0.026013952594016843,646663,4610,0.012817245512323439
NGC 3379,outer,normalized_full_3p5,normalized_full,3.5,-0.0866081021114215,0.3447128969221775,3481020.0,-1.2931032413390429,1.1198870371161995,6648,0.0034752552728687,-0.0510795016459341,1912953,27.10468141370154,27.09618614828411,0.008495265417430176,0.008495265417430176,1912953,6648,0.012817245512323439
