galaxy,program,signal_filter,color_filter,execution_status,qc_status,qc_flags,recommended_mbar_weighted,recommended_sigma_adopted,annulus_delta_mag,annulus_delta_z,inner_mbar,inner_mbar_sigma,inner_P_fluc,inner_P1,inner_usable_fraction,inner_model_coverage,inner_k_span_mag,inner_Pr_over_P0,inner_corr,inner_fit_significance,inner_jensen_sbf_to_white_noise,inner_psf_n_used,inner_psf_success_fraction,inner_psf_scatter_mag,outer_mbar,outer_mbar_sigma,outer_P_fluc,outer_P1,outer_usable_fraction,outer_model_coverage,outer_k_span_mag,outer_Pr_over_P0,outer_corr,outer_fit_significance,outer_jensen_sbf_to_white_noise,outer_psf_n_used,outer_psf_success_fraction,outer_psf_scatter_mag,opd_corr_id,opd_delta_days,isophote_fit_mode,isophote_count,fitted_sma_max_px,result_json,worker_log_path,error
NGC 1380,3055,F150W,F090W,ok,review,inner:review:white_noise_P1_nonpositive|outer:warn:model_coverage=0.804|outer:review:white_noise_P1_nonpositive,28.119706722827388,0.022465040313916163,0.044930080627832325,1.5959392743335408,28.094020903907285,0.02128623952949172,0.9166877857465537,-0.078556544605632,0.9949762042876904,1.0,0.00835176805181348,2.8341823425038392e-05,0.99834527122177,51.00648253318114,,5.0,1.0,0.0003282428287183897,28.138950984535118,0.01842480345567624,0.8795274786420144,-0.07275673456578764,0.7454025948648156,0.8037259208004611,0.0071209497633830665,2.123822293415753e-05,0.9986299039195838,58.927966714545335,,5.0,1.0,0.001681175574985012,R2023111002,0.1501266276020411,real_only,198,1990.0,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_1380_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_1380/F150W__F090W/run_20260725T181947Z_5f9c4538136a_880a931f__attempt_1__1785003589/worker.log,
NGC 1399,3055,F150W,F090W,ok,review,inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,28.18633443093183,0.009688210231807682,0.018538368913770142,0.9287907922058497,28.197828027549768,0.015716138028865363,0.8330531678032673,-0.05256230624412319,0.9970086140835187,1.0,0.006010979220185675,1.6246568432094566e-05,0.9984560881938023,69.08416067382394,,5.0,1.0,0.00348369060414711,28.179289658635998,0.012304142125341687,0.8473992353031264,-0.05108317535930933,0.8925996894016885,1.0,0.0034781531854903847,0.0035867326645718464,0.9995992519972293,88.2415201074393,,5.0,1.0,0.0025426087500043898,R2023101202,0.38254592592140696,real_only,198,1990.0,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_1399_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_1399/F150W__F090W/run_20260725T181947Z_5f9c4538136a_880a931f__attempt_1__1785004880/worker.log,
NGC 1404,3055,F150W,F090W,ok,review,inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,28.212316309010344,0.013187382695762596,0.026140192715583765,0.9624840785844537,28.19612785422319,0.021372904081474135,0.8344156167199727,-0.07103883523488255,0.9982906061808973,1.0,0.009943093855689256,1.5354442924471699e-07,0.9967186506024095,50.799657389527944,,5.0,1.0,0.0019805211607394793,28.222268046938773,0.01675754150482393,0.81456612733461,-0.06738206027368807,0.8913488950360192,0.999871471987401,0.0049800062154155,0.005771776341973554,0.9990342700471293,64.79090052950683,,5.0,1.0,0.0011055817694394677,R2023111002,4.588566961808064,real_only,198,1990.0,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_1404_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_1404/F150W__F090W/run_20260725T174839Z_5f9c4538136a_989a708b__attempt_1__1785001719/worker.log,
NGC 1549,3055,F150W,F090W,ok,review,inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,27.989160211810514,0.01940573844633242,0.03881147689266484,1.4916218410278226,28.018926200644515,0.022786703849477955,0.9822698552213298,-0.08203517034104214,0.9964976802517485,1.0,0.006007340372541137,7.52056867173228e-05,0.9975908004082754,47.64779548328591,,5.0,1.0,0.0009846323232758861,27.98011472375185,0.012561379977386102,1.0180178827482373,-0.07657679733278494,0.7526550471766886,1.0,0.002703155203157337,0.0010562766170071802,0.9994228399407584,86.4344687218084,,5.0,1.0,0.0036753686823483285,R2024082402,0.8814722974559507,real_only,198,1990.0,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_1549_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_1549/F150W__F090W/run_20260725T181947Z_5f9c4538136a_880a931f__attempt_1__1785010170/worker.log,
NGC 3379,3055,F150W,F090W,ok,review,"inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive|annuli:warn:delta=0.169mag,7.1sigma",27.061015822755923,0.08439998045991892,0.16879996091983784,7.054576642900697,26.935904795993522,0.020599800236634477,2.664064518155329,-0.23233119644645822,0.9949741245100271,1.0,0.00688027737962571,3.977942115146938e-05,0.9957324184464541,52.70615211244947,,5.0,1.0,0.0005873621920094308,27.10470475691336,0.012173092990274087,2.2804720509499012,-0.17211247553119377,0.7363076392927139,1.0,0.0018295559640755243,0.006831069525143107,0.999261496379542,89.19148203546938,,5.0,1.0,0.001954570613254088,R2024052602,0.6522562528911678,real_only,198,1990.0,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_3379_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_3379/F150W__F090W/run_20260725T181947Z_5f9c4538136a_880a931f__attempt_1__1785011341/worker.log,
NGC 4374,3055,F150W,F090W,ok,review,inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,27.98543496939438,0.021419087467817732,0.042838174935635465,1.5472737834240462,27.958589625861023,0.02191708520075003,1.038605742707235,-0.08728058167332274,0.9985369140733173,1.0,0.007866431131951401,1.420367847788445e-05,0.9973692279151027,49.53834849905014,,5.0,1.0,0.0005588856476268688,28.00142780079666,0.016916518671014718,0.9984250060895516,-0.07927222145915813,0.818381263267128,1.0,0.005277275151879479,0.006685086714583574,0.9990996352552043,64.18201202464091,,5.0,1.0,0.0034713872879635847,R2024051402,1.0562982841451645,real_only,198,1990.0,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_4374_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4374/F150W__F090W/run_20260725T181947Z_5f9c4538136a_880a931f__attempt_1__1785007708/worker.log,
NGC 4406,3055,F150W,F090W,ok,review,inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,27.87845839083563,0.03078825480723424,0.06157650961446848,2.301522559061728,27.842689736703743,0.020391238178734568,1.155639462718242,-0.0998154934800646,0.9977969942509549,1.0,0.009104658802662868,2.9219710926465368e-05,0.9970947149484168,53.245231860928,,5.0,1.0,0.0012335730945506078,27.904266246318212,0.01732081235757411,1.091922361094081,-0.08760360369022967,0.7908812239905847,0.9835431025094513,0.007038029090377762,0.005964953352058812,0.9986518022548121,62.68390779508413,,5.0,1.0,0.0042252648535487545,R2024052602,4.164021643518429,real_only,198,1990.0,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_4406_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4406/F150W__F090W/run_20260725T181947Z_5f9c4538136a_880a931f__attempt_1__1785008399/worker.log,
NGC 4472,3055,F150W,F090W,ok,review,inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,27.774798093649522,0.022421300404551373,0.03937937612556652,0.7904255220680129,27.78590865088641,0.0264631404330956,1.21769608406135,-0.10492152554453221,0.9958847673316678,1.0,0.011096079094706113,0.00017367729882985646,0.9939368064924294,41.02824483371879,,5.0,1.0,0.0007204786501454322,27.746529274760842,0.042211160542912136,1.2626723193813403,-0.10841861920004182,0.8556760386571531,0.9972437644058498,0.016128246689074643,0.0002145475383249736,0.9868760136890253,25.721543563209142,,5.0,1.0,0.0023431714882776095,O2024061001,0.6569974450251193,real_only,198,1990.0,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_4472_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4472/F150W__F090W/run_20260725T181947Z_5f9c4538136a_880a931f__attempt_1__1785005752/worker.log,
NGC 4486,3055,F150W,F090W,ok,review,inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,27.89248089536401,0.029203471005899928,0.058406942011799856,1.7695532100792304,27.921296599442122,0.02318372548711086,1.0749420396762936,-0.08998342926806983,0.9855312144241716,1.0,0.010692603647108001,0.0004779548762239213,0.9965005651657763,46.8318262895992,,5.0,1.0,0.0003702248246080103,27.862889657430323,0.02349363271777833,1.1343519573074636,-0.0917115420155634,0.8047420888266695,1.0,0.011730062973562383,0.0010368506802764322,0.9965847066808095,46.214062244044555,,5.0,1.0,0.002844703328150462,O2024062601,0.6244412789377134,real_only,198,1990.0,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_4486_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4486/F150W__F090W/run_20260725T181947Z_5f9c4538136a_880a931f__attempt_1__1785007377/worker.log,
NGC 4552,3055,F150W,F090W,ok,review,inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,27.89680243577946,0.042895463951147406,0.08579092790229481,3.285427168303893,27.83515776966476,0.022134850381026517,1.163698376828007,-0.09773398667404541,0.99567706274105,1.0,0.007870531825179938,2.882069255537828e-05,0.9955196107063571,49.05098458170729,,5.0,1.0,0.0010712644878445538,27.920948697567056,0.01385331759660909,1.0752861633422282,-0.08113538863074281,0.780774437709609,1.0,0.004402926544734953,0.005218037939535694,0.999316221486079,78.37373229816716,,5.0,1.0,0.0021633655689782655,O2024062601,0.7321163831068884,real_only,198,1990.0,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_4552_result.json,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/products/NGC_4552/F150W__F090W/run_20260725T181947Z_5f9c4538136a_880a931f__attempt_1__1785006023/worker.log,
