program,obsid,galaxy,signal_filter,color_filter,status,method,quantity,result_value,result_unit,selected_region,selection_method,qc,result_json,error,updated_at
3055,o001_t001,NGC 1380,F150W,F090W,done,sbf2,apparent_sbf_magnitude,28.119706722827388,AB mag,circular_inner_lit+circular_outer_lit,inverse_variance_weighted_two_annuli,review:inner:review:white_noise_P1_nonpositive|outer:warn:model_coverage=0.804|outer:review:white_noise_P1_nonpositive,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_1380_result.json,,2026-07-26T09:27:29Z
3055,o002_t002,NGC 1399,F150W,F090W,done,sbf2,apparent_sbf_magnitude,28.18633443093183,AB mag,circular_inner_lit+circular_outer_lit,inverse_variance_weighted_two_annuli,review:inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_1399_result.json,,2026-07-26T09:42:00Z
3055,o003_t003,NGC 1404,F150W,F090W,done,sbf2,apparent_sbf_magnitude,28.212316309010344,AB mag,circular_inner_lit+circular_outer_lit,inverse_variance_weighted_two_annuli,review:inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_1404_result.json,,2026-07-26T09:56:02Z
3055,o004_t004,NGC 4374,F150W,F090W,done,sbf2,apparent_sbf_magnitude,27.98543496939438,AB mag,circular_inner_lit+circular_outer_lit,inverse_variance_weighted_two_annuli,review:inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_4374_result.json,,2026-07-26T10:39:10Z
3055,o005_t005,NGC 4406,F150W,F090W,done,sbf2,apparent_sbf_magnitude,27.87845839083563,AB mag,circular_inner_lit+circular_outer_lit,inverse_variance_weighted_two_annuli,review:inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_4406_result.json,,2026-07-26T10:44:41Z
3055,o006_t006,NGC 4472,F150W,F090W,done,sbf2,apparent_sbf_magnitude,27.774798093649522,AB mag,circular_inner_lit+circular_outer_lit,inverse_variance_weighted_two_annuli,review:inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_4472_result.json,,2026-07-26T10:00:33Z
3055,o007_t007,NGC 4486,F150W,F090W,done,sbf2,apparent_sbf_magnitude,27.89248089536401,AB mag,circular_inner_lit+circular_outer_lit,inverse_variance_weighted_two_annuli,review:inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_4486_result.json,,2026-07-26T10:28:09Z
3055,o008_t008,NGC 4552,F150W,F090W,done,sbf2,apparent_sbf_magnitude,27.89680243577946,AB mag,circular_inner_lit+circular_outer_lit,inverse_variance_weighted_two_annuli,review:inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_4552_result.json,,2026-07-26T10:06:04Z
3055,o009_t009,NGC 4621,F150W,F090W,done,sbf2,apparent_sbf_magnitude,27.73162392921086,AB mag,circular_inner_lit+circular_outer_lit,inverse_variance_weighted_two_annuli,review:inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_4621_result.json,,2026-07-26T11:08:42Z
3055,o010_t010,NGC 4649,F150W,F090W,done,sbf2,apparent_sbf_magnitude,27.974856601067405,AB mag,circular_inner_lit+circular_outer_lit,inverse_variance_weighted_two_annuli,review:inner:review:white_noise_P1_nonpositive|outer:review:white_noise_P1_nonpositive,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf2_go3055/batch/NGC_4649_result.json,,2026-07-26T10:17:07Z
