label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_err_img,snr,flux_jy,mag_ab,mask_brighter_than_mcut
2537,6081.637976929902,3559.768411712511,1127,38341.12422083318,38341.12422083318,38341.12422083318,29.281975430849762,1309.3762854687473,0.000878794156858446,16.540347720745512,True
2534,6116.7340067340065,3549.6296296296296,891,22961.877857014537,22961.877857014537,22961.877857014537,30.662201668329832,748.8659198511256,0.0005262955769115737,17.09699132193488,True
2538,6118.314479638009,3572.816742081448,442,11663.651924282312,11663.651924282312,11663.651924282312,20.209966059843477,577.1237759502029,0.0002673356446110835,17.83242345148662,True
762,6906.417582417583,2745.087912087912,455,7975.408320888877,7975.408320888877,7975.408320888877,18.45098013043503,432.2484911104197,0.00018279960156069387,18.245127510310958,True
2520,7171.597042513863,3195.475046210721,541,6747.745263651013,6747.745263651013,6747.745263651013,18.728226348771564,360.29814772575173,0.00015466106511409183,18.42661313044355,True
2536,6095.507352941177,3546.6470588235297,136,6377.18397629261,6377.18397629261,6377.18397629261,11.097935907812753,574.6279334523084,0.00014616764973553173,18.487937462546633,True
2521,7150.103343465045,3200.732522796353,329,6035.24844147265,6035.24844147265,6035.24844147265,15.887312588359595,379.8784978835621,0.00013833034824454484,18.54777194660676,True
929,6347.641509433963,2885.867924528302,53,2699.1542758494616,2699.1542758494616,2699.1542758494616,34.02385261290088,79.33123584088237,6.18657134937931e-05,19.421440557320462,True
2539,6104.913385826771,3578.03937007874,127,2554.5375093072653,2554.5375093072653,2554.5375093072653,10.08227527968872,253.3691491694853,5.855103840265457e-05,19.481229118059147,True
2327,7006.310924369748,4201.854341736695,357,2407.478527262807,2407.478527262807,2407.478527262807,8.593253671404021,280.1591363786026,5.518038673918561e-05,19.545603772368963,True
2562,7049.739795918367,3931.234693877551,196,1971.2071672081947,1971.2071672081947,1971.2071672081947,6.934490161355423,284.26129698666995,4.518086977634291e-05,19.762679154126467,True
1771,6425.664383561644,3837.4520547945203,146,1702.589433223009,1702.589433223009,1702.589433223009,10.701144607478469,159.10348805427398,3.902404209191964e-05,19.921734993766037,True
2519,7155.311320754717,3185.566037735849,106,1678.616168886423,1678.616168886423,1678.616168886423,8.832988316126764,190.03944178457724,3.847456512566085e-05,19.937131322926827,True
1239,5919.032110091743,3393.912844036697,218,1463.405820041895,1463.405820041895,1463.405820041895,10.790261986911315,135.62282563824857,3.35418564244049e-05,20.086097883243646,True
2540,6066.45987654321,3580.1882716049386,324,1423.9357181191444,1423.9357181191444,1423.9357181191444,14.228507654000254,100.07625203889981,3.263718563956982e-05,20.115783867934155,True
1892,6052.859154929578,3922.1619718309857,142,1402.0538940131664,1402.0538940131664,1402.0538940131664,5.727090217229641,244.81086220628464,3.2135645333787937e-05,20.132598058173965,True
1188,5958.989473684211,3291.315789473684,95,1387.236060962081,1387.236060962081,1387.236060962081,9.253576576208864,149.91350096228666,3.1796014575242724e-05,20.144133903803137,True
2526,5612.456692913386,3384.818897637795,127,1378.809966430068,1378.809966430068,1378.809966430068,5.41499439485987,254.6281428728513,3.160288506247151e-05,20.150748793147834,True
2533,6133.543859649123,3541.7587719298244,228,1374.9132662415504,1374.9132662415504,1374.9132662415504,16.882052001933637,81.44230725530703,3.151357110973046e-05,20.15382157202953,True
519,6921.392405063291,2535.8101265822784,158,1332.4074117839336,1332.4074117839336,1332.4074117839336,6.682369917274516,199.39144768677693,3.0539319642442174e-05,20.187917228335216,True
2587,6962.214574898786,4233.71052631579,494,1272.6615690886974,1272.6615690886974,1272.6615690886974,10.176714988629506,125.05622595411668,2.9169920634871382e-05,20.237727503530376,True
342,5711.715384615384,2422.253846153846,130,1254.9049539864063,1254.9049539864063,1254.9049539864063,4.6875362110811745,267.71098877483956,2.8762931796787207e-05,20.25298274360727,True
225,6123.023121387283,2354.190751445087,173,1235.5715273171663,1235.5715273171663,1235.5715273171663,6.320030912457378,195.50086770647562,2.8319801796448105e-05,20.269840098520575,True
1622,7465.62676056338,3729.2676056338028,142,1231.4427160918713,1231.4427160918713,1231.4427160918713,5.101387181604988,241.39369788129613,2.8225167764366453e-05,20.27347429238652,True
1603,6215.63829787234,3709.9148936170213,94,1227.7584964931011,1227.7584964931011,1227.7584964931011,8.211295827817928,149.52067520618922,2.8140723953138213e-05,20.27672745733847,True
745,7027.589041095891,2723.3424657534247,146,1048.55710080266,1048.55710080266,1048.55710080266,7.210513411144949,145.42058810707638,2.4033355099617003e-05,20.44802961396389,True
