galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 1380,no_winsor,0.01,28.02175575064247,0.0208799150036043,0.0208799150036043,"max(fit covariance + PSF MAD, k-window MAD)",28.12638014289653,0.0186198658048336,0.0186198658048336,"max(fit covariance + PSF MAD, k-window MAD)",28.080034681132855,0.0138968336572934,0.1046243922540597,0.0523121961270298,0.0523121961270298
NGC 1380,no_winsor,0.03,28.027396555464723,0.0204274035319532,0.0204274035319532,"max(fit covariance + PSF MAD, k-window MAD)",28.13084093946811,0.0186491464170819,0.0186491464170819,"max(fit covariance + PSF MAD, k-window MAD)",28.083816464075447,0.0137727824935876,0.1034443840033887,0.0517221920016943,0.0517221920016943
NGC 1380,no_winsor,0.04,28.02983784203205,0.0208888603492881,0.0208888603492881,"max(fit covariance + PSF MAD, k-window MAD)",28.133784728921366,0.0187785550312448,0.0187785550312448,"max(fit covariance + PSF MAD, k-window MAD)",28.087325649809497,0.0139651080896935,0.1039468868893145,0.0519734434446572,0.0519734434446572
NGC 1380,raw_global_3p5,0.01,28.08570837290697,0.0212453150842806,0.0212453150842806,"max(fit covariance + PSF MAD, k-window MAD)",28.13242831662844,0.0186140300439073,0.0186140300439073,"max(fit covariance + PSF MAD, k-window MAD)",28.112139144939533,0.0140005204254992,0.0467199437214667,0.0233599718607333,0.0233599718607333
NGC 1380,raw_global_3p5,0.03,28.09142047414539,0.0207873381273289,0.0207873381273289,"max(fit covariance + PSF MAD, k-window MAD)",28.136890595429605,0.0186440888584806,0.0186440888584806,"max(fit covariance + PSF MAD, k-window MAD)",28.116619730179305,0.0138794407541811,0.045470121284211,0.0227350606421055,0.0227350606421055
NGC 1380,raw_global_3p5,0.04,28.094007824723416,0.021229556149392,0.021229556149392,"max(fit covariance + PSF MAD, k-window MAD)",28.139850181977703,0.0187661102587873,0.0187661102587873,"max(fit covariance + PSF MAD, k-window MAD)",28.119741892231684,0.0140603137194187,0.0458423572542869,0.0229211786271434,0.0229211786271434
NGC 1380,normalized_full_3p5,0.01,28.03298304048909,0.0210763972738655,0.0210763972738655,"max(fit covariance + PSF MAD, k-window MAD)",28.132834155385165,0.0187408126898095,0.0187408126898095,"max(fit covariance + PSF MAD, k-window MAD)",28.088745547916073,0.0140049998292904,0.0998511148960794,0.0499255574480397,0.0499255574480397
NGC 1380,normalized_full_3p5,0.03,28.03864326158572,0.0206299144642249,0.0206299144642249,"max(fit covariance + PSF MAD, k-window MAD)",28.1373236424452,0.0187662506364843,0.0187662506364843,"max(fit covariance + PSF MAD, k-window MAD)",28.092641174966253,0.0138819537383734,0.0986803808594771,0.0493401904297385,0.0493401904297385
NGC 1380,normalized_full_3p5,0.04,28.041120900774875,0.0210945615879125,0.0210945615879125,"max(fit covariance + PSF MAD, k-window MAD)",28.140291200297604,0.0188917722163149,0.0188917722163149,"max(fit covariance + PSF MAD, k-window MAD)",28.09615266996923,0.0140730627959223,0.0991702995227292,0.0495851497613646,0.0495851497613646
NGC 1380,normalized_union_3p5,0.01,28.03362705443821,0.0210819848999788,0.0210819848999788,"max(fit covariance + PSF MAD, k-window MAD)",28.133282126149,0.018748360992876,0.018748360992876,"max(fit covariance + PSF MAD, k-window MAD)",28.08927331688839,0.0140097893066389,0.0996550717107886,0.0498275358553943,0.0498275358553943
NGC 1380,normalized_union_3p5,0.03,28.039287945280144,0.0206356031472089,0.0206356031472089,"max(fit covariance + PSF MAD, k-window MAD)",28.137773338220654,0.0187736437817481,0.0187736437817481,"max(fit covariance + PSF MAD, k-window MAD)",28.09317339399453,0.0138866795549765,0.098485392940514,0.049242696470257,0.049242696470257
NGC 1380,normalized_union_3p5,0.04,28.041767433472945,0.0211001206324846,0.0211001206324846,"max(fit covariance + PSF MAD, k-window MAD)",28.140742847223123,0.0188987576625794,0.0188987576625794,"max(fit covariance + PSF MAD, k-window MAD)",28.096685864146473,0.014077601017866,0.0989754137501783,0.0494877068750891,0.0494877068750891
NGC 1399,no_winsor,0.01,28.091289714774664,0.0158113467624159,0.0158113467624159,"max(fit covariance + PSF MAD, k-window MAD)",28.17317224091879,0.0116015918195459,0.0116015918195459,"max(fit covariance + PSF MAD, k-window MAD)",28.144515812413825,0.0093537181285797,0.0818825261441276,0.0409412630720638,0.0409412630720638
NGC 1399,no_winsor,0.03,28.09326660538687,0.0164645611711028,0.0164645611711028,"max(fit covariance + PSF MAD, k-window MAD)",28.17554159071691,0.0119195642393954,0.0119195642393954,"max(fit covariance + PSF MAD, k-window MAD)",28.14724900574121,0.0096550064376327,0.082274985330045,0.0411374926650225,0.0411374926650225
NGC 1399,no_winsor,0.04,28.096839978678787,0.016061896080667,0.016061896080667,"max(fit covariance + PSF MAD, k-window MAD)",28.17665096570578,0.012266647657828,0.012266647657828,"max(fit covariance + PSF MAD, k-window MAD)",28.147249425137023,0.0097487854886307,0.0798109870269918,0.0399054935134959,0.0399054935134959
NGC 1399,raw_global_3p5,0.01,28.191817067122862,0.0156487649390937,0.0156487649390937,"max(fit covariance + PSF MAD, k-window MAD)",28.175811495950523,0.0116353078688915,0.0116353078688915,"max(fit covariance + PSF MAD, k-window MAD)",28.18150974539094,0.0093371687282613,-0.0160055711723394,0.0080027855861697,0.0093371687282613
NGC 1399,raw_global_3p5,0.03,28.194044215786324,0.0162556347663191,0.0162556347663191,"max(fit covariance + PSF MAD, k-window MAD)",28.178175605619828,0.011956181297663,0.011956181297663,"max(fit covariance + PSF MAD, k-window MAD)",28.18374644251692,0.0096315172987926,-0.0158686101664962,0.0079343050832481,0.0096315172987926
NGC 1399,raw_global_3p5,0.04,28.1978280464938,0.0157161210988469,0.0157161210988469,"max(fit covariance + PSF MAD, k-window MAD)",28.179289649061783,0.0123041485025975,0.0123041485025975,"max(fit covariance + PSF MAD, k-window MAD)",28.186334446132506,0.0096882093790431,-0.0185383974320174,0.0092691987160087,0.0096882093790431
NGC 1399,normalized_full_3p5,0.01,28.128203722472808,0.0159297637477335,0.0159297637477335,"max(fit covariance + PSF MAD, k-window MAD)",28.177754147717117,0.0117276946774648,0.0117276946774648,"max(fit covariance + PSF MAD, k-window MAD)",28.16033739994866,0.0094442869307363,0.049550425244309,0.0247752126221545,0.0247752126221545
NGC 1399,normalized_full_3p5,0.03,28.13046898704947,0.0165543696685278,0.0165543696685278,"max(fit covariance + PSF MAD, k-window MAD)",28.180137912790737,0.0120493105397044,0.0120493105397044,"max(fit covariance + PSF MAD, k-window MAD)",28.16293691422003,0.0097419768988342,0.0496689257412654,0.0248344628706327,0.0248344628706327
NGC 1399,normalized_full_3p5,0.04,28.134249423265217,0.016047023497055,0.016047023497055,"max(fit covariance + PSF MAD, k-window MAD)",28.181266293138407,0.0123990082289301,0.0123990082289301,"max(fit covariance + PSF MAD, k-window MAD)",28.163689900008688,0.009811434548953,0.0470168698731932,0.0235084349365966,0.0235084349365966
NGC 1399,normalized_union_3p5,0.01,28.12814515466184,0.015929706515798,0.015929706515798,"max(fit covariance + PSF MAD, k-window MAD)",28.177712959079205,0.011726591883179,0.011726591883179,"max(fit covariance + PSF MAD, k-window MAD)",28.16029214639604,0.0094436990551499,0.0495678044173644,0.0247839022086822,0.0247839022086822
NGC 1399,normalized_union_3p5,0.03,28.13041026991405,0.0165543207594184,0.0165543207594184,"max(fit covariance + PSF MAD, k-window MAD)",28.180096567448672,0.0120481924451067,0.0120481924451067,"max(fit covariance + PSF MAD, k-window MAD)",28.16289157385317,0.0097413759782802,0.0496862975346203,0.0248431487673101,0.0248431487673101
NGC 1399,normalized_union_3p5,0.04,28.13419061112163,0.0160470236043592,0.0160470236043592,"max(fit covariance + PSF MAD, k-window MAD)",28.18122474349759,0.0123978718690988,0.0123978718690988,"max(fit covariance + PSF MAD, k-window MAD)",28.163643915375307,0.0098108714872781,0.0470341323759591,0.0235170661879795,0.0235170661879795
NGC 1404,no_winsor,0.01,28.081553790179996,0.0224629915027334,0.0224629915027334,"max(fit covariance + PSF MAD, k-window MAD)",28.214100650417087,0.0160634673113398,0.0160634673113398,"max(fit covariance + PSF MAD, k-window MAD)",28.16925304186724,0.0130662966924582,0.1325468602370918,0.0662734301185459,0.0662734301185459
NGC 1404,no_winsor,0.03,28.085965477647616,0.0229121921824001,0.0229121921824001,"max(fit covariance + PSF MAD, k-window MAD)",28.217015205226264,0.0164188115993982,0.0164188115993982,"max(fit covariance + PSF MAD, k-window MAD)",28.172552021463986,0.013345930552758,0.1310497275786488,0.0655248637893244,0.0655248637893244
NGC 1404,no_winsor,0.04,28.091500511043797,0.0218792487579828,0.0218792487579828,"max(fit covariance + PSF MAD, k-window MAD)",28.219075325562,0.0167087142746886,0.0167087142746886,"max(fit covariance + PSF MAD, k-window MAD)",28.172080608367526,0.0132792777123,0.1275748145182049,0.0637874072591024,0.0637874072591024
NGC 1404,raw_global_3p5,0.01,28.18618476640762,0.0219528829830911,0.0219528829830911,"max(fit covariance + PSF MAD, k-window MAD)",28.217288072993316,0.0161054640499302,0.0161054640499302,"max(fit covariance + PSF MAD, k-window MAD)",28.206405032793707,0.0129856411881115,0.0311033065856953,0.0155516532928476,0.0155516532928476
NGC 1404,raw_global_3p5,0.03,28.190569938044774,0.0224165894055975,0.0224165894055975,"max(fit covariance + PSF MAD, k-window MAD)",28.22020051260773,0.0164669345314026,0.0164669345314026,"max(fit covariance + PSF MAD, k-window MAD)",28.20981534449773,0.0132710799702112,0.029630574562951,0.0148152872814755,0.0148152872814755
NGC 1404,raw_global_3p5,0.04,28.196127860134784,0.0213729081248003,0.0213729081248003,"max(fit covariance + PSF MAD, k-window MAD)",28.222268079479345,0.0167575423784831,0.0167575423784831,"max(fit covariance + PSF MAD, k-window MAD)",28.21231633310232,0.0131873840713263,0.0261402193445619,0.0130701096722809,0.0131873840713263
NGC 1404,normalized_full_3p5,0.01,28.104901330450605,0.0221492360383682,0.0221492360383682,"max(fit covariance + PSF MAD, k-window MAD)",28.21978230631063,0.0162091197837854,0.0162091197837854,"max(fit covariance + PSF MAD, k-window MAD)",28.179715470341385,0.0130805865077872,0.1148809758600251,0.0574404879300125,0.0574404879300125
NGC 1404,normalized_full_3p5,0.03,28.10936574853913,0.0225538520262841,0.0225538520262841,"max(fit covariance + PSF MAD, k-window MAD)",28.22271952512406,0.0165708671157494,0.0165708671157494,"max(fit covariance + PSF MAD, k-window MAD)",28.18298069864401,0.0133539654627009,0.1133537765849332,0.0566768882924666,0.0566768882924666
NGC 1404,normalized_full_3p5,0.04,28.114919046067374,0.0214979295186781,0.0214979295186781,"max(fit covariance + PSF MAD, k-window MAD)",28.224803429577463,0.0168612955175364,0.0168612955175364,"max(fit covariance + PSF MAD, k-window MAD)",28.182952140722463,0.0132673157559731,0.1098843835100851,0.0549421917550425,0.0549421917550425
NGC 1404,normalized_union_3p5,0.01,28.104783987378664,0.0221498721819808,0.0221498721819808,"max(fit covariance + PSF MAD, k-window MAD)",28.21970170300773,0.0162072765423633,0.0162072765423633,"max(fit covariance + PSF MAD, k-window MAD)",28.179629488911573,0.0130797487526034,0.1149177156290619,0.0574588578145309,0.0574588578145309
NGC 1404,normalized_union_3p5,0.03,28.109248321561335,0.0225544696602058,0.0225544696602058,"max(fit covariance + PSF MAD, k-window MAD)",28.222638579857342,0.0165689718324605,0.0165689718324605,"max(fit covariance + PSF MAD, k-window MAD)",28.182894283110578,0.013353101671567,0.1133902582960075,0.0566951291480037,0.0566951291480037
NGC 1404,normalized_union_3p5,0.04,28.11480163543256,0.0214985807527218,0.0214985807527218,"max(fit covariance + PSF MAD, k-window MAD)",28.224722179176485,0.0168593993184157,0.0168593993184157,"max(fit covariance + PSF MAD, k-window MAD)",28.182864518406824,0.0132665449700892,0.1099205437439252,0.0549602718719626,0.0549602718719626
NGC 1549,no_winsor,0.01,27.801112818779465,0.0206604977412449,0.0206604977412449,"max(fit covariance + PSF MAD, k-window MAD)",27.951919625254437,0.0109099931305386,0.0109099931305386,"max(fit covariance + PSF MAD, k-window MAD)",27.91903677617109,0.0096475053497843,0.150806806474975,0.0754034032374875,0.0754034032374875
NGC 1549,no_winsor,0.03,27.804023199115075,0.0215218543812313,0.0215218543812313,"max(fit covariance + PSF MAD, k-window MAD)",27.953249873745055,0.0111917960117611,0.0111917960117611,"max(fit covariance + PSF MAD, k-window MAD)",27.921485592067068,0.0099294679249836,0.149226674629979,0.0746133373149895,0.0746133373149895
NGC 1549,no_winsor,0.04,27.806822191553323,0.02186924477174,0.02186924477174,"max(fit covariance + PSF MAD, k-window MAD)",27.954727048816668,0.0113543781859163,0.0113543781859163,"max(fit covariance + PSF MAD, k-window MAD)",27.923322861297414,0.0100771180938343,0.1479048572633452,0.0739524286316726,0.0739524286316726
NGC 1549,raw_global_3p5,0.01,28.02202146474308,0.0213798284796673,0.0213798284796673,"max(fit covariance + PSF MAD, k-window MAD)",27.97868936781422,0.0115432229107861,0.0115432229107861,"max(fit covariance + PSF MAD, k-window MAD)",27.98846983066635,0.010157318430155,-0.0433320969288608,0.0216660484644304,0.0216660484644304
NGC 1549,raw_global_3p5,0.03,28.02508764638071,0.0222596014327706,0.0222596014327706,"max(fit covariance + PSF MAD, k-window MAD)",27.98010039407155,0.0118606958405913,0.0118606958405913,"max(fit covariance + PSF MAD, k-window MAD)",27.99004847656395,0.0104674847908664,-0.0449872523091627,0.0224936261545813,0.0224936261545813
NGC 1549,raw_global_3p5,0.04,28.028034964909875,0.0226046020853333,0.0226046020853333,"max(fit covariance + PSF MAD, k-window MAD)",27.981709488890573,0.0120257434902056,0.0120257434902056,"max(fit covariance + PSF MAD, k-window MAD)",27.991928614400297,0.0106168037041474,-0.0463254760193017,0.0231627380096508,0.0231627380096508
NGC 1549,normalized_full_3p5,0.01,27.827086211499076,0.0207752534963843,0.0207752534963843,"max(fit covariance + PSF MAD, k-window MAD)",27.963355524099523,0.0113769778158604,0.0113769778158604,"max(fit covariance + PSF MAD, k-window MAD)",27.93191767595073,0.0099786940000177,0.1362693126004472,0.0681346563002236,0.0681346563002236
