galaxy,ring,requested_kmin,production_P0,recreated_P0,relative_P0_difference,production_P1,recreated_P1,relative_P1_difference,production_mbar,recreated_mbar,delta_mbar,passed
NGC 1380,inner,0.01,0.9237526494336336,0.9237526392176076,-1.1059265614399294e-08,-0.0800945035982007,-0.0800945077755894,-5.2155748625968697e-08,28.08570836089927,28.08570837290697,1.2007699723426413e-08,True
NGC 1380,inner,0.03,0.9189056148085104,0.9189056046856544,-1.101620883403598e-08,-0.0792309235902933,-0.0792309277365304,-5.2331046482891434e-08,28.09142046218444,28.09142047414539,1.1960953116840756e-08,True
NGC 1380,inner,0.04,0.9167184816803396,0.9167184716142738,-1.0980542031191476e-08,-0.0788284683667092,-0.0788284724838993,-5.2229736663374863e-08,28.09400781280119,28.094007824723416,1.1922224985028151e-08,True
NGC 1380,outer,0.01,0.886018586781585,0.886018580830412,-6.716758593761085e-09,-0.0738532974305199,-0.0738532971456383,3.857397449571255e-09,28.13242830932599,28.13242831662844,7.3024466473725624e-09,True
NGC 1380,outer,0.03,0.8823894887128918,0.8823894827064572,-6.807010510812006e-09,-0.0731902853151672,-0.0731902850428157,3.721141841433066e-09,28.136890588028997,28.136890595429605,7.40060812631782e-09,True
NGC 1380,outer,0.04,0.8799907193033945,0.8799907132519643,-6.8766976557554935e-09,-0.07277807250486,-0.0727780722420905,3.610558478416207e-09,28.1398501745013,28.139850181977703,7.47640171994135e-09,True
NGC 1399,inner,0.01,0.8376915387084356,0.8376915242088571,-1.7308971034246667e-08,-0.0532271935764784,-0.0532271915981079,3.7168414976326894e-08,28.191817048329582,28.191817067122862,1.8793279821238684e-08,True
NGC 1399,inner,0.03,0.8359749880464492,0.8359749734972185,-1.7403906760193877e-08,-0.0529938804236527,-0.0529938784561506,3.71269676637444e-08,28.19404419688997,28.194044215786324,1.8896354703201723e-08,True
NGC 1399,inner,0.04,0.8330667022784544,0.8330666877432598,-1.7447816080817802e-08,-0.0525623062441231,-0.052562304289258,3.7191386382423136e-08,28.197828027549768,28.1978280464938,1.8944032120771226e-08,True
NGC 1399,outer,0.01,0.8531685646842726,0.8531685721226435,8.718524346917889e-09,-0.0514354808425934,-0.0514354791287657,3.3319950931503004e-08,28.175811505450508,28.175811495950523,-9.499984798821972e-09,True
