galaxy,environment,distance_trgb_mpc,sigma_distance_trgb_mpc,distance_sbf_mpc__Без винзорирования,"distance_sbf_mpc__До нормировки, 3.5 sigma","distance_sbf_mpc__После нормировки, вся область, 3.5 sigma","distance_sbf_mpc__После нормировки, два кольца, 3.5 sigma",sigma_distance_internal_mpc__Без винзорирования,"sigma_distance_internal_mpc__До нормировки, 3.5 sigma","sigma_distance_internal_mpc__После нормировки, вся область, 3.5 sigma","sigma_distance_internal_mpc__После нормировки, два кольца, 3.5 sigma",sigma_distance_absolute_mpc__Без винзорирования,"sigma_distance_absolute_mpc__До нормировки, 3.5 sigma","sigma_distance_absolute_mpc__После нормировки, вся область, 3.5 sigma","sigma_distance_absolute_mpc__После нормировки, два кольца, 3.5 sigma"
NGC 1380,Fornax,19.124936418442093,0.22018396750781852,18.08768746799007,17.971859086466495,18.07976613552272,18.092466541063043,0.6811895004235876,0.6911307874900071,0.6824248151041996,0.6859181547063201,0.7856766065893342,0.7930786018308363,0.7866625752147193,0.7898311924847717
NGC 1399,Fornax,19.934254564980947,0.2386816504866229,18.60098998556587,18.543552514694458,18.663280800926323,18.6709355611437,0.6906567011835787,0.7124429980641135,0.7026205794550272,0.7027825846857672,0.7994359206270931,0.8177203985460796,0.8104654385136931,0.8106884683869207
NGC 1404,Fornax,18.75858173799283,0.21596615337806316,18.92439826963815,18.875938799245485,18.935462184165896,18.942837025082497,0.7728706489914176,0.8009585422955968,0.7729832494724531,0.7763736960395193,0.8747031403342053,0.8991401357096382,0.8749147855056221,0.8779861962769803
NGC 1549,Other,17.627876532324,0.2110663657672378,16.80149241426051,16.99727949256829,16.828403677262802,16.790377854218697,0.6532438502773951,0.6996231525830425,0.6510262204404351,0.6442146228109353,0.7476453752396393,0.7904547479810766,0.7459927614807774,0.7396510324985894
NGC 3379,Other,10.365732567670046,0.1336606952143677,11.10222386197127,11.089904354142073,11.119313559784674,11.11953317969637,0.40166667266727624,0.42427389245592556,0.4004569204699893,0.39897481040405797,0.46805997464808596,0.4874672094848504,0.4672126679859103,0.4659454038730186
NGC 4374,Virgo,16.687835113653897,0.20749586598202713,17.062252077678913,16.894304212872335,17.04282970903826,17.051384554689434,0.6965547048592408,0.7175466382193549,0.6944965353868158,0.6943390676155589,0.7883979430016685,0.805347349247209,0.7863828446297144,0.7863306697186805
NGC 4406,Virgo,16.565326493180184,0.19071536921888013,16.278969521038103,16.07348034331147,16.248393581394076,16.25791223927176,0.665479109901615,0.6727229025951336,0.6663542170489306,0.66552978872662,0.753001183408259,0.7573572320357614,0.7534655628200155,0.7528328270811557
NGC 4472,Virgo,15.966142459934131,0.19852236875266352,15.262939501891292,15.342190985139359,15.229423960214449,15.222225146162286,0.6084920237078376,0.6394973934673217,0.606666067622331,0.607676332813088,0.6923852912156968,0.7205748077815431,0.6904345001169825,0.6912480810450685
NGC 4486,Virgo,16.18825362642106,0.18637415740901966,15.972227628996686,16.222726873462513,15.947666434566072,15.942357240723522,0.7324585986058194,0.768335202411704,0.7305682799591728,0.730094683712247,0.809944073233677,0.844766805006283,0.8080077562502374,0.8075304649922552
NGC 4552,Virgo,15.296779272301395,0.1972439611700404,16.351289388396488,16.27364526424468,16.3585360045321,16.361724267774473,0.5990795287339418,0.6326152582340245,0.5960372267129654,0.5997477060894678,0.6958089786268794,0.7240643658887693,0.6932714288184126,0.6964991608830963
NGC 4621,Virgo,14.59486223782621,0.1747507435602258,15.135119020871798,15.101396563104968,15.146297632456786,15.147457644990926,0.5988847993225326,0.6222351317721994,0.5987325975630996,0.600319901951445,0.6826255134632918,0.7028609157551964,0.6826081549114166,0.6840128779596983
NGC 4636,Virgo,16.368165214278086,0.19598328475471413,16.617712042469133,16.595811283387743,16.600279500286163,16.595706366009708,0.6846333484238606,0.7093669446807394,0.6849683459674731,0.6793675315359697,0.7733638339761504,0.7951285998216281,0.773485068233441,0.7684833371970489
NGC 4649,Virgo,15.914756566438562,0.1832254061425527,16.512968905989222,16.92352570335432,16.48967703111451,16.485034991602934,0.6621888608939316,0.6647800095070368,0.6601320204722673,0.6609031357686083,0.7524873258928277,0.7590168556282207,0.7504380443125708,0.7510687180471296
NGC 4697,Virgo,11.609138701261834,0.14969376640974424,11.475443607065152,11.364833655278241,11.487431827609468,11.495889811427118,0.47239762898889665,0.4811905497498761,0.4720100369374254,0.4721128570239327,0.5337144576030787,0.5404187342375419,0.5334923066232764,0.5336686089877865
