galaxy,environment,branch,branch_label,mu_sbf_mag,sigma_mu_internal_mag,sigma_mu_absolute_mag,distance_sbf_mpc,sigma_distance_internal_mpc,sigma_distance_absolute_mpc,mu_trgb_mag,sigma_mu_trgb_mag,distance_trgb_mpc,sigma_distance_trgb_mpc,delta_distance_sbf_minus_trgb_mpc,zero_point_loo_mag,intrinsic_scatter_loo_mag,calibration_sigma_loo_mag,target_sbf_sigma_mag
NGC 1380,Fornax,no_winsor,Без винзорирования,31.28691522675619,0.08177851416549015,0.09432245426787447,18.08768746799007,0.6811895004235876,0.7856766065893342,31.408,0.025,19.124936418442093,0.22018396750781852,-1.0372489504520246,-3.208521549255256,0.07745917617028616,0.021596556154361072,0.014879185744098107
NGC 1380,Fornax,normalized_full_3p5,"После нормировки, вся область, 3.5 sigma",31.285964042558206,0.08196271160037105,0.09448219987323325,18.07976613552272,0.6824248151041996,0.7866625752147193,31.408,0.025,19.124936418442093,0.22018396750781852,-1.045170282919372,-3.1987433448975384,0.07707883753111419,0.023501529244480648,0.014980554759705058
NGC 1380,Fornax,normalized_union_3p5,"После нормировки, два кольца, 3.5 sigma",31.2874888907256,0.08232444950226032,0.0947961760085828,18.092466541063043,0.6859181547063201,0.7898311924847717,31.408,0.025,19.124936418442093,0.22018396750781852,-1.0324698773790502,-3.1997349988876924,0.07754550328030663,0.02322638869874937,0.014984818146002686
NGC 1380,Fornax,raw_global_3p5,"До нормировки, 3.5 sigma",31.272965023617306,0.08350674402582725,0.09582471652864429,17.971859086466495,0.6911307874900071,0.7930786018308363,31.408,0.025,19.124936418442093,0.22018396750781852,-1.1530773319755987,-3.1621551036941873,0.0792003063158612,0.021831844423451013,0.01496857863456057
NGC 1399,Fornax,no_winsor,Без винзорирования,31.347680294698964,0.08062699739268915,0.09332584159042287,18.60098998556587,0.6906567011835787,0.7994359206270931,31.498,0.026,19.934254564980947,0.2386816504866229,-1.3332645794150757,-3.2068108497823427,0.07438329114164224,0.021987784172173775,0.0220085450381504
NGC 1399,Fornax,normalized_full_3p5,"После нормировки, вся область, 3.5 sigma",31.35493995174053,0.08174989268602716,0.09429764023652425,18.663280800926323,0.7026205794550272,0.8104654385136931,31.498,0.026,19.934254564980947,0.2386816504866229,-1.2709737640546237,-3.1976300319522446,0.07506901357005397,0.02370836712417501,0.022036367307279724
NGC 1399,Fornax,normalized_union_3p5,"После нормировки, два кольца, 3.5 sigma",31.355830400367346,0.08173521822385779,0.09428491872034282,18.6709355611437,0.7027825846857672,0.8106884683869207,31.498,0.026,19.934254564980947,0.2386816504866229,-1.2633190038372462,-3.198566465212439,0.07547188439490234,0.022339429904348687,0.022036116616428687
NGC 1399,Fornax,raw_global_3p5,"До нормировки, 3.5 sigma",31.340964692659785,0.08342793606690733,0.0957560468920056,18.543552514694458,0.7124429980641135,0.8177203985460796,31.498,0.026,19.934254564980947,0.2386816504866229,-1.3907020502864889,-3.1610102267476803,0.07698681666525667,0.02345318611551529,0.021981779663283334
NGC 1404,Fornax,no_winsor,Без винзорирования,31.385110396651736,0.08868272937916129,0.10036745732625468,18.92439826963815,0.7728706489914176,0.8747031403342053,31.366,0.025,18.75858173799283,0.21596615337806316,0.1658165316453193,-3.2189844364899183,0.08417549623346182,0.0241731372450458,0.013956065338059695
NGC 1404,Fornax,normalized_full_3p5,"После нормировки, вся область, 3.5 sigma",31.386379550078832,0.08864382516373172,0.10033308397362375,18.935462184165896,0.7729832494724531,0.8749147855056221,31.366,0.025,18.75858173799283,0.21596615337806316,0.1768804461730653,-3.2093820575620775,0.08392066821988911,0.024911743709685068,0.013944683952262806
NGC 1404,Fornax,normalized_union_3p5,"После нормировки, два кольца, 3.5 sigma",31.38722511411479,0.08899797101097831,0.10064610694940433,18.942837025082497,0.7763736960395193,0.8779861962769803,31.366,0.025,18.75858173799283,0.21596615337806316,0.1842552870896661,-3.2103152439136764,0.08416482340842563,0.02534733883657734,0.013943950609608556
NGC 1404,Fornax,raw_global_3p5,"До нормировки, 3.5 sigma",31.37954280288172,0.09214160918082508,0.1034363385973803,18.875938799245485,0.8009585422955968,0.8991401357096382,31.366,0.025,18.75858173799283,0.21596615337806316,0.11735706125265466,-3.1731811179851093,0.08731497488134914,0.025958267702156184,0.013868656813277716
NGC 1549,Other,no_winsor,Без винзорирования,31.126739301037333,0.08442708317741822,0.09662780331688542,16.80149241426051,0.6532438502773951,0.7476453752396393,31.231,0.026,17.627876532324,0.2110663657672378,-0.826384118063487,-3.209796419960321,0.07927861380439799,0.02619232597485569,0.012521814050955645
NGC 1549,Other,normalized_full_3p5,"После нормировки, вся область, 3.5 sigma",31.13021460630911,0.08400591658423989,0.0962600333531953,16.828403677262802,0.6510262204404351,0.7459927614807774,31.231,0.026,17.627876532324,0.2110663657672378,-0.7994728550611967,-3.2003629475369793,0.07936457330723742,0.024377909848757772,0.012805312816337065
NGC 1549,Other,normalized_union_3p5,"После нормировки, два кольца, 3.5 sigma",31.12530234851504,0.08331523515353098,0.09565787165041967,16.790377854218697,0.6442146228109353,0.7396510324985894,31.231,0.026,17.627876532324,0.2110663657672378,-0.8374986781053018,-3.200859329449201,0.07915490204132916,0.022688496345755135,0.012694960617678394
NGC 1549,Other,raw_global_3p5,"До нормировки, 3.5 sigma",31.151897078681547,0.0893797371254091,0.10098384726582382,16.99727949256829,0.6996231525830425,0.7904547479810766,31.231,0.026,17.627876532324,0.2110663657672378,-0.6305970397557097,-3.16634844450165,0.08465986852437454,0.02556325548714064,0.012960094094643972
NGC 3379,Other,no_winsor,Без винзорирования,30.227049900350604,0.07856156643596293,0.09154736326553713,11.10222386197127,0.40166667266727624,0.46805997464808596,30.078,0.028,10.365732567670046,0.1336606952143677,0.7364912943012243,-3.2282823277057644,0.07418808238266783,0.022724217195053516,0.012314954572662582
NGC 3379,Other,normalized_full_3p5,"После нормировки, вся область, 3.5 sigma",30.230389886590142,0.07820457165138782,0.09124119150458881,11.119313559784674,0.4004569204699893,0.4672126679859103,30.078,0.028,10.365732567670046,0.1336606952143677,0.7535809921146281,-3.2188050684329794,0.07343668151530616,0.02377596937000752,0.012558348446870166
NGC 3379,Other,normalized_union_3p5,"После нормировки, два кольца, 3.5 sigma",30.230432775376997,0.07791359393273102,0.09099191238519223,11.11953317969637,0.39897481040405797,0.4659454038730186,30.078,0.028,10.365732567670046,0.1336606952143677,0.7538006120263248,-3.219679678029701,0.07372906331657741,0.021844330623255026,0.01254506124323602
NGC 3379,Other,raw_global_3p5,"До нормировки, 3.5 sigma",30.2246390027713,0.08307547316239983,0.09544911859811286,11.089904354142073,0.42427389245592556,0.4874672094848504,30.078,0.028,10.365732567670046,0.1336606952143677,0.7241717864720272,-3.1827881073841167,0.077978739102936,0.025755664056853946,0.012549751314800423
NGC 4374,Virgo,no_winsor,Без винзорирования,31.160181769666796,0.08864886747859746,0.1003375388637669,17.062252077678913,0.6965547048592408,0.7883979430016685,31.112,0.027,16.687835113653897,0.20749586598202713,0.37441696402501634,-3.2210388889459476,0.08328926339768732,0.024768154652147847,0.017551604571545146
NGC 4374,Virgo,normalized_full_3p5,"После нормировки, вся область, 3.5 sigma",31.15770852286717,0.0884876567356258,0.10019513658138274,17.04282970903826,0.6944965353868158,0.7863828446297144,31.112,0.027,16.687835113653897,0.20749586598202713,0.35499459538436184,-3.2111649163203206,0.08315069403185005,0.02460600810932625,0.017623048587215775
NGC 4374,Virgo,normalized_union_3p5,"После нормировки, два кольца, 3.5 sigma",31.158798245102467,0.08842320829376729,0.10013822329641642,17.051384554689434,0.6943390676155589,0.7863306697186805,31.112,0.027,16.687835113653897,0.20749586598202713,0.36354944103553777,-3.2121140271573996,0.08336995295719421,0.023611365179613694,0.0176243622078391
NGC 4374,Virgo,raw_global_3p5,"До нормировки, 3.5 sigma",31.13870155092079,0.09222828639768903,0.10351355858946282,16.894304212872335,0.7175466382193549,0.805347349247209,31.112,0.027,16.687835113653897,0.20749586598202713,0.20646909921843815,-3.1741078712779105,0.08702812372381481,0.024927444961446377,0.017629094720393118
NGC 4406,Virgo,no_winsor,Без винзорирования,31.05813455021947,0.08876910325271276,0.1004437837414082,16.278969521038103,0.665479109901615,0.753001183408259,31.096,0.025,16.565326493180184,0.19071536921888013,-0.2863569721420802,-3.214808052280353,0.08363105724210255,0.02395804222750326,0.01765820402770666
NGC 4406,Virgo,normalized_full_3p5,"После нормировки, вся область, 3.5 sigma",31.05405215173677,0.08905309869792154,0.10069485780168595,16.248393581394076,0.6663542170489306,0.7534655628200155,31.096,0.025,16.565326493180184,0.19071536921888013,-0.3169329117861075,-3.2048105432632195,0.08324652164247759,0.026199615908101808,0.017721488323450826
