Галактика,Скопление,"TRGB Paper IV, Мпк",Без винзорирования,"До нормировки, 3.5 sigma","После нормировки, вся область, 3.5 sigma","После нормировки, два кольца, 3.5 sigma"
NGC 1380,Fornax,19.12 ± 0.22,18.09 ± 0.68,17.97 ± 0.69,18.08 ± 0.68,18.09 ± 0.69
NGC 1399,Fornax,19.93 ± 0.24,18.60 ± 0.69,18.54 ± 0.71,18.66 ± 0.70,18.67 ± 0.70
NGC 1404,Fornax,18.76 ± 0.22,18.92 ± 0.77,18.88 ± 0.80,18.94 ± 0.77,18.94 ± 0.78
NGC 1549,Other,17.63 ± 0.21,16.80 ± 0.65,17.00 ± 0.70,16.83 ± 0.65,16.79 ± 0.64
NGC 3379,Other,10.37 ± 0.13,11.10 ± 0.40,11.09 ± 0.42,11.12 ± 0.40,11.12 ± 0.40
NGC 4374,Virgo,16.69 ± 0.21,17.06 ± 0.70,16.89 ± 0.72,17.04 ± 0.69,17.05 ± 0.69
NGC 4406,Virgo,16.57 ± 0.19,16.28 ± 0.67,16.07 ± 0.67,16.25 ± 0.67,16.26 ± 0.67
NGC 4472,Virgo,15.97 ± 0.20,15.26 ± 0.61,15.34 ± 0.64,15.23 ± 0.61,15.22 ± 0.61
NGC 4486,Virgo,16.19 ± 0.19,15.97 ± 0.73,16.22 ± 0.77,15.95 ± 0.73,15.94 ± 0.73
NGC 4552,Virgo,15.30 ± 0.20,16.35 ± 0.60,16.27 ± 0.63,16.36 ± 0.60,16.36 ± 0.60
NGC 4621,Virgo,14.59 ± 0.17,15.14 ± 0.60,15.10 ± 0.62,15.15 ± 0.60,15.15 ± 0.60
NGC 4636,Virgo,16.37 ± 0.20,16.62 ± 0.68,16.60 ± 0.71,16.60 ± 0.68,16.60 ± 0.68
NGC 4649,Virgo,15.91 ± 0.18,16.51 ± 0.66,16.92 ± 0.66,16.49 ± 0.66,16.49 ± 0.66
NGC 4697,Virgo,11.61 ± 0.15,11.48 ± 0.47,11.36 ± 0.48,11.49 ± 0.47,11.50 ± 0.47
