galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 1380,no_winsor,0.01,28.02175575064247,0.020879915003604328,0.020879915003604328,"max(fit covariance + PSF MAD, k-window MAD)",28.12638014289653,0.018619865804833692,0.018619865804833692,"max(fit covariance + PSF MAD, k-window MAD)",28.080034681132855,0.013896833657293437,0.10462439225405973,0.052312196127029864,0.052312196127029864
NGC 1380,no_winsor,0.03,28.027396555464723,0.020427403531953218,0.020427403531953218,"max(fit covariance + PSF MAD, k-window MAD)",28.13084093946811,0.01864914641708197,0.01864914641708197,"max(fit covariance + PSF MAD, k-window MAD)",28.083816464075447,0.013772782493587654,0.10344438400338873,0.05172219200169437,0.05172219200169437
NGC 1380,no_winsor,0.04,28.02983784203205,0.02088886034928816,0.02088886034928816,"max(fit covariance + PSF MAD, k-window MAD)",28.133784728921366,0.018778555031244835,0.018778555031244835,"max(fit covariance + PSF MAD, k-window MAD)",28.087325649809497,0.013965108089693564,0.10394688688931453,0.051973443444657264,0.051973443444657264
NGC 1380,raw_global_3p5,0.01,28.08570837290697,0.02124531508428066,0.02124531508428066,"max(fit covariance + PSF MAD, k-window MAD)",28.132428316628438,0.018614030043907343,0.018614030043907343,"max(fit covariance + PSF MAD, k-window MAD)",28.112139144939533,0.014000520425499239,0.046719943721466706,0.023359971860733353,0.023359971860733353
NGC 1380,raw_global_3p5,0.03,28.091420474145394,0.020787338127328945,0.020787338127328945,"max(fit covariance + PSF MAD, k-window MAD)",28.136890595429605,0.018644088858480644,0.018644088858480644,"max(fit covariance + PSF MAD, k-window MAD)",28.116619730179302,0.01387944075418119,0.04547012128421102,0.02273506064210551,0.02273506064210551
NGC 1380,raw_global_3p5,0.04,28.094007824723416,0.021229556149392058,0.021229556149392058,"max(fit covariance + PSF MAD, k-window MAD)",28.139850181977703,0.018766110258787383,0.018766110258787383,"max(fit covariance + PSF MAD, k-window MAD)",28.119741892231684,0.014060313719418726,0.04584235725428698,0.02292117862714349,0.02292117862714349
NGC 1380,normalized_full_3p5,0.01,28.032983040489086,0.021076397273865562,0.021076397273865562,"max(fit covariance + PSF MAD, k-window MAD)",28.132834155385165,0.018740812689809566,0.018740812689809566,"max(fit covariance + PSF MAD, k-window MAD)",28.088745547916073,0.014004999829290444,0.09985111489607945,0.049925557448039726,0.049925557448039726
NGC 1380,normalized_full_3p5,0.03,28.038643261585722,0.020629914464224915,0.020629914464224915,"max(fit covariance + PSF MAD, k-window MAD)",28.1373236424452,0.018766250636484315,0.018766250636484315,"max(fit covariance + PSF MAD, k-window MAD)",28.092641174966253,0.013881953738373438,0.09868038085947717,0.049340190429738584,0.049340190429738584
NGC 1380,normalized_full_3p5,0.04,28.041120900774875,0.021094561587912515,0.021094561587912515,"max(fit covariance + PSF MAD, k-window MAD)",28.140291200297604,0.018891772216314957,0.018891772216314957,"max(fit covariance + PSF MAD, k-window MAD)",28.09615266996923,0.0140730627959223,0.09917029952272927,0.04958514976136463,0.04958514976136463
NGC 1380,normalized_union_3p5,0.01,28.03362705443821,0.021081984899978888,0.021081984899978888,"max(fit covariance + PSF MAD, k-window MAD)",28.133282126149,0.018748360992876013,0.018748360992876013,"max(fit covariance + PSF MAD, k-window MAD)",28.08927331688839,0.014009789306638962,0.09965507171078869,0.049827535855394345,0.049827535855394345
NGC 1380,normalized_union_3p5,0.03,28.039287945280144,0.0206356031472089,0.0206356031472089,"max(fit covariance + PSF MAD, k-window MAD)",28.137773338220658,0.01877364378174818,0.01877364378174818,"max(fit covariance + PSF MAD, k-window MAD)",28.09317339399453,0.013886679554976545,0.09848539294051406,0.04924269647025703,0.04924269647025703
NGC 1380,normalized_union_3p5,0.04,28.041767433472945,0.021100120632484693,0.021100120632484693,"max(fit covariance + PSF MAD, k-window MAD)",28.140742847223123,0.0188987576625794,0.0188987576625794,"max(fit covariance + PSF MAD, k-window MAD)",28.096685864146473,0.014077601017866079,0.09897541375017838,0.04948770687508919,0.04948770687508919
