galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 1380,inner,no_winsor,0.01,0.01,0.25,5,0.9797972424978275,0.01868145150179067,0.002456087606396109,0.018842213154087007,-0.08491565508612346,1.0,1.9643037739237436e-05,0.9797775994600882,28.02175575064247,0.020879915003604328,31.494338287705403,791.8584571926351,17.972368869578702,0.003619451464722146,k-window MAD,0.020879915003604328,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,inner,no_winsor,0.03,0.03,0.25,5,0.9747201323391164,0.01819413906451033,0.0022952202624746663,0.018338340501583426,-0.08401113329552135,1.0,1.9643037739237436e-05,0.9747004893013771,28.027396555464723,0.020427403531953218,29.282554789166305,678.0442146962795,18.147565421699944,0.003619451464722146,k-window MAD,0.020427403531953218,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,inner,no_winsor,0.04,0.04,0.25,5,0.9725309725628257,0.018574661999887748,0.002250391625223163,0.018710487189727277,-0.08360714060524438,1.0,1.9643037739237436e-05,0.9725113295250865,28.02983784203205,0.02088886034928816,29.817903524196854,660.5653061037593,18.35573200404154,0.003619451464722146,k-window MAD,0.02088886034928816,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,inner,raw_global_3p5,0.01,0.01,0.25,5,0.9237526392176076,0.01792669293880459,0.0023129739653384206,0.018075291651492645,-0.08009450777558949,1.0,1.9643037739237436e-05,0.9237329961798684,28.08570837290697,0.02124531508428066,32.60387865531783,819.5969663829458,17.99169069138569,0.003836005966975181,k-window MAD,0.02124531508428066,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,inner,raw_global_3p5,0.03,0.03,0.25,5,0.9189056046856543,0.017459447223875615,0.0021624155940396564,0.01759284907468497,-0.07923092773653044,1.0,1.9643037739237436e-05,0.918885961647915,28.091420474145394,0.020787338127328945,30.317386522904304,701.8453445722535,18.166527682140384,0.003836005966975181,k-window MAD,0.020787338127328945,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,inner,raw_global_3p5,0.04,0.04,0.25,5,0.9167184716142738,0.01779844128406341,0.0021207537685507586,0.017924344023954545,-0.07882847248389935,1.0,1.9643037739237436e-05,0.9166988285765345,28.094007824723416,0.021229556149392058,30.789731872419296,681.9455297646531,18.372391003737704,0.003836005966975181,k-window MAD,0.021229556149392058,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,inner,normalized_full_3p5,0.01,0.01,0.25,5,0.9697178444193231,0.018666311053899598,0.0024303240456503153,0.01882385835390291,-0.08417454101721744,1.0,1.9643037739237436e-05,0.9696982013815838,28.032983040489086,0.021076397273865562,32.12825303492838,807.7063258732094,17.99738992744994,0.0036733478618369247,k-window MAD,0.021076397273865562,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,inner,normalized_full_3p5,0.03,0.03,0.25,5,0.9646757135532629,0.018187962755845125,0.0022717461906029512,0.018329288583099138,-0.08327631907174901,1.0,1.9643037739237436e-05,0.9646560705155236,28.038643261585722,0.020629914464224915,29.902056712070113,692.2927589230671,18.172261990895187,0.0036733478618369247,k-window MAD,0.020629914464224915,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,inner,normalized_full_3p5,0.04,0.04,0.25,5,0.9624768878260743,0.018566267167963175,0.0022273787842554764,0.018699398193544593,-0.08287081769598889,1.0,1.9643037739237436e-05,0.962457244788335,28.041120900774875,0.021094561587912515,30.441311668890958,674.2802852870296,18.38089077895608,0.0036733478618369247,k-window MAD,0.021094561587912515,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,inner,normalized_union_3p5,0.01,0.01,0.25,5,0.9691428299835598,0.018660262366240545,0.0024289555694965766,0.018817683617691143,-0.0841298798433598,1.0,1.9643037739237436e-05,0.9691231869458206,28.03362705443821,0.021081984899978888,32.14682625697844,808.1706564244611,17.998390634537625,0.00367608919464672,k-window MAD,0.021081984899978888,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,inner,normalized_union_3p5,0.03,0.03,0.25,5,0.9641030943118195,0.018182244784742396,0.0022704948533491622,0.018323459615787,-0.08323208824854293,1.0,1.9643037739237436e-05,0.9640834512740802,28.039287945280144,0.0206356031472089,29.919980920405642,692.7050157147843,18.173254995233854,0.00367608919464672,k-window MAD,0.0206356031472089,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1380,inner,normalized_union_3p5,0.04,0.04,0.25,5,0.9619039357203903,0.018560161900748724,0.002226160897188563,0.0186931913305935,-0.08282654106367227,1.0,1.9643037739237436e-05,0.9618842926826511,28.041767433472945,0.021100120632484693,30.45872236310829,674.6633205598109,18.381882592323787,0.00367608919464672,k-window MAD,0.021100120632484693,"max(fit covariance + PSF MAD, k-window MAD)"
