galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 1399,no_winsor,0.01,28.091289714774664,0.015811346762415933,0.015811346762415933,"max(fit covariance + PSF MAD, k-window MAD)",28.17317224091879,0.011601591819545952,0.011601591819545952,"max(fit covariance + PSF MAD, k-window MAD)",28.144515812413825,0.009353718128579797,0.08188252614412761,0.040941263072063805,0.040941263072063805
NGC 1399,no_winsor,0.03,28.09326660538687,0.016464561171102895,0.016464561171102895,"max(fit covariance + PSF MAD, k-window MAD)",28.175541590716914,0.011919564239395495,0.011919564239395495,"max(fit covariance + PSF MAD, k-window MAD)",28.14724900574121,0.00965500643763276,0.08227498533004507,0.041137492665022535,0.041137492665022535
NGC 1399,no_winsor,0.04,28.096839978678787,0.016061896080667007,0.016061896080667007,"max(fit covariance + PSF MAD, k-window MAD)",28.17665096570578,0.012266647657828067,0.012266647657828067,"max(fit covariance + PSF MAD, k-window MAD)",28.147249425137026,0.009748785488630734,0.07981098702699185,0.03990549351349593,0.03990549351349593
NGC 1399,raw_global_3p5,0.01,28.191817067122862,0.015648764939093715,0.015648764939093715,"max(fit covariance + PSF MAD, k-window MAD)",28.175811495950523,0.011635307868891507,0.011635307868891507,"max(fit covariance + PSF MAD, k-window MAD)",28.18150974539094,0.00933716872826131,-0.016005571172339472,0.008002785586169736,0.00933716872826131
NGC 1399,raw_global_3p5,0.03,28.194044215786324,0.01625563476631918,0.01625563476631918,"max(fit covariance + PSF MAD, k-window MAD)",28.178175605619828,0.011956181297663085,0.011956181297663085,"max(fit covariance + PSF MAD, k-window MAD)",28.18374644251692,0.009631517298792672,-0.01586861016649621,0.007934305083248105,0.009631517298792672
NGC 1399,raw_global_3p5,0.04,28.1978280464938,0.01571612109884694,0.01571612109884694,"max(fit covariance + PSF MAD, k-window MAD)",28.179289649061783,0.012304148502597593,0.012304148502597593,"max(fit covariance + PSF MAD, k-window MAD)",28.186334446132502,0.009688209379043185,-0.01853839743201746,0.00926919871600873,0.009688209379043185
NGC 1399,normalized_full_3p5,0.01,28.128203722232897,0.01592976373812738,0.01592976373812738,"max(fit covariance + PSF MAD, k-window MAD)",28.177754147692177,0.011727694708495315,0.011727694708495315,"max(fit covariance + PSF MAD, k-window MAD)",28.160337399774768,0.009444286944939853,0.049550425459280234,0.024775212729640117,0.024775212729640117
NGC 1399,normalized_full_3p5,0.03,28.130468986788497,0.016554369664054085,0.016554369664054085,"max(fit covariance + PSF MAD, k-window MAD)",28.18013791276268,0.012049310572893924,0.012049310572893924,"max(fit covariance + PSF MAD, k-window MAD)",28.162936914043293,0.009741976915463533,0.04966892597418493,0.024834462987092465,0.024834462987092465
NGC 1399,normalized_full_3p5,0.04,28.13424942298891,0.01604702350120226,0.01604702350120226,"max(fit covariance + PSF MAD, k-window MAD)",28.181266293111022,0.012399008263627243,0.012399008263627243,"max(fit covariance + PSF MAD, k-window MAD)",28.163689899832338,0.009811434567093035,0.047016870122114085,0.023508435061057043,0.023508435061057043
NGC 1399,normalized_union_3p5,0.01,28.128145156466292,0.0159297065576602,0.0159297065576602,"max(fit covariance + PSF MAD, k-window MAD)",28.177712960367636,0.011726591921204867,0.011726591921204867,"max(fit covariance + PSF MAD, k-window MAD)",28.160292147851933,0.009443699083732592,0.04956780390134341,0.024783901950671705,0.024783901950671705
NGC 1399,normalized_union_3p5,0.03,28.130410271715867,0.016554320803106856,0.016554320803106856,"max(fit covariance + PSF MAD, k-window MAD)",28.180096568748784,0.012048192479747605,0.012048192479747605,"max(fit covariance + PSF MAD, k-window MAD)",28.162891575321698,0.009741376005492148,0.049686297032916826,0.024843148516458413,0.024843148516458413
NGC 1399,normalized_union_3p5,0.04,28.134190612926496,0.016047023650190926,0.016047023650190926,"max(fit covariance + PSF MAD, k-window MAD)",28.18122474479711,0.012397871905244334,0.012397871905244334,"max(fit covariance + PSF MAD, k-window MAD)",28.163643916862416,0.009810871515663597,0.047034131870614004,0.023517065935307002,0.023517065935307002
