galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 1399,inner,no_winsor,0.01,0.01,0.25,5,0.9189554159964219,0.013062100662501196,0.0029101523165581027,0.013382356303091121,-0.05915175718150326,1.0,1.353447518706626e-05,0.9189418815212349,28.091289714774664,0.015811346762415933,17.12463883643235,432.61597091080876,20.987086269148534,0.0029309380216555707,k-window MAD,0.015811346762415933,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,no_winsor,0.03,0.03,0.25,5,0.9172837440809974,0.013541750036373059,0.0031789213538605254,0.013909871854968333,-0.05892688424875174,1.0,1.353447518706626e-05,0.9172702096058104,28.09326660538687,0.016464561171102895,17.866057522694415,415.4647775674261,21.298794100967037,0.0029309380216555707,k-window MAD,0.016464561171102895,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,no_winsor,0.04,0.04,0.25,5,0.9142697882916184,0.013189616347811878,0.002993711022368906,0.013525098339306795,-0.058479127011408345,1.0,1.353447518706626e-05,0.9142562538164314,28.096839978678787,0.016061896080667007,16.623502893960822,370.2884922385667,21.503810127727967,0.0029309380216555707,k-window MAD,0.016061896080667007,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,raw_global_3p5,0.01,0.01,0.25,5,0.8376915242088571,0.011790283095612662,0.0025996926508748595,0.012073490686363346,-0.05322719159810798,1.0,1.353447518706626e-05,0.83767798973367,28.191817067122862,0.015648764939093715,16.64284805908716,420.571201477179,20.82895768656342,0.0033019706084480493,k-window MAD,0.015648764939093715,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,raw_global_3p5,0.03,0.03,0.25,5,0.8359749734972185,0.01219013967160315,0.002837423064071799,0.012516008743114539,-0.05299387845615062,1.0,1.353447518706626e-05,0.8359614390220315,28.194044215786324,0.01625563476631918,17.275052227063117,401.87165576790625,21.13491793952575,0.0033019706084480493,k-window MAD,0.01625563476631918,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,raw_global_3p5,0.04,0.04,0.25,5,0.8330666877432598,0.01175919646343888,0.002670025562056802,0.012058513091081762,-0.05256230428925806,1.0,1.353447518706626e-05,0.8330531532680727,28.1978280464938,0.01571612109884694,15.767820220107506,351.4634734137937,21.337457872884254,0.0033019706084480493,k-window MAD,0.01571612109884694,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,normalized_full_3p5,0.01,0.01,0.25,5,0.8882374088834987,0.012736123733753671,0.0027606791655622564,0.013031891544079589,-0.05659265837135278,1.0,1.353447518706626e-05,0.8882238744083116,28.128203722232897,0.01592976373812738,17.289278597752453,436.7319649438113,20.86427965529534,0.003358481230132641,k-window MAD,0.01592976373812738,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,normalized_full_3p5,0.03,0.03,0.25,5,0.8863861631191009,0.013174654276900014,0.0030123302725208255,0.01351464572183027,-0.05634076898647441,1.0,1.353447518706626e-05,0.8863726286439139,28.130468986788497,0.016554369664054085,17.963546196502087,417.70701706500256,21.17104801188087,0.003358481230132641,k-window MAD,0.016554369664054085,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,normalized_full_3p5,0.04,0.04,0.25,5,0.8833052598581778,0.012743313043379325,0.0028353130022219734,0.013054923482814085,-0.05588353164023331,1.0,1.353447518706626e-05,0.8832917253829907,28.13424942298891,0.01604702350120226,16.485698881597365,367.2568039665706,21.373585832365123,0.003358481230132641,k-window MAD,0.01604702350120226,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,normalized_union_3p5,0.01,0.01,0.25,5,0.8882853219169894,0.01273676542445832,0.002760816368000865,0.013032547736168028,-0.056595890231879754,1.0,1.353447518706626e-05,0.8882717874418024,28.128145156466292,0.0159297065576602,17.28920523576372,436.730130894093,20.86431031714801,0.0033582598690195006,k-window MAD,0.0159297065576602,"max(fit covariance + PSF MAD, k-window MAD)"
