galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 1399,no_winsor,0.01,28.091289714774664,0.015811346762415933,0.015811346762415933,"max(fit covariance + PSF MAD, k-window MAD)",28.17317224091879,0.011601591819545952,0.011601591819545952,"max(fit covariance + PSF MAD, k-window MAD)",28.144515812413825,0.009353718128579797,0.08188252614412761,0.040941263072063805,0.040941263072063805
NGC 1399,no_winsor,0.03,28.09326660538687,0.016464561171102895,0.016464561171102895,"max(fit covariance + PSF MAD, k-window MAD)",28.175541590716914,0.011919564239395495,0.011919564239395495,"max(fit covariance + PSF MAD, k-window MAD)",28.14724900574121,0.00965500643763276,0.08227498533004507,0.041137492665022535,0.041137492665022535
NGC 1399,no_winsor,0.04,28.096839978678787,0.016061896080667007,0.016061896080667007,"max(fit covariance + PSF MAD, k-window MAD)",28.17665096570578,0.012266647657828067,0.012266647657828067,"max(fit covariance + PSF MAD, k-window MAD)",28.147249425137026,0.009748785488630734,0.07981098702699185,0.03990549351349593,0.03990549351349593
NGC 1399,raw_global_3p5,0.01,28.191817067122862,0.015648764939093715,0.015648764939093715,"max(fit covariance + PSF MAD, k-window MAD)",28.175811495950523,0.011635307868891507,0.011635307868891507,"max(fit covariance + PSF MAD, k-window MAD)",28.18150974539094,0.00933716872826131,-0.016005571172339472,0.008002785586169736,0.00933716872826131
NGC 1399,raw_global_3p5,0.03,28.194044215786324,0.01625563476631918,0.01625563476631918,"max(fit covariance + PSF MAD, k-window MAD)",28.178175605619828,0.011956181297663085,0.011956181297663085,"max(fit covariance + PSF MAD, k-window MAD)",28.18374644251692,0.009631517298792672,-0.01586861016649621,0.007934305083248105,0.009631517298792672
NGC 1399,raw_global_3p5,0.04,28.1978280464938,0.01571612109884694,0.01571612109884694,"max(fit covariance + PSF MAD, k-window MAD)",28.179289649061783,0.012304148502597593,0.012304148502597593,"max(fit covariance + PSF MAD, k-window MAD)",28.186334446132502,0.009688209379043185,-0.01853839743201746,0.00926919871600873,0.009688209379043185
NGC 1399,normalized_full_3p5,0.01,28.128203722472808,0.015929763747733527,0.015929763747733527,"max(fit covariance + PSF MAD, k-window MAD)",28.177754147717117,0.011727694677464895,0.011727694677464895,"max(fit covariance + PSF MAD, k-window MAD)",28.16033739994866,0.009444286930736387,0.04955042524430908,0.02477521262215454,0.02477521262215454
NGC 1399,normalized_full_3p5,0.03,28.13046898704947,0.016554369668527823,0.016554369668527823,"max(fit covariance + PSF MAD, k-window MAD)",28.180137912790734,0.012049310539704464,0.012049310539704464,"max(fit covariance + PSF MAD, k-window MAD)",28.16293691422003,0.009741976898834258,0.04966892574126547,0.024834462870632734,0.024834462870632734
NGC 1399,normalized_full_3p5,0.04,28.134249423265214,0.016047023497055092,0.016047023497055092,"max(fit covariance + PSF MAD, k-window MAD)",28.181266293138407,0.012399008228930189,0.012399008228930189,"max(fit covariance + PSF MAD, k-window MAD)",28.163689900008688,0.009811434548953012,0.0470168698731932,0.0235084349365966,0.0235084349365966
NGC 1399,normalized_union_3p5,0.01,28.12814515466184,0.01592970651579806,0.01592970651579806,"max(fit covariance + PSF MAD, k-window MAD)",28.177712959079205,0.01172659188317901,0.01172659188317901,"max(fit covariance + PSF MAD, k-window MAD)",28.16029214639604,0.00944369905514993,0.049567804417364414,0.024783902208682207,0.024783902208682207
NGC 1399,normalized_union_3p5,0.03,28.13041026991405,0.016554320759418463,0.016554320759418463,"max(fit covariance + PSF MAD, k-window MAD)",28.180096567448672,0.012048192445106702,0.012048192445106702,"max(fit covariance + PSF MAD, k-window MAD)",28.16289157385317,0.009741375978280203,0.049686297534620394,0.024843148767310197,0.024843148767310197
NGC 1399,normalized_union_3p5,0.04,28.13419061112163,0.01604702360435924,0.01604702360435924,"max(fit covariance + PSF MAD, k-window MAD)",28.18122474349759,0.01239787186909884,0.01239787186909884,"max(fit covariance + PSF MAD, k-window MAD)",28.163643915375307,0.009810871487278132,0.0470341323759591,0.02351706618797955,0.02351706618797955
