galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 1399,inner,no_winsor,0.01,0.01,0.25,5,0.9189554159964219,0.013062100662501196,0.0029101523165581027,0.013382356303091121,-0.05915175718150326,1.0,1.353447518706626e-05,0.9189418815212349,28.091289714774664,0.015811346762415933,17.12463883643235,432.61597091080876,20.987086269148534,0.0029309380216555707,k-window MAD,0.015811346762415933,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,no_winsor,0.03,0.03,0.25,5,0.9172837440809974,0.013541750036373059,0.0031789213538605254,0.013909871854968333,-0.05892688424875174,1.0,1.353447518706626e-05,0.9172702096058104,28.09326660538687,0.016464561171102895,17.866057522694415,415.4647775674261,21.298794100967037,0.0029309380216555707,k-window MAD,0.016464561171102895,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,no_winsor,0.04,0.04,0.25,5,0.9142697882916184,0.013189616347811878,0.002993711022368906,0.013525098339306795,-0.058479127011408345,1.0,1.353447518706626e-05,0.9142562538164314,28.096839978678787,0.016061896080667007,16.623502893960822,370.2884922385667,21.503810127727967,0.0029309380216555707,k-window MAD,0.016061896080667007,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,raw_global_3p5,0.01,0.01,0.25,5,0.8376915242088571,0.011790283095612662,0.0025996926508748595,0.012073490686363346,-0.05322719159810798,1.0,1.353447518706626e-05,0.83767798973367,28.191817067122862,0.015648764939093715,16.64284805908716,420.571201477179,20.82895768656342,0.0033019706084480493,k-window MAD,0.015648764939093715,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,raw_global_3p5,0.03,0.03,0.25,5,0.8359749734972185,0.01219013967160315,0.002837423064071799,0.012516008743114539,-0.05299387845615062,1.0,1.353447518706626e-05,0.8359614390220315,28.194044215786324,0.01625563476631918,17.275052227063117,401.87165576790625,21.13491793952575,0.0033019706084480493,k-window MAD,0.01625563476631918,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,raw_global_3p5,0.04,0.04,0.25,5,0.8330666877432598,0.01175919646343888,0.002670025562056802,0.012058513091081762,-0.05256230428925806,1.0,1.353447518706626e-05,0.8330531532680727,28.1978280464938,0.01571612109884694,15.767820220107506,351.4634734137937,21.337457872884254,0.0033019706084480493,k-window MAD,0.01571612109884694,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,normalized_full_3p5,0.01,0.01,0.25,5,0.8882374086872319,0.01273612373878433,0.002760679165857552,0.013031891549058629,-0.05659265834828379,1.0,1.353447518706626e-05,0.8882238742120449,28.128203722472808,0.015929763747733527,17.289278616680026,436.73196541700065,20.86427965440544,0.003358481261356919,k-window MAD,0.015929763747733527,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,normalized_full_3p5,0.03,0.03,0.25,5,0.8863861629060488,0.013174654277445689,0.0030123302719460366,0.0135146457222341,-0.056340768960901476,1.0,1.353447518706626e-05,0.8863726284308617,28.13046898704947,0.016554369668527823,17.9635462047349,417.70701725435725,21.17104801023569,0.003358481261356919,k-window MAD,0.016554369668527823,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,normalized_full_3p5,0.04,0.04,0.25,5,0.8833052596333916,0.012743313036581203,0.0028353130019441257,0.013054923476117884,-0.05588353161299478,1.0,1.353447518706626e-05,0.8832917251582045,28.134249423265214,0.016047023497055092,16.485698870398366,367.2568037201926,21.373585830574882,0.003358481261356919,k-window MAD,0.016047023497055092,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1399,inner,normalized_union_3p5,0.01,0.01,0.25,5,0.8882853233932635,0.01273676541142022,0.0027608163687239604,0.013032547723579016,-0.056595890316317024,1.0,1.353447518706626e-05,0.8882717889180765,28.12814515466184,0.01592970651579806,17.289205140987736,436.73012852469344,20.864310314623115,0.0033582598729278022,k-window MAD,0.01592970651579806,"max(fit covariance + PSF MAD, k-window MAD)"
