galaxy,ring,branch,k,Pk,Pk_error,Pk_count,E_median,E_mad
NGC 1399,inner,no_winsor,0.004475359374598403,1.4018197360163969,0.11536998204342735,437,0.91697522759886,0.002116347429649555
NGC 1399,inner,no_winsor,0.013426078123795208,0.7739683648944377,0.0193898166897619,1296,0.8210992505625017,0.003283224628619732
NGC 1399,inner,no_winsor,0.022376796872992013,0.6165655553726865,0.013892214623277346,2144,0.7267207185735707,0.0029868413287115377
NGC 1399,inner,no_winsor,0.031327515622188815,0.6124186179215173,0.011556264194878325,3000,0.6496458998038862,0.006174310121996119
NGC 1399,inner,no_winsor,0.04027823437138563,0.5358861092610063,0.00872544651133075,3888,0.5907476580846062,0.003303317994456367
NGC 1399,inner,no_winsor,0.049228953120582425,0.46865403211960244,0.006678644601629186,4760,0.5369589113791927,0.0024776456857802808
NGC 1399,inner,no_winsor,0.05817967186977923,0.4122764832779446,0.005739550867500655,5556,0.4961255363877327,0.0033220036904745365
NGC 1399,inner,no_winsor,0.06713039061897604,0.36847974471609485,0.004450262919070634,6500,0.46066681791691017,0.0005522140077737716
NGC 1399,inner,no_winsor,0.07608110936817285,0.3482285446380685,0.004056916868994464,7304,0.4243878105848291,0.0017474470194469118
NGC 1399,inner,no_winsor,0.08503182811736965,0.30432681413003776,0.003263967508231047,8184,0.3933536859968648,0.0007259634040322828
NGC 1399,inner,no_winsor,0.09398254686656646,0.27981010041616805,0.0029100434899078185,9016,0.3652860666941014,0.0029936172917955145
NGC 1399,inner,no_winsor,0.10293326561576326,0.26053888661278435,0.0026288994622127855,9952,0.33883111701896257,0.0019158179073777391
NGC 1399,inner,no_winsor,0.11188398436496007,0.23195885336200625,0.0022341280587772406,10752,0.3154751569959919,0.00035728812631424995
NGC 1399,inner,no_winsor,0.12083470311415687,0.22198598320956947,0.0021226565543462084,11588,0.29443361213259023,0.002559614414234196
NGC 1399,inner,no_winsor,0.12978542186335368,0.19901948554652255,0.0018017726440422552,12524,0.27562907691386146,0.0018255071173712784
NGC 1399,inner,no_winsor,0.13873614061255046,0.1761198443550226,0.0014961079722495417,13344,0.259018415627117,0.00047995922717744435
NGC 1399,inner,no_winsor,0.1476868593617473,0.1599201224761715,0.0013314234244047444,14208,0.2438147592354456,0.0008922603466745584
NGC 1399,inner,no_winsor,0.1566375781109441,0.14959067473240445,0.0012312856304321819,15040,0.22851966965968162,0.0008773226363238645
NGC 1399,inner,no_winsor,0.1655882968601409,0.13110513095852586,0.001055037988285227,16000,0.2137002496021938,0.001974245199033664
NGC 1399,inner,no_winsor,0.1745390156093377,0.1235679468836958,0.0009650555247237189,16776,0.20000482958857493,0.0011576939657574645
NGC 1399,inner,no_winsor,0.1834897343585345,0.10804086638951414,0.0008072616318521626,17612,0.18689876972782785,0.001992408493410387
NGC 1399,inner,no_winsor,0.1924404531077313,0.09634713243321735,0.0007132475548226148,18532,0.174823539294928,0.0012526463762332271
NGC 1399,inner,no_winsor,0.20139117185692812,0.08989892941975096,0.0006413134779168148,19408,0.1628202859230545,0.0014731406820822572
NGC 1399,inner,no_winsor,0.2103418906061249,0.07834181478584513,0.0005523744727807767,20204,0.15149982286793895,0.0009124291812645234
NGC 1399,inner,no_winsor,0.21929260935532174,0.06895026383176761,0.0004721152759762329,21104,0.1408608311850598,0.0010281378118652527
NGC 1399,inner,no_winsor,0.22824332810451853,0.060954121775759804,0.0004152296124366563,21988,0.1309542834002764,0.001274328178542947
NGC 1399,inner,no_winsor,0.23719404685371534,0.0547000660625045,0.00035994670895487385,22816,0.12226848881981754,0.000849200768357602
NGC 1399,inner,no_winsor,0.24614476560291212,0.04848455446846196,0.00031356996181628783,23620,0.1142949120635137,0.0015787011641753028
NGC 1399,inner,no_winsor,0.25509548435210894,0.043327550089571544,0.00027781997938280067,24612,0.10829701935473895,0.0008591824937820438
NGC 1399,inner,no_winsor,0.2640462031013058,0.03924854728177274,0.00024811002739099904,25400,0.10278102971008087,0.0005260537398427467
NGC 1399,inner,no_winsor,0.27299692185050256,0.0350707765181276,0.00021789393843921757,26260,0.09821376242437058,0.0007934003291194638
NGC 1399,inner,no_winsor,0.28194764059969935,0.03199720173872112,0.00019519535457268133,27104,0.0938850996847903,0.0006384455922012654
NGC 1399,inner,no_winsor,0.2908983593488962,0.02836123279656274,0.00017038257445232933,27972,0.08993069803088434,0.0007058314809056917
NGC 1399,inner,no_winsor,0.29984907809809297,0.025687398237963146,0.00015197974099899787,28848,0.08654810180207856,0.0002468374908979077
NGC 1399,inner,no_winsor,0.30879979684728975,0.023084188438607635,0.00013309231185694553,29756,0.08278177178533384,0.0006890802543181461
NGC 1399,inner,no_winsor,0.3177505155964866,0.020497286996596847,0.00011834332851667242,30580,0.07905224725406569,0.0007224491157747896
NGC 1399,inner,no_winsor,0.32670123434568343,0.017827551258287982,0.0001013608419273646,31400,0.07542525152431781,0.00023638737930396366
NGC 1399,inner,no_winsor,0.33565195309488016,0.016247644145101728,9.127897952219156e-05,32284,0.07132820409804443,0.0003488697804071824
NGC 1399,inner,no_winsor,0.344602671844077,0.014352828299871764,7.908608080969629e-05,33152,0.06709994864861617,0.00016753282881445716
