galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 1404,inner,no_winsor,0.01,0.01,0.25,5,0.9272825972863239,0.01909554963578787,0.0018474910758594356,0.019184713684812147,-0.080208411111159,1.0,1.28119889294242e-07,0.9272824691664346,28.081553790179996,0.022462991502733422,36.337615101583,912.9403775395749,17.977750695436544,0.006540767839493241,k-window MAD,0.022462991502733422,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1404,inner,no_winsor,0.03,0.03,0.25,5,0.9235224017532,0.019418195332625426,0.0016598372163225865,0.01948900637694712,-0.07954128879057785,1.0,1.28119889294242e-07,0.9235222736333107,28.085965477647616,0.022912192182400138,36.73569984637249,849.4665510120218,18.194122453276623,0.006540767839493241,k-window MAD,0.022912192182400138,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1404,inner,no_winsor,0.04,0.04,0.25,5,0.9188263079472587,0.018444938662216057,0.0016178549986685985,0.01851575591353563,-0.07869937227562082,1.0,1.28119889294242e-07,0.9188261798273695,28.091500511043797,0.021879248757982816,32.62627458537243,722.349469449622,18.342246154532855,0.006540767839493241,k-window MAD,0.021879248757982816,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1404,inner,raw_global_3p5,0.01,0.01,0.25,5,0.8420923554850177,0.016938513717935283,0.0017293011841154583,0.017026559533800858,-0.0724097178875753,1.0,1.28119889294242e-07,0.8420922273651285,28.18618476640762,0.021952882983091192,34.58343272835708,869.085818208927,17.908077399124636,0.00650145546924899,k-window MAD,0.021952882983091192,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1404,inner,raw_global_3p5,0.03,0.03,0.25,5,0.838698094781939,0.017245731368544792,0.0015598287883923378,0.017316128790382315,-0.07180717748669771,1.0,1.28119889294242e-07,0.8386979666620498,28.190569938044778,0.0224165894055975,35.05161701244773,810.7326458317523,18.12291452902378,0.00650145546924899,k-window MAD,0.0224165894055975,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1404,inner,raw_global_3p5,0.04,0.04,0.25,5,0.8344157402966504,0.016355027766582778,0.0015211822766226506,0.01642561806339124,-0.07103883864930602,1.0,1.28119889294242e-07,0.8344156121767612,28.196127860134784,0.021372908124800378,30.992338590790187,686.4028775688126,18.274488367040536,0.00650145546924899,k-window MAD,0.021372908124800378,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1404,inner,normalized_full_3p5,0.01,0.01,0.25,5,0.9075552939714027,0.018422389832035275,0.0018425857856481252,0.018514307156924592,-0.07819567563799795,1.0,1.28119889294242e-07,0.9075551658515134,28.104901330450605,0.02214923603836821,35.220864533910145,885.0216133477536,17.935976621456494,0.006618946258040813,k-window MAD,0.02214923603836821,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1404,inner,normalized_full_3p5,0.03,0.03,0.25,5,0.9038311968833134,0.018701575447589824,0.001660647759466187,0.018775161123221144,-0.07753478328306075,1.0,1.28119889294242e-07,0.9038310687634241,28.109365748539126,0.02255385202628413,35.51971569388544,821.4989155048196,18.150390418750863,0.006618946258040813,k-window MAD,0.02255385202628413,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1404,inner,normalized_full_3p5,0.04,0.04,0.25,5,0.8992201057882656,0.01773105891676658,0.001619305138887025,0.01780484763885031,-0.0767080124060867,1.0,1.28119889294242e-07,0.8992199776683764,28.114919046067378,0.02149792951867813,31.39802012548334,695.327871332062,18.299876789658573,0.006618946258040813,k-window MAD,0.02149792951867813,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1404,inner,normalized_union_3p5,0.01,0.01,0.25,5,0.9076533850783426,0.018424930071409114,0.0018426385603153084,0.01851684003819973,-0.07820329871380169,1.0,1.28119889294242e-07,0.9076532569584533,28.104783987378664,0.02214987218198084,35.222382279611224,885.0595569902806,17.935944281430732,0.006618821859228524,k-window MAD,0.02214987218198084,"max(fit covariance + PSF MAD, k-window MAD)"
